pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"AB1 0AA","AB1  0AA","AB1 0AA","198001","199606","S99999999","S99999999","S12000033","S13002843","S99999999","0","385386","0801193","1","S08000020","S99999999","S92000003","S99999999","0","S14000061","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001364","01C30","S99999999","S01000011","S02000007","6","3C2","S00090303","S01006514","S02001237","S34002990","S03000012","S99999999","3","1C3",57.101474,-2.242851,"S99999999","","S23000009",6715,"S99999999","S99999999","S00137176","S01013490","S02002516"
"AB1 0AB","AB1  0AB","AB1 0AB","198001","199606","S99999999","S99999999","S12000033","S13002843","S99999999","0","385177","0801314","1","S08000020","S99999999","S92000003","S99999999","0","S14000061","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001270","01C31","S99999999","S01000011","S02000007","6","4B3","S00090303","S01006514","S02001237","S34002990","S03000012","S99999999","3","1C3",57.102554,-2.246308,"S99999999","","S23000009",6715,"S99999999","S99999999","S00137176","S01013490","S02002516"
"AB1 0AD","AB1  0AD","AB1 0AD","198001","199606","S99999999","S99999999","S12000033","S13002843","S99999999","0","385053","0801092","1","S08000020","S99999999","S92000003","S99999999","0","S14000061","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001364","01C30","S99999999","S01000011","S02000007","6","3C2","S00090399","S01006514","S02001237","S34003015","S03000012","S99999999","3","6A1",57.100556,-2.248342,"S99999999","","S23000009",6715,"S99999999","S99999999","S00137176","S01013490","S02002516"
"AB1 0AE","AB1  0AE","AB1 0AE","199402","199606","S99999999","S99999999","S12000034","S13002864","S99999999","0","384600","0799300","8","S08000020","S99999999","S92000003","S99999999","0","S14000111","S15000001","S09000001","S22000047","S03000013","S30000027","99ZZ00","S00002142","02C58","S99999999","S01000333","S02000061","6","3B1","S00091322","S01006853","S02001296","S34003292","S03000013","S99999999","6","1A2",57.084444,-2.255708,"S99999999","","S23000009",5069,"S99999999","S99999999","S00138891","S01013856","S02002577"
"AB1 0AF","AB1  0AF","AB1 0AF","199012","199207","S99999999","S99999999","S12000033","S13002843","S99999999","1","384460","0800660","8","S08000020","S99999999","S92000003","S99999999","0","S14000061","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001266","01C30","S99999999","S01000007","S02000003","3","4D2","S00090299","S01006511","S02001236","S34003015","S03000012","S99999999","3","6A4",57.096656,-2.258102,"S99999999","","S23000009",6253,"S99999999","S99999999","S00137241","S01013487","S02002515"
"AB1 0AG","AB1  0AG","AB1 0AG","199012","199207","S99999999","S99999999","S12000033","S13002843","S99999999","1","383890","0800710","8","S08000020","S99999999","S92000003","S99999999","0","S14000061","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001258","01C30","S99999999","S01000001","S02000003","3","5B4","S00090291","S01006506","S02001236","S34003124","S03000012","S99999999","3","7C3",57.097085,-2.267513,"S99999999","","S23000009",4691,"S99999999","S99999999","S00137245","S01013482","S02002515"
"AB1 0AJ","AB1  0AJ","AB1 0AJ","198001","199606","S99999999","S99999999","S12000033","S13002843","S99999999","0","384779","0800921","1","S08000020","S99999999","S92000003","S99999999","0","S14000061","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001364","01C30","S99999999","S01000011","S02000007","6","3C2","S00090399","S01006514","S02001237","S34003015","S03000012","S99999999","3","6A1",57.099011,-2.252854,"S99999999","","S23000009",6715,"S99999999","S99999999","S00137219","S01013490","S02002516"
"AB1 0AL","AB1  0AL","AB1 0AL","198001","199606","S99999999","S99999999","S12000033","S13002843","S99999999","0","384669","0801228","1","S08000020","S99999999","S92000003","S99999999","0","S14000061","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001364","01C30","S99999999","S01000011","S02000007","6","3C2","S00090381","S01006511","S02001236","S34002990","S03000012","S99999999","3","6B3",57.101765,-2.254688,"S99999999","","S23000009",6253,"S99999999","S99999999","S00137184","S01013487","S02002515"
"AB1 0AN","AB1  0AN","AB1 0AN","198001","199606","S99999999","S99999999","S12000033","S13002843","S99999999","1","385225","0800757","1","S08000020","S99999999","S92000003","S99999999","0","S14000061","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001364","01C30","S99999999","S01000011","S02000007","6","3C2","S00090399","S01006514","S02001237","S34003015","S03000012","S99999999","3","6A1",57.097553,-2.245483,"S99999999","","S23000009",6715,"S99999999","S99999999","S00137194","S01013490","S02002516"
"AB1 0AP","AB1  0AP","AB1 0AP","198001","199606","S99999999","S99999999","S12000033","S13002843","S99999999","0","385208","0800834","1","S08000020","S99999999","S92000003","S99999999","0","S14000061","S15000001","S09000001","S22000047","S03000012","S30000026","99ZZ00","S00001364","01C30","S99999999","S01000011","S02000007","6","3C2","S00090399","S01006514","S02001237","S34003015","S03000012","S99999999","3","6A1",57.098244,-2.245768,"S99999999","","S23000009",6715,"S99999999","S99999999","S00137194","S01013490","S02002516"
