pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"AL1 1AA","AL1  1AA","AL1 1AA","199002","199405","E10000015","E58000666","E07000240","E05013966","E43000290","1","514600","0206900","8","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGR","E00120568","26UGGR","E65000001","E01023743","E02004937","5","2B2","E00120568","E01023743","E02004937","E33024349","E38000079","E63011552","C1","5A3",51.749084,-0.341337,"E37000048","","E23000027",30564,"E56000035","E54000025","E00120568","E01023743","E02004937"
"AL1 1AB","AL1  1AB","AL1 1AB","200401","200401","E10000015","E58000664","E07000240","E05013956","E43000290","1","517328","0206823","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGFX","E00120196","26UGFX","E65000001","E01023667","E02004936","5","6D1","E00120196","E01023667","E02004936","E33027453","E38000079","E63011552","C1","5A2",51.747828,-0.301865,"E37000048","","E23000027",30628,"E56000035","E54000025","E00120196","E01023667","E02004936"
"AL1 1AD","AL1  1AD","AL1 1AD","199208","200803","E10000015","E58000664","E07000240","E05013956","E43000290","1","517328","0206823","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGFX","E00120196","26UGFX","E65000001","E01023667","E02004936","5","6D1","E00120196","E01023667","E02004936","E33027453","E38000079","E63011552","C1","5A2",51.747828,-0.301865,"E37000048","","E23000027",30628,"E56000035","E54000025","E00120196","E01023667","E02004936"
"AL1 1AE","AL1  1AE","AL1 1AE","200711","201507","E10000015","E58000664","E07000240","E05013956","E43000290","1","517328","0206823","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGFX","E00120196","26UGFX","E65000001","E01023667","E02004936","5","6D1","E00120196","E01023667","E02004936","E33027453","E38000079","E63011552","C1","5A2",51.747828,-0.301865,"E37000048","","E23000027",30628,"E56000035","E54000025","E00120196","E01023667","E02004936"
"AL1 1AF","AL1  1AF","AL1 1AF","199507","199612","E10000015","E58000666","E07000240","E05013966","E43000290","1","514600","0206900","8","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGR","E00120568","26UGGR","E65000001","E01023743","E02004937","5","2B2","E00120568","E01023743","E02004937","E33024349","E38000079","E63011552","C1","5A3",51.749084,-0.341337,"E37000048","","E23000027",30564,"E56000035","E54000025","E00120568","E01023743","E02004937"
"AL1 1AG","AL1  1AG","AL1 1AG","199612","","E10000015","E58000666","E07000240","E05013963","E43000290","0","515487","0206498","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGQ","E00120543","26UGGQ","E65000001","E01023741","E02004940","5","6D1","E00120543","E01023741","E02004940","E33027473","E38000079","E63011552","C1","5A2",51.745290,-0.328628,"E37000048","","E23000027",30070,"E56000035","E54000025","E00120543","E01023741","E02004940"
"AL1 1AH","AL1  1AH","AL1 1AH","199612","199912","E10000015","E58000666","E07000240","E05013963","E43000290","0","515562","0206455","3","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGQ","E00120543","26UGGQ","E65000001","E01023741","E02004940","5","6D1","E00120543","E01023741","E02004940","E33027473","E38000079","E63011552","C1","5A2",51.744888,-0.327556,"E37000048","","E23000027",30070,"E56000035","E54000025","E00120543","E01023741","E02004940"
"AL1 1AJ","AL1  1AJ","AL1 1AJ","199612","","E10000015","E58000666","E07000240","E05013963","E43000290","0","515491","0206410","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGQ","E00120543","26UGGQ","E65000001","E01023741","E02004940","5","6D1","E00120543","E01023741","E02004940","E33027473","E38000079","E63011552","C1","5A2",51.744498,-0.328599,"E37000048","","E23000027",30070,"E56000035","E54000025","E00120543","E01023741","E02004940"
"AL1 1AL","AL1  1AL","AL1 1AL","199612","200509","E10000015","E58000664","E07000240","E05013956","E43000290","1","517328","0206823","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGFX","E00120196","26UGFX","E65000001","E01023667","E02004936","5","6D1","E00120196","E01023667","E02004936","E33027453","E38000079","E63011552","C1","5A2",51.747828,-0.301865,"E37000048","","E23000027",30628,"E56000035","E54000025","E00120196","E01023667","E02004936"
"AL1 1AN","AL1  1AN","AL1 1AN","199706","199912","E10000015","E58000666","E07000240","E05013963","E43000290","1","515429","0206407","6","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGQ","E00120543","26UGGQ","E65000001","E01023741","E02004940","5","6D1","E00120543","E01023741","E02004940","E33027473","E38000079","E63011552","C1","5A2",51.744484,-0.329498,"E37000048","","E23000027",30070,"E56000035","E54000025","E00120543","E01023741","E02004940"
"AL1 1AP","AL1  1AP","AL1 1AP","199706","199912","E10000015","E58000666","E07000240","E05013963","E43000290","1","515429","0206407","6","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGQ","E00120543","26UGGQ","E65000001","E01023741","E02004940","5","6D1","E00120543","E01023741","E02004940","E33027473","E38000079","E63011552","C1","5A2",51.744484,-0.329498,"E37000048","","E23000027",30070,"E56000035","E54000025","E00120543","E01023741","E02004940"
"AL1 1AQ","AL1  1AQ","AL1 1AQ","199712","200308","E10000015","E58000666","E07000240","E05013963","E43000290","1","515713","0206312","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGQ","E00120543","26UGGQ","E65000001","E01023741","E02004940","5","6D1","E00120543","E01023741","E02004940","E33027473","E38000079","E63011552","C1","5A2",51.743571,-0.325418,"E37000048","","E23000027",30070,"E56000035","E54000025","E00120543","E01023741","E02004940"
"AL1 1AR","AL1  1AR","AL1 1AR","200804","","E10000015","E58000664","E07000240","E05013951","E43000290","0","516270","0205897","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGB","E00120276","26UGGB","E65000001","E01023684","E02004939","5","6D2","E00120276","E01023684","E02004939","E33027469","E38000079","E63011552","C1","5A2",51.739727,-0.317492,"E37000048","","E23000027",28935,"E56000035","E54000025","E00120276","E01023684","E02004939"
"AL1 1AS","AL1  1AS","AL1 1AS","200804","","E10000015","E58000663","E07000240","E05013964","E43000290","0","515005","0206908","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGM","E00120492","26UGGM","E65000001","E01023726","E02004935","5","2B2","E00120492","E01023726","E02004935","E33027448","E38000079","E63011552","C1","2D2",51.749073,-0.335471,"E37000048","","E23000027",29172,"E56000035","E54000025","E00120492","E01023726","E02004935"
"AL1 1AT","AL1  1AT","AL1 1AT","201409","","E10000015","E58000664","E07000240","E05013951","E43000290","0","516131","0206148","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGB","E00120267","26UGGB","E65000001","E01023682","E02004939","5","2B2","E00120267","E01023682","E02004939","E33027467","E38000079","E63011552","C1","5B2",51.742011,-0.319421,"E37000048","","E23000027",20975,"E56000035","E54000025","E00120267","E01023682","E02004939"
"AL1 1AU","AL1  1AU","AL1 1AU","201612","","E10000015","E58000664","E07000240","E05013951","E43000290","0","516141","0206088","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGB","E00120267","26UGGB","E65000001","E01023682","E02004939","5","2B2","E00120267","E01023682","E02004939","E33027467","E38000079","E63011552","C1","5B2",51.741475,-0.319273,"E37000048","","E23000027",20975,"E56000035","E54000025","E00120267","E01023682","E02004939"
"AL1 1AW","AL1  1AW","AL1 1AW","201906","","E10000015","E58000664","E07000240","E05013951","E43000290","0","515937","0206118","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGB","E00120267","26UGGB","E65000001","E01023682","E02004939","5","2B2","E00120267","E01023682","E02004939","E33027467","E38000079","E63011552","C1","5B2",51.741787,-0.322216,"E37000048","","E23000027",20975,"E56000035","E54000025","E00120267","E01023682","E02004939"
"AL1 1AX","AL1  1AX","AL1 1AX","202409","","E10000015","E58000666","E07000240","E05013963","E43000290","0","515538","0206387","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGQ","E00120543","26UGGQ","E65000001","E01023741","E02004940","5","6D1","E00120543","E01023741","E02004940","E33027473","E38000079","E63011552","C1","5A2",51.744287,-0.327903,"E37000048","","E23000027",30070,"E56000035","E54000025","E00120543","E01023741","E02004940"
"AL1 1AZ","AL1  1AZ","AL1 1AZ","199501","200102","E10000015","E58000664","E07000240","E05013951","E43000290","1","516270","0205372","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGGB","E00120277","26UGGB","E65000001","E01023684","E02004939","5","4D1","E00120277","E01023684","E02004939","E33027469","E38000079","E63011552","C1","5A2",51.735008,-0.317668,"E37000048","","E23000027",28935,"E56000035","E54000025","E00120277","E01023684","E02004939"
"AL1 1BA","AL1  1BA","AL1 1BA","200106","200203","E10000015","E58000664","E07000240","E05013956","E43000290","1","517328","0206823","1","E18000006","E40000007","E92000001","E12000006","5","E14001507","E15000006","E24000005","E30000237","E16000150","E07000240","26UGFX","E00120196","26UGFX","E65000001","E01023667","E02004936","5","6D1","E00120196","E01023667","E02004936","E33027453","E38000079","E63011552","C1","5A2",51.747828,-0.301865,"E37000048","","E23000027",30628,"E56000035","E54000025","E00120196","E01023667","E02004936"
