pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"BB0 1GR","BB0  1GR","BB0 1GR","199612","200006","E99999999","E99999999","E06000008","E05011508","E43000279","1","369487","0428665","1","E18000002","E40000010","E92000001","E12000002","8","E14001102","E15000002","E24000022","E30000170","E17000006","E06000008","00EXMZ","E00063413","00EXMZ","E65000001","E01012576","E02002622","5","7A1","E00063413","E01012576","E02002622","E33003328","E38000014","E63007969","C1","4B2",53.753449,-2.464232,"E37000019","","E23000003",3369,"E56000018","E54000048","E00063413","E01012576","E02002622"
"BB1 1AA","BB1  1AA","BB1 1AA","199002","199507","E99999999","E99999999","E06000008","E05011511","E43000279","1","368300","0428200","8","E18000002","E40000010","E92000001","E12000002","8","E14001102","E15000002","E24000022","E30000170","E17000006","E06000008","00EXNT","E00063735","00EXNT","E65000001","E01012644","E02002620","5","7A1","E00063735","E01012644","E02002620","E33003356","E38000014","E63007969","C1","4B2",53.749199,-2.482185,"E37000019","","E23000003",7612,"E56000018","E54000048","E00063735","E01012644","E02002620"
"BB1 1AB","BB1  1AB","BB1 1AB","200811","202004","E99999999","E99999999","E06000008","E05011508","E43000279","0","369767","0428178","1","E18000002","E40000010","E92000001","E12000002","8","E14001102","E15000002","E24000022","E30000170","E17000006","E06000008","00EXMZ","E00063401","00EXMZ","E65000001","E01012571","E02002621","5","7A1","E00063401","E01012571","E02002621","E33007123","E38000014","E63007969","C1","4B2",53.749088,-2.459938,"E37000019","","E23000003",2666,"E56000018","E54000048","E00181542","E01012571","E02002621"
"BB1 1AD","BB1  1AD","BB1 1AD","200009","200009","E99999999","E99999999","E06000008","E05011511","E43000279","0","368300","0428200","8","E18000002","E40000010","E92000001","E12000002","8","E14001102","E15000002","E24000022","E30000170","E17000006","E06000008","00EXNT","E00063735","00EXNT","E65000001","E01012644","E02002620","5","7A1","E00063735","E01012644","E02002620","E33003356","E38000014","E63007969","C1","4B2",53.749199,-2.482185,"E37000019","","E23000003",7612,"E56000018","E54000048","E00063735","E01012644","E02002620"
"BB1 1AE","BB1  1AE","BB1 1AE","201410","","E99999999","E99999999","E06000008","E05011508","E43000279","0","369997","0427645","1","E18000002","E40000010","E92000001","E12000002","8","E14001102","E15000002","E24000022","E30000170","E17000006","E06000008","00EXNS","E00063709","00EXNS","E65000001","E01012641","E02002622","5","7A1","E00063709","E01012641","E02002622","E33007124","E38000014","E63007969","C1","4B2",53.744311,-2.456399,"E37000019","","E23000003",1335,"E56000018","E54000048","E00063709","E01012641","E02002622"
"BB1 1AF","BB1  1AF","BB1 1AF","201809","","E99999999","E99999999","E06000008","E05011511","E43000279","0","368504","0428016","1","E18000002","E40000010","E92000001","E12000002","8","E14001102","E15000002","E24000022","E30000170","E17000006","E06000008","00EXNT","E00063733","00EXNT","E65000001","E01012643","E02002620","5","5A1","E00063733","E01012643","E02002620","E33003349","E38000014","E63007969","C1","4B2",53.747572,-2.479071,"E37000019","","E23000003",2110,"E56000018","E54000048","E00063733","E01012643","E02002620"
"BB1 1AG","BB1  1AG","BB1 1AG","202307","","E99999999","E99999999","E06000008","E05011511","E43000279","0","368501","0427881","5","E18000002","E40000010","E92000001","E12000002","8","E14001102","E15000002","E24000022","E30000170","E17000006","E06000008","00EXNT","E00063733","00EXNT","E65000001","E01012643","E02002620","5","5A1","E00063733","E01012643","E02002620","E33003351","E38000014","E63007969","C1","4B2",53.746359,-2.479103,"E37000019","","E23000003",2110,"E56000018","E54000048","E00063733","E01012643","E02002620"
"BB1 1AQ","BB1  1AQ","BB1 1AQ","200510","","E99999999","E99999999","E06000008","E05011511","E43000279","0","368497","0427745","1","E18000002","E40000010","E92000001","E12000002","8","E14001102","E15000002","E24000022","E30000170","E17000006","E06000008","00EXNT","E00063733","00EXNT","E65000001","E01012643","E02002620","5","5A1","E00063733","E01012643","E02002620","E33003351","E38000014","E63007969","C1","4B2",53.745136,-2.479150,"E37000019","","E23000003",2110,"E56000018","E54000048","E00063733","E01012643","E02002620"
"BB1 1BA","BB1  1BA","BB1 1BA","198001","","E99999999","E99999999","E06000008","E05011511","E43000279","0","369001","0427811","1","E18000002","E40000010","E92000001","E12000002","8","E14001102","E15000002","E24000022","E30000170","E17000006","E06000008","00EXMZ","E00063405","00EXMZ","E65000001","E01012572","E02002621","5","7A1","E00063405","E01012572","E02002621","E33007122","E38000014","E63007969","C1","4B2",53.745745,-2.471517,"E37000019","","E23000003",1102,"E56000018","E54000048","E00063405","E01012572","E02002621"
"BB1 1BB","BB1  1BB","BB1 1BB","198001","","E99999999","E99999999","E06000008","E05011511","E43000279","0","368485","0427493","1","E18000002","E40000010","E92000001","E12000002","8","E14001102","E15000002","E24000022","E30000170","E17000006","E06000008","00EXNQ","E00063672","00EXNQ","E65000001","E01012629","E02002620","5","2B2","E00063672","E01012629","E02002620","E33003341","E38000014","E63007969","C1","4C3",53.742871,-2.479306,"E37000019","","E23000003",4445,"E56000018","E54000048","E00063672","E01012629","E02002620"
