pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"BD1 1AA","BD1  1AA","BD1 1AA","199002","201703","E99999999","E99999999","E08000032","E05001347","E43000274","1","416526","0433330","1","E18000003","E40000012","E92000001","E12000003","2","E14001120","E15000003","E24000045","E30000018","E16000102","E08000032","00CXGP","E00054619","00CXGD","E65000001","E01010844","E02002221","5","2A2","E00176110","E01033690","E02002221","E33010673","E38000232","E63007920","A1","2B2",53.796019,-1.750599,"E37000062","","E23000010",6594,"E56000030","E54000054","E00177783","E01033690","E02006948"
"BD1 1AE","BD1  1AE","BD1 1AE","201309","201605","E99999999","E99999999","E08000032","E05001347","E43000274","0","416502","0433300","1","E18000003","E40000012","E92000001","E12000003","2","E14001120","E15000003","E24000045","E30000018","E16000102","E08000032","00CXGP","E00054619","00CXGD","E65000001","E01010844","E02002221","5","2A2","E00176110","E01033690","E02002221","E33010673","E38000232","E63007920","A1","2B2",53.795750,-1.750965,"E37000062","","E23000010",6594,"E56000030","E54000054","E00177783","E01033690","E02006948"
"BD1 1AF","BD1  1AF","BD1 1AF","201510","","E99999999","E99999999","E08000032","E05001347","E43000274","0","416546","0433216","1","E18000003","E40000012","E92000001","E12000003","2","E14001120","E15000003","E24000045","E30000018","E16000102","E08000032","00CXGP","E00054619","00CXGD","E65000001","E01010844","E02002221","5","2A2","E00176110","E01033690","E02002221","E33010670","E38000232","E63007920","A1","2B2",53.794994,-1.750301,"E37000062","","E23000010",6594,"E56000030","E54000054","E00177783","E01033690","E02006948"
"BD1 1AG","BD1  1AG","BD1 1AG","200708","","E99999999","E99999999","E08000032","E05001347","E43000274","0","416352","0433047","1","E18000003","E40000012","E92000001","E12000003","2","E14001120","E15000003","E24000045","E30000018","E16000102","E08000032","00CXGP","E00054619","00CXGD","E65000001","E01010844","E02002221","5","2A2","E00176104","E01033690","E02002221","E33010660","E38000232","E63007920","A1","2B2",53.793496,-1.753258,"E37000062","","E23000010",6594,"E56000030","E54000054","E00176104","E01033690","E02006948"
"BD1 1AH","BD1  1AH","BD1 1AH","201510","","E99999999","E99999999","E08000032","E05001347","E43000274","0","416620","0433157","1","E18000003","E40000012","E92000001","E12000003","2","E14001120","E15000003","E24000045","E30000018","E16000102","E08000032","00CXGP","E00054619","00CXGD","E65000001","E01010844","E02002221","5","2A2","E00176110","E01033690","E02002221","E33010670","E38000232","E63007920","A1","2B2",53.794476,-1.749184,"E37000062","","E23000010",6594,"E56000030","E54000054","E00177783","E01033690","E02006948"
"BD1 1AJ","BD1  1AJ","BD1 1AJ","199301","201811","E99999999","E99999999","E08000032","E05001344","E43000274","1","416178","0434065","1","E18000003","E40000012","E92000001","E12000003","2","E14001118","E15000003","E24000045","E30000018","E16000102","E08000032","00CXGL","E00054593","00CXGC","E65000001","E01010823","E02002221","5","7A1","E00176165","E01033693","E02002221","E33010694","E38000232","E63007920","A1","4B2",53.802636,-1.755843,"E37000062","","E23000010",384,"E56000030","E54000054","E00177767","E01033693","E02006947"
"BD1 1AN","BD1  1AN","BD1 1AN","198607","199906","E99999999","E99999999","E08000032","E05001347","E43000274","1","416555","0433291","1","E18000003","E40000012","E92000001","E12000003","2","E14001120","E15000003","E24000045","E30000018","E16000102","E08000032","00CXGP","E00054619","00CXGD","E65000001","E01010844","E02002221","5","2A2","E00176110","E01033690","E02002221","E33010673","E38000232","E63007920","A1","2B2",53.795668,-1.750160,"E37000062","","E23000010",6594,"E56000030","E54000054","E00177783","E01033690","E02006948"
"BD1 1AW","BD1  1AW","BD1 1AW","198607","199706","E99999999","E99999999","E08000032","E05001347","E43000274","1","416500","0433300","8","E18000003","E40000012","E92000001","E12000003","2","E14001120","E15000003","E24000045","E30000018","E16000102","E08000032","00CXGP","E00054619","00CXGD","E65000001","E01010844","E02002221","5","2A2","E00176110","E01033690","E02002221","E33010673","E38000232","E63007920","A1","2B2",53.795750,-1.750995,"E37000062","","E23000010",6594,"E56000030","E54000054","E00177783","E01033690","E02006948"
"BD1 1BA","BD1  1BA","BD1 1BA","198001","199912","E99999999","E99999999","E08000032","E05001347","E43000274","1","416427","0433015","1","E18000003","E40000012","E92000001","E12000003","2","E14001120","E15000003","E24000045","E30000018","E16000102","E08000032","00CXGP","E00054619","00CXGD","E65000001","E01010844","E02002221","5","2A2","E00176111","E01033690","E02002221","E33010675","E38000232","E63007920","A1","3A2",53.793191,-1.752118,"E37000062","","E23000010",6594,"E56000030","E54000054","E00176111","E01033690","E02006948"
"BD1 1BG","BD1  1BG","BD1 1BG","199201","200403","E99999999","E99999999","E08000032","E05001347","E43000274","1","416580","0433092","1","E18000003","E40000012","E92000001","E12000003","2","E14001120","E15000003","E24000045","E30000018","E16000102","E08000032","00CXGP","E00054619","00CXGD","E65000001","E01010844","E02002221","5","2A2","E00176110","E01033690","E02002221","E33010670","E38000232","E63007920","A1","2B2",53.793878,-1.749792,"E37000062","","E23000010",6594,"E56000030","E54000054","E00177783","E01033690","E02006948"
