pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"BH1 1AA","BH1  1AA","BH1 1AA","199109","","E99999999","E99999999","E06000058","E05012661","E43000261","1","409722","0092041","1","E18000010","E40000006","E92000001","E12000009","6","E14001115","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMZ","E00077297","00HNMZ","E65000001","E01015288","E02003192","5","2B1","E00077297","E01015288","E02003192","E33045897","E38000045","E63013847","C1","3C1",50.727909,-1.863623,"E37000009","","E23000039",3256,"E56000016","E54000041","E00077297","E01015288","E02003192"
"BH1 1AE","BH1  1AE","BH1 1AE","200106","200403","E99999999","E99999999","E06000058","E05012661","E43000261","1","409725","0092040","1","E18000010","E40000006","E92000001","E12000009","6","E14001115","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMZ","E00077297","00HNMZ","E65000001","E01015288","E02003192","5","2B1","E00077297","E01015288","E02003192","E33045897","E38000045","E63013847","C1","3C1",50.727900,-1.863580,"E37000009","","E23000039",3256,"E56000016","E54000041","E00077297","E01015288","E02003192"
"BH1 1AF","BH1  1AF","BH1 1AF","200801","","E99999999","E99999999","E06000058","E05012653","E43000261","0","409181","0091523","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077252","00HNMY","E65000001","E01015287","E02003188","5","2A1","E00077252","E01015287","E02003188","E33048140","E38000045","E63013847","C1","2C1",50.723260,-1.871300,"E37000009","","E23000039",11120,"E56000016","E54000041","E00077252","E01034272","E02003188"
"BH1 1AG","BH1  1AG","BH1 1AG","199412","199612","E99999999","E99999999","E06000058","E05012661","E43000261","1","409800","0092000","8","E18000010","E40000006","E92000001","E12000009","6","E14001115","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMZ","E00077297","00HNMZ","E65000001","E01015288","E02003192","5","2B1","E00077297","E01015288","E02003192","E33045897","E38000045","E63013847","C1","3C1",50.727539,-1.862519,"E37000009","","E23000039",3256,"E56000016","E54000041","E00077297","E01015288","E02003192"
"BH1 1AH","BH1  1AH","BH1 1AH","200803","","E99999999","E99999999","E06000058","E05012653","E43000261","0","409265","0091464","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077254","00HNMY","E65000001","E01015285","E02003192","5","2A1","E00172754","E01015285","E02003192","E33048174","E38000045","E63013847","C1","2B2",50.722728,-1.870112,"E37000009","","E23000039",12504,"E56000016","E54000041","E00172754","E01034277","E02003192"
"BH1 1AJ","BH1  1AJ","BH1 1AJ","200809","","E99999999","E99999999","E06000058","E05012653","E43000261","0","409162","0092265","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077246","00HNMY","E65000001","E01015287","E02003188","5","2A1","E00077246","E01015287","E02003188","E33048147","E38000045","E63013847","C1","2C2",50.729932,-1.871551,"E37000009","","E23000039",11120,"E56000016","E54000041","E00077246","E01034271","E02003188"
"BH1 1AL","BH1  1AL","BH1 1AL","201007","","E99999999","E99999999","E06000058","E05012653","E43000261","0","409284","0091366","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077254","00HNMY","E65000001","E01015285","E02003192","5","2A1","E00172754","E01015285","E02003192","E33048174","E38000045","E63013847","C1","2B2",50.721846,-1.869845,"E37000009","","E23000039",12504,"E56000016","E54000041","E00172754","E01034277","E02003192"
"BH1 1AN","BH1  1AN","BH1 1AN","201008","","E99999999","E99999999","E06000058","E05012653","E43000261","0","409437","0091439","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077254","00HNMY","E65000001","E01015285","E02003192","5","2A1","E00172754","E01015285","E02003192","E33048174","E38000045","E63013847","C1","2B2",50.722500,-1.867676,"E37000009","","E23000039",12504,"E56000016","E54000041","E00172754","E01034277","E02003192"
"BH1 1AQ","BH1  1AQ","BH1 1AQ","201202","","E99999999","E99999999","E06000058","E05012653","E43000261","0","409442","0091597","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077254","00HNMY","E65000001","E01015285","E02003192","5","2A1","E00172752","E01015285","E02003192","E33047054","E38000045","E63013847","C1","2A1",50.723921,-1.867601,"E37000009","","E23000039",12504,"E56000016","E54000041","E00172752","E01034277","E02003192"
"BH1 1AR","BH1  1AR","BH1 1AR","201501","","E99999999","E99999999","E06000058","E05012653","E43000261","0","409079","0091486","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077252","00HNMY","E65000001","E01015287","E02003188","5","2A1","E00077252","E01015287","E02003188","E33048140","E38000045","E63013847","C1","2C1",50.722928,-1.872746,"E37000009","","E23000039",11120,"E56000016","E54000041","E00077252","E01034272","E02003188"
"BH1 1AS","BH1  1AS","BH1 1AS","202310","202312","E99999999","E99999999","E06000058","E05012653","E43000261","0","409097","0091450","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077256","00HNMY","E65000001","E01015285","E02003192","5","2B1","E00077256","E01015285","E02003192","E33048174","E38000045","E63013847","C1","2D1",50.722593,-1.872484,"E37000009","","E23000039",12504,"E56000016","E54000041","E00077256","E01034277","E02003192"
"BH1 1AT","BH1  1AT","BH1 1AT","201502","","E99999999","E99999999","E06000058","E05012653","E43000261","0","409288","0091641","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077252","00HNMY","E65000001","E01015287","E02003188","5","2A1","E00077252","E01015287","E02003188","E33048140","E38000045","E63013847","C1","2C1",50.724308,-1.869773,"E37000009","","E23000039",11120,"E56000016","E54000041","E00077252","E01034272","E02003188"
"BH1 1AU","BH1  1AU","BH1 1AU","201510","","E99999999","E99999999","E06000058","E05012653","E43000261","0","408759","0091267","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077253","00HNMY","E65000001","E01015283","E02003188","5","2A1","E00077253","E01015283","E02003188","E33045873","E38000045","E63013847","C1","2B2",50.720964,-1.877285,"E37000009","","E23000039",10940,"E56000016","E54000041","E00180453","E01034273","E02003188"
"BH1 1AW","BH1  1AW","BH1 1AW","201705","","E99999999","E99999999","E06000058","E05012653","E43000261","0","408656","0091220","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077253","00HNMY","E65000001","E01015283","E02003188","5","2A1","E00077253","E01015283","E02003188","E33045871","E38000045","E63013847","C1","2B2",50.720531,-1.878736,"E37000009","","E23000039",10940,"E56000016","E54000041","E00180406","E01034273","E02003188"
"BH1 1AX","BH1  1AX","BH1 1AX","201706","","E99999999","E99999999","E06000058","E05012653","E43000261","0","408714","0091266","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077253","00HNMY","E65000001","E01015283","E02003188","5","2A1","E00077253","E01015283","E02003188","E33045872","E38000045","E63013847","C1","2B2",50.720944,-1.877914,"E37000009","","E23000039",10940,"E56000016","E54000041","E00180413","E01034273","E02003188"
"BH1 1AY","BH1  1AY","BH1 1AY","201910","","E99999999","E99999999","E06000058","E05012653","E43000261","0","409327","0091381","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077255","00HNMY","E65000001","E01015285","E02003192","5","2A1","E00077255","E01015285","E02003192","E33045876","E38000045","E63013847","C1","2B2",50.721969,-1.869227,"E37000009","","E23000039",12504,"E56000016","E54000041","E00077255","E01034277","E02003192"
"BH1 1AZ","BH1  1AZ","BH1 1AZ","199412","200806","E99999999","E99999999","E06000058","E05012661","E43000261","1","409725","0092040","1","E18000010","E40000006","E92000001","E12000009","6","E14001115","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMZ","E00077297","00HNMZ","E65000001","E01015288","E02003192","5","2B1","E00077297","E01015288","E02003192","E33045897","E38000045","E63013847","C1","3C1",50.727900,-1.863580,"E37000009","","E23000039",3256,"E56000016","E54000041","E00077297","E01015288","E02003192"
"BH1 1BA","BH1  1BA","BH1 1BA","198001","","E99999999","E99999999","E06000058","E05012653","E43000261","0","408679","0091198","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077260","00HNMY","E65000001","E01015283","E02003188","5","2A1","E00077260","E01015283","E02003188","E33045888","E38000045","E63013847","C1","2C1",50.720333,-1.878411,"E37000009","","E23000039",10940,"E56000016","E54000041","E00077260","E01034274","E02003188"
"BH1 1BB","BH1  1BB","BH1 1BB","198001","","E99999999","E99999999","E06000058","E05012653","E43000261","0","408701","0091210","1","E18000010","E40000006","E92000001","E12000009","6","E14001116","E15000009","E24000034","E30000175","E16000143","E06000058","00HNMY","E00077253","00HNMY","E65000001","E01015283","E02003188","5","2A1","E00077253","E01015283","E02003188","E33045871","E38000045","E63013847","C1","2B2",50.720441,-1.878099,"E37000009","","E23000039",10940,"E56000016","E54000041","E00180413","E01034273","E02003188"
