pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"BL0 0AA","BL0  0AA","BL0 0AA","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379448","0416851","1","E18000002","E40000010","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025401","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025401","E01005014","E02001019","E33002339","E38000024","E63008134","A1","7A2",53.647755,-2.312381,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025401","E01005014","E02001019"
"BL0 0AB","BL0  0AB","BL0 0AB","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379442","0416877","1","E18000002","E40000010","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025393","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025393","E01005014","E02001019","E33004807","E38000024","E63008134","A1","5A3",53.647989,-2.312474,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025393","E01005014","E02001019"
"BL0 0AD","BL0  0AD","BL0 0AD","201007","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379389","0417007","1","E18000002","E40000010","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025393","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025393","E01005014","E02001019","E33004807","E38000024","E63008134","A1","5A3",53.649155,-2.313284,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025393","E01005014","E02001019"
"BL0 0AE","BL0  0AE","BL0 0AE","199002","202205","E99999999","E99999999","E08000002","E05014163","E43000156","1","379408","0417127","1","E18000002","E40000010","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025393","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025393","E01005014","E02001019","E33004807","E38000024","E63008134","A1","5A3",53.650251,-2.313003,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025393","E01005014","E02001019"
"BL0 0AF","BL0  0AF","BL0 0AF","201907","","E10000017","E58000816","E07000125","E05015820","E43000099","0","379425","0418097","1","E18000002","E40000010","E92000001","E12000002","8","E14001450","E15000002","E24000022","E30000170","E16000089","E07000125","30UMFQ","E00128699","30UMFQ","E65000001","E01025357","E02005285","8","6B3","E00128699","E01025357","E02005285","E33008650","E38000050","E63008107","D1","5A1",53.659301,-2.313070,"E37000019","","E23000003",15474,"E56000018","E54000048","E00128699","E01025357","E02005285"
"BL0 0AG","BL0  0AG","BL0 0AG","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379627","0416803","1","E18000002","E40000010","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025384","00BMFL","E65000001","E01005017","E02001019","5","6A1","E00025384","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.647331,-2.309670,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025384","E01005017","E02001019"
"BL0 0AH","BL0  0AH","BL0 0AH","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379409","0417016","1","E18000002","E40000010","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025393","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025393","E01005014","E02001019","E33004807","E38000024","E63008134","A1","5A3",53.649253,-2.312981,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025393","E01005014","E02001019"
"BL0 0AJ","BL0  0AJ","BL0 0AJ","199512","","E99999999","E99999999","E08000002","E05014163","E43000156","0","380016","0416823","1","E18000002","E40000010","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025390","00BMFL","E65000001","E01005015","E02001019","5","6A1","E00025390","E01005015","E02001019","E33004808","E38000024","E63008134","A1","8B1",53.647542,-2.303785,"E37000015","","E23000005",8727,"E56000032","E54000057","E00025390","E01005015","E02001019"
"BL0 0AL","BL0  0AL","BL0 0AL","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379601","0416837","1","E18000002","E40000010","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025401","00BMFL","E65000001","E01005014","E02001019","5","6C2","E00025401","E01005014","E02001019","E33002339","E38000024","E63008134","A1","7A2",53.647652,-2.310064,"E37000015","","E23000005",19788,"E56000032","E54000057","E00025401","E01005014","E02001019"
"BL0 0AN","BL0  0AN","BL0 0AN","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379731","0416504","1","E18000002","E40000010","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025402","00BMFL","E65000001","E01005017","E02001019","5","3C1","E00025402","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.644648,-2.308077,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025402","E01005017","E02001019"
"BL0 0AP","BL0  0AP","BL0 0AP","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379651","0416748","1","E18000002","E40000010","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025384","00BMFL","E65000001","E01005017","E02001019","5","6A1","E00025384","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.646854,-2.309302,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025384","E01005017","E02001019"
"BL0 0AQ","BL0  0AQ","BL0 0AQ","198001","","E99999999","E99999999","E08000002","E05014163","E43000156","0","379643","0416775","1","E18000002","E40000010","E92000001","E12000002","8","E14001144","E15000002","E24000024","E30000239","E16000043","E08000002","00BMGE","E00025384","00BMFL","E65000001","E01005017","E02001019","5","6A1","E00025384","E01005017","E02001019","E33004805","E38000024","E63008134","A1","6B2",53.647080,-2.309426,"E37000015","","E23000005",24144,"E56000032","E54000057","E00025384","E01005017","E02001019"
