pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"CB1 0AA","CB1  0AA","CB1 0AA","202406","202409","E10000003","E99999999","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AB","CB1  0AB","CB1 0AB","202406","","E10000003","E99999999","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AD","CB1  0AD","CB1 0AD","202012","202102","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AE","CB1  0AE","CB1 0AE","202406","202410","E10000003","E99999999","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AF","CB1  0AF","CB1 0AF","202406","202407","E10000003","E99999999","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AG","CB1  0AG","CB1 0AG","202406","","E10000003","E99999999","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AH","CB1  0AH","CB1 0AH","200506","","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192254,0.137179,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AJ","CB1  0AJ","CB1 0AJ","202407","202409","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AL","CB1  0AL","CB1 0AL","202303","202307","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AN","CB1  0AN","CB1 0AN","200507","","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192254,0.137179,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AP","CB1  0AP","CB1 0AP","202407","202411","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AQ","CB1  0AQ","CB1 0AQ","202408","202411","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AR","CB1  0AR","CB1 0AR","202305","202406","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AS","CB1  0AS","CB1 0AS","202408","","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
"CB1 0AT","CB1  0AT","CB1 0AT","202408","","E10000003","E58000086","E07000008","E05013054","E43000042","1","546182","0257043","1","E18000006","E40000007","E92000001","E12000006","4","E14001149","E15000006","E24000002","E30000186","E16000124","E07000008","12UBFU","E00090641","12UBFU","E65000001","E01017966","E02003728","5","7A2","E00167068","E01017966","E02003728","E33025843","E38000260","E63010556","C1","2B2",52.192267,0.137208,"E37000059","","E23000023",24282,"E56000035","E54000056","E00167068","E01035518","E02003728"
