pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"CH1 1AA","CH1  1AA","CH1 1AA","199002","202006","E99999999","E99999999","E06000050","E05012211","E43000272","1","340750","0366286","1","E18000002","E40000010","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092438","13UBGL","E65000001","E01018326","E02003803","5","2B1","E00092438","E01018326","E02003803","E33003439","E38000233","K08000011","C1","2C1",53.190346,-2.888219,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092438","E01035376","E02003803"
"CH1 1AB","CH1  1AB","CH1 1AB","200906","","E99999999","E99999999","E06000050","E05012211","E43000272","0","341060","0366330","1","E18000002","E40000010","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092436","13UBGL","E65000001","E01018326","E02003803","5","2B2","E00092436","E01018326","E02003803","E33003435","E38000233","K08000011","C1","2C1",53.190776,-2.883588,"E37000003","","E23000006",11045,"E56000005","E54000008","E00188850","E01035378","E02003803"
"CH1 1AD","CH1  1AD","CH1 1AD","201309","202307","E99999999","E99999999","E06000050","E05012211","E43000272","1","340412","0366062","1","E18000002","E40000010","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092430","13UBGL","E65000001","E01018326","E02003803","5","2B2","E00092430","E01018326","E02003803","E33003430","E38000233","K08000011","C1","2C1",53.188295,-2.893235,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092430","E01035378","E02003803"
"CH1 1AE","CH1  1AE","CH1 1AE","198803","200411","E99999999","E99999999","E06000050","E05012211","E43000272","1","341010","0367104","1","E18000002","E40000010","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092433","13UBGL","E65000001","E01018327","E02003802","5","6C1","E00092433","E01018327","E02003802","E33003432","E38000233","K08000011","C1","2A3",53.197727,-2.884480,"E37000003","","E23000006",7928,"E56000005","E54000008","E00188811","E01035373","E02003802"
"CH1 1AF","CH1  1AF","CH1 1AF","201609","","E99999999","E99999999","E06000050","E05012211","E43000272","0","340718","0366063","1","E18000002","E40000010","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092441","13UBGL","E65000001","E01018326","E02003803","5","2B2","E00092441","E01018326","E02003803","E33003455","E38000233","K08000011","C1","5A3",53.188354,-2.888658,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092441","E01035378","E02003803"
"CH1 1AG","CH1  1AG","CH1 1AG","201711","","E99999999","E99999999","E06000050","E05012211","E43000272","0","340821","0365995","1","E18000002","E40000010","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092441","13UBGL","E65000001","E01018326","E02003803","5","2B2","E00092441","E01018326","E02003803","E33003457","E38000233","K08000011","C1","5A3",53.187754,-2.887104,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092441","E01035378","E02003803"
"CH1 1AH","CH1  1AH","CH1 1AH","198803","201812","E99999999","E99999999","E06000050","E05012211","E43000272","1","341000","0367109","1","E18000002","E40000010","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092433","13UBGL","E65000001","E01018327","E02003802","5","6C1","E00092433","E01018327","E02003802","E33003432","E38000233","K08000011","C1","2A3",53.197771,-2.884630,"E37000003","","E23000006",7928,"E56000005","E54000008","E00188811","E01035373","E02003802"
"CH1 1AJ","CH1  1AJ","CH1 1AJ","198803","199012","E99999999","E99999999","E06000050","E05012211","E43000272","1","340600","0366300","8","E18000002","E40000010","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092438","13UBGL","E65000001","E01018326","E02003803","5","2B1","E00092438","E01018326","E02003803","E33003446","E38000233","K08000011","C1","2C1",53.190455,-2.890466,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092438","E01035376","E02003803"
"CH1 1AL","CH1  1AL","CH1 1AL","198803","199012","E99999999","E99999999","E06000050","E05012211","E43000272","1","340600","0366300","8","E18000002","E40000010","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092438","13UBGL","E65000001","E01018326","E02003803","5","2B1","E00092438","E01018326","E02003803","E33003446","E38000233","K08000011","C1","2C1",53.190455,-2.890466,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092438","E01035376","E02003803"
"CH1 1AN","CH1  1AN","CH1 1AN","199002","199512","E99999999","E99999999","E06000050","E05012211","E43000272","1","340600","0366300","8","E18000002","E40000010","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092438","13UBGL","E65000001","E01018326","E02003803","5","2B1","E00092438","E01018326","E02003803","E33003446","E38000233","K08000011","C1","2C1",53.190455,-2.890466,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092438","E01035376","E02003803"
"CH1 1AP","CH1  1AP","CH1 1AP","199301","199405","E99999999","E99999999","E06000050","E05012211","E43000272","1","340700","0366300","8","E18000002","E40000010","E92000001","E12000002","8","E14001163","E15000002","E24000025","K01000011","E16000094","E06000050","13UBGL","E00092438","13UBGL","E65000001","E01018326","E02003803","5","2B1","E00092438","E01018326","E02003803","E33003447","E38000233","K08000011","C1","2C1",53.190466,-2.888970,"E37000003","","E23000006",11045,"E56000005","E54000008","E00092438","E01035376","E02003803"
