pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"CM0 7AA","CM0  7AA","CM0 7AA","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595786","0199756","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111259","22UKGK","E65000001","E01021906","E02004560","6","6B2","E00111259","E01021906","E02004560","E33026815","E38000106","E63011724","D1","5B3",51.662470,0.829465,"E37000056","","E23000028",17740,"E56000035","E54000026","E00111259","E01021906","E02004560"
"CM0 7AB","CM0  7AB","CM0 7AB","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595737","0199885","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111263","22UKGK","E65000001","E01021905","E02004560","6","1C1","E00111263","E01021905","E02004560","E33026811","E38000106","E63011724","D1","8A1",51.663645,0.828830,"E37000056","","E23000028",12614,"E56000035","E54000026","E00111263","E01021905","E02004560"
"CM0 7AD","CM0  7AD","CM0 7AD","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595781","0200015","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111263","22UKGK","E65000001","E01021905","E02004560","6","1C1","E00111263","E01021905","E02004560","E33026811","E38000106","E63011724","D1","8A1",51.664797,0.829538,"E37000056","","E23000028",12614,"E56000035","E54000026","E00111263","E01021905","E02004560"
"CM0 7AE","CM0  7AE","CM0 7AE","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595853","0199950","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111263","22UKGK","E65000001","E01021905","E02004560","6","1C1","E00111263","E01021905","E02004560","E33026811","E38000106","E63011724","D1","8A1",51.664188,0.830542,"E37000056","","E23000028",12614,"E56000035","E54000026","E00111263","E01021905","E02004560"
"CM0 7AF","CM0  7AF","CM0 7AF","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595883","0200120","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111263","22UKGK","E65000001","E01021905","E02004560","6","1C1","E00111263","E01021905","E02004560","E33026811","E38000106","E63011724","D1","8A1",51.665705,0.831070,"E37000056","","E23000028",12614,"E56000035","E54000026","E00111263","E01021905","E02004560"
"CM0 7AG","CM0  7AG","CM0 7AG","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595915","0200770","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111270","22UKGK","E65000001","E01021906","E02004560","7","3B1","E00111270","E01021906","E02004560","E33026810","E38000106","","E1","1A2",51.671537,0.831925,"E37000056","","E23000028",17740,"E56000035","E54000026","E00111270","E01021906","E02004560"
"CM0 7AH","CM0  7AH","CM0 7AH","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595592","0199946","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111265","22UKGK","E65000001","E01021905","E02004560","6","6A1","E00111265","E01021905","E02004560","E33026811","E38000106","E63011724","D1","8A1",51.664243,0.826770,"E37000056","","E23000028",12614,"E56000035","E54000026","E00111265","E01021905","E02004560"
"CM0 7AJ","CM0  7AJ","CM0 7AJ","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595663","0200017","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111265","22UKGK","E65000001","E01021905","E02004560","6","6A1","E00111265","E01021905","E02004560","E33026811","E38000106","E63011724","D1","8A1",51.664856,0.827835,"E37000056","","E23000028",12614,"E56000035","E54000026","E00111265","E01021905","E02004560"
"CM0 7AL","CM0  7AL","CM0 7AL","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595352","0199912","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111261","22UKGK","E65000001","E01021904","E02004560","6","6B2","E00111261","E01021904","E02004560","E33026811","E38000106","E63011724","D1","8C1",51.664021,0.823286,"E37000056","","E23000028",20232,"E56000035","E54000026","E00111261","E01021904","E02004560"
"CM0 7AN","CM0  7AN","CM0 7AN","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595264","0199894","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111261","22UKGK","E65000001","E01021904","E02004560","6","6B2","E00111261","E01021904","E02004560","E33026811","E38000106","E63011724","D1","8C1",51.663890,0.822005,"E37000056","","E23000028",20232,"E56000035","E54000026","E00111261","E01021904","E02004560"
"CM0 7AP","CM0  7AP","CM0 7AP","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595096","0199920","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111260","22UKGK","E65000001","E01021904","E02004560","6","3B1","E00111260","E01021904","E02004560","E33026811","E38000106","E63011724","F1","1C3",51.664182,0.819593,"E37000056","","E23000028",20232,"E56000035","E54000026","E00180528","E01021904","E02004560"
"CM0 7AQ","CM0  7AQ","CM0 7AQ","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595603","0199863","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111265","22UKGK","E65000001","E01021905","E02004560","6","6A1","E00111265","E01021905","E02004560","E33026811","E38000106","E63011724","D1","8A1",51.663494,0.826883,"E37000056","","E23000028",12614,"E56000035","E54000026","E00111265","E01021905","E02004560"
"CM0 7AS","CM0  7AS","CM0 7AS","198510","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595136","0199912","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111260","22UKGK","E65000001","E01021904","E02004560","6","3B1","E00111260","E01021904","E02004560","E33026811","E38000106","E63011724","F1","1C3",51.664096,0.820166,"E37000056","","E23000028",20232,"E56000035","E54000026","E00180528","E01021904","E02004560"
"CM0 7AT","CM0  7AT","CM0 7AT","199405","","E10000012","E58000457","E07000074","E05004203","E04004065","0","599254","0203238","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGL","E00111277","22UKGL","E65000001","E01021907","E02004560","7","3A2","E00111277","E01021907","E02004560","E33026810","E38000106","E63011629","E1","1B3",51.692519,0.881527,"E37000056","","E23000028",15305,"E56000035","E54000026","E00111277","E01021907","E02004560"
"CM0 7AU","CM0  7AU","CM0 7AU","199412","199507","E10000012","E58000457","E07000074","E05004202","E04004062","1","595600","0199800","8","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111266","22UKGK","E65000001","E01021904","E02004560","6","6B3","E00111266","E01021904","E02004560","E33026811","E38000106","E63011724","D1","8C1",51.662929,0.826804,"E37000056","","E23000028",20232,"E56000035","E54000026","E00111266","E01021904","E02004560"
"CM0 7AW","CM0  7AW","CM0 7AW","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595172","0199917","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111261","22UKGK","E65000001","E01021904","E02004560","6","6B2","E00111261","E01021904","E02004560","E33026811","E38000106","E63011724","D1","8C1",51.664129,0.820689,"E37000056","","E23000028",20232,"E56000035","E54000026","E00111261","E01021904","E02004560"
"CM0 7AX","CM0  7AX","CM0 7AX","199412","200310","E10000012","E58000457","E07000074","E05004202","E04004062","1","595776","0199759","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111259","22UKGK","E65000001","E01021906","E02004560","6","6B2","E00111259","E01021906","E02004560","E33026815","E38000106","E63011724","D1","5B3",51.662500,0.829323,"E37000056","","E23000028",17740,"E56000035","E54000026","E00111259","E01021906","E02004560"
"CM0 7AY","CM0  7AY","CM0 7AY","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595606","0199789","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111266","22UKGK","E65000001","E01021904","E02004560","6","6B3","E00111266","E01021904","E02004560","E33026811","E38000106","E63011724","D1","8C1",51.662835,0.826913,"E37000056","","E23000028",20232,"E56000035","E54000026","E00111266","E01021904","E02004560"
"CM0 7AZ","CM0  7AZ","CM0 7AZ","198001","","E10000012","E58000457","E07000074","E05004202","E04004062","0","595509","0199701","1","E18000006","E40000007","E92000001","E12000006","5","E14001351","E15000006","E24000006","E30000188","E16000130","E07000074","22UKGK","E00111266","22UKGK","E65000001","E01021904","E02004560","6","6B3","E00111266","E01021904","E02004560","E33026811","E38000106","E63011724","D1","8C1",51.662072,0.825435,"E37000056","","E23000028",20232,"E56000035","E54000026","E00111266","E01021904","E02004560"
