pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"CT1 1AA","CT1  1AA","CT1 1AA","199002","","E10000016","E58000687","E07000106","E05010402","E43000269","1","615886","0158470","1","E18000008","E40000005","E92000001","E12000008","5","E14001151","E15000008","E24000031","E30000187","E16000132","E07000106","29UCGS","E00122311","29UCGS","E65000001","E01024092","E02005023","5","2B2","E00122311","E01024092","E02005023","E33038281","E38000237","E63012524","C1","2A2",51.284437,1.094448,"E37000056","","E23000032",8406,"E56000011","E54000032","E00122311","E01024092","E02005023"
"CT1 1AB","CT1  1AB","CT1 1AB","199208","199412","E10000016","E58000687","E07000106","E05010402","E43000269","1","616000","0158800","8","E18000008","E40000005","E92000001","E12000008","5","E14001151","E15000008","E24000031","E30000187","E16000132","E07000106","29UCGS","E00122308","29UCGS","E65000001","E01024090","E02005023","5","6B1","E00122308","E01024090","E02005023","E33042839","E38000237","E63012524","C1","4A2",51.287357,1.096280,"E37000056","","E23000032",9192,"E56000011","E54000032","E00122308","E01024090","E02005023"
"CT1 1AD","CT1  1AD","CT1 1AD","199101","","E10000016","E58000687","E07000106","E05010402","E43000269","0","616715","0159405","1","E18000008","E40000005","E92000001","E12000008","5","E14001151","E15000008","E24000031","E30000187","E16000132","E07000106","29UCGS","E00122318","29UCGS","E65000001","E01024091","E02005020","5","6A2","E00122318","E01024091","E02005020","E33042821","E38000237","E63012524","C1","5A2",51.292518,1.106884,"E37000056","","E23000032",5836,"E56000011","E54000032","E00122318","E01024091","E02005020"
"CT1 1AE","CT1  1AE","CT1 1AE","201710","","E10000016","E58000687","E07000106","E05010402","E43000269","0","615207","0158267","1","E18000008","E40000005","E92000001","E12000008","5","E14001151","E15000008","E24000031","E30000187","E16000132","E07000106","29UCGS","E00122317","29UCGS","E65000001","E01024093","E02005023","5","2B2","E00122317","E01024093","E02005023","E33042837","E38000237","E63012524","C1","2A1",51.282876,1.084634,"E37000056","","E23000032",6191,"E56000011","E54000032","E00122317","E01024093","E02005023"
"CT1 1AF","CT1  1AF","CT1 1AF","199706","","E10000016","E58000687","E07000106","E05010402","E43000269","0","615059","0158280","1","E18000008","E40000005","E92000001","E12000008","5","E14001151","E15000008","E24000031","E30000187","E16000132","E07000106","29UCGS","E00122315","29UCGS","E65000001","E01024093","E02005023","5","5A2","E00122315","E01024093","E02005023","E33042837","E38000237","E63012524","C1","7D2",51.283044,1.082493,"E37000056","","E23000032",6191,"E56000011","E54000032","E00122315","E01024093","E02005023"
"CT1 1AG","CT1  1AG","CT1 1AG","198604","","E10000016","E58001787","E07000106","E05012990","E43000269","0","616705","0158046","1","E18000008","E40000005","E92000001","E12000008","5","E14001151","E15000008","E24000031","E30000187","E16000132","E07000106","29UCGD","E00122082","29UCGD","E65000001","E01024047","E02005023","5","5B4","E00122082","E01024047","E02005023","E33042836","E38000237","E63012524","C1","4A2",51.280320,1.105917,"E37000056","","E23000032",5129,"E56000011","E54000032","E00190200","E01024047","E02005023"
"CT1 1AH","CT1  1AH","CT1 1AH","198604","","E10000016","E58001787","E07000106","E05012990","E43000269","0","616712","0158171","1","E18000008","E40000005","E92000001","E12000008","5","E14001151","E15000008","E24000031","E30000187","E16000132","E07000106","29UCGD","E00122098","29UCGD","E65000001","E01024047","E02005023","5","6B2","E00122098","E01024047","E02005023","E33042835","E38000237","E63012524","C1","5A3",51.281439,1.106093,"E37000056","","E23000032",5129,"E56000011","E54000032","E00122098","E01024047","E02005023"
"CT1 1AJ","CT1  1AJ","CT1 1AJ","198604","","E10000016","E58001787","E07000106","E05012990","E43000269","0","616731","0158190","1","E18000008","E40000005","E92000001","E12000008","5","E14001151","E15000008","E24000031","E30000187","E16000132","E07000106","29UCGD","E00122100","29UCGD","E65000001","E01024047","E02005023","5","1A3","E00122100","E01024047","E02005023","E33042836","E38000237","E63012524","C1","4A2",51.281603,1.106377,"E37000056","","E23000032",5129,"E56000011","E54000032","E00122100","E01024047","E02005023"
"CT1 1AL","CT1  1AL","CT1 1AL","198607","","E10000016","E58001787","E07000106","E05012990","E43000269","0","616824","0158262","1","E18000008","E40000005","E92000001","E12000008","5","E14001151","E15000008","E24000031","E30000187","E16000132","E07000106","29UCGD","E00122098","29UCGD","E65000001","E01024047","E02005023","5","6B2","E00122098","E01024047","E02005023","E33042835","E38000237","E63012524","C1","5A3",51.282214,1.107752,"E37000056","","E23000032",5129,"E56000011","E54000032","E00122098","E01024047","E02005023"
"CT1 1AN","CT1  1AN","CT1 1AN","198607","","E10000016","E58001787","E07000106","E05012990","E43000269","0","616805","0158206","1","E18000008","E40000005","E92000001","E12000008","5","E14001151","E15000008","E24000031","E30000187","E16000132","E07000106","29UCGD","E00122100","29UCGD","E65000001","E01024047","E02005023","5","1A3","E00122100","E01024047","E02005023","E33042836","E38000237","E63012524","C1","4A2",51.281718,1.107446,"E37000056","","E23000032",5129,"E56000011","E54000032","E00122100","E01024047","E02005023"
