pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"CW1 1AA","CW1  1AA","CW1 1AA","199002","199512","E99999999","E99999999","E06000049","E05008621","E04012281","1","371187","0354767","1","E18000002","E40000010","E92000001","E12000002","8","E14001185","E15000002","E24000025","E30000197","E16000095","E06000049","13UDHA","E00093367","13UDHA","E65000001","E01018501","E02003829","5","4C1","E00093367","E01018501","E02003829","E33003537","E38000233","E63008902","C1","6B4",53.089331,-2.431667,"E37000003","","E23000006",15053,"E56000005","E54000008","E00093367","E01018501","E02003829"
"CW1 1AB","CW1  1AB","CW1 1AB","199201","199512","E99999999","E99999999","E06000049","E05008621","E04012281","1","371620","0355388","8","E18000002","E40000010","E92000001","E12000002","8","E14001185","E15000002","E24000025","E30000197","E16000095","E06000049","13UDHA","E00093364","13UDHA","E65000001","E01018501","E02003829","5","1C2","E00093364","E01018501","E02003829","E33007427","E38000233","E63008902","C1","6B3",53.094937,-2.425257,"E37000003","","E23000006",15053,"E56000005","E54000008","E00093364","E01018501","E02003829"
"CW1 1AD","CW1  1AD","CW1 1AD","199007","199512","E99999999","E99999999","E06000049","E05008621","E04012281","1","371200","0354700","8","E18000002","E40000010","E92000001","E12000002","8","E14001185","E15000002","E24000025","E30000197","E16000095","E06000049","13UDHA","E00093367","13UDHA","E65000001","E01018501","E02003829","5","4C1","E00093367","E01018501","E02003829","E33003537","E38000233","E63008902","C1","6B4",53.088730,-2.431467,"E37000003","","E23000006",15053,"E56000005","E54000008","E00093367","E01018501","E02003829"
"CW1 1AE","CW1  1AE","CW1 1AE","199501","199512","E99999999","E99999999","E06000049","E05008621","E04012281","0","371303","0354380","1","E18000002","E40000010","E92000001","E12000002","8","E14001185","E15000002","E24000025","E30000197","E16000095","E06000049","13UDHA","E00093367","13UDHA","E65000001","E01018501","E02003829","5","4C1","E00093367","E01018501","E02003829","E33003534","E38000233","E63008902","C1","6B4",53.085859,-2.429900,"E37000003","","E23000006",15053,"E56000005","E54000008","E00093367","E01018501","E02003829"
"CW1 1AF","CW1  1AF","CW1 1AF","199201","199512","E99999999","E99999999","E06000049","E05008621","E04012281","1","371518","0355212","6","E18000002","E40000010","E92000001","E12000002","8","E14001185","E15000002","E24000025","E30000197","E16000095","E06000049","13UDHA","E00093367","13UDHA","E65000001","E01018501","E02003829","5","4C1","E00093367","E01018501","E02003829","E33003531","E38000233","E63008902","C1","6B4",53.093349,-2.426764,"E37000003","","E23000006",15053,"E56000005","E54000008","E00093367","E01018501","E02003829"
"CW1 1AG","CW1  1AG","CW1 1AG","199507","199512","E99999999","E99999999","E06000049","E05008630","E04013186","1","373010","0355710","8","E18000002","E40000010","E92000001","E12000002","8","E14001185","E15000002","E24000025","E30000197","E16000095","E06000049","13UDGP","E00093199","13UDGP","E65000001","E01018468","E02003831","6","4B2","E00093199","E01018468","E02003831","E33007436","E38000233","E63008898","D1","6A3",53.097903,-2.404527,"E37000003","","E23000006",30432,"E56000005","E54000008","E00093199","E01018468","E02003831"
"CW1 1AH","CW1  1AH","CW1 1AH","199007","199512","E99999999","E99999999","E06000049","E05008621","E04012281","1","371200","0354700","8","E18000002","E40000010","E92000001","E12000002","8","E14001185","E15000002","E24000025","E30000197","E16000095","E06000049","13UDHA","E00093367","13UDHA","E65000001","E01018501","E02003829","5","4C1","E00093367","E01018501","E02003829","E33003537","E38000233","E63008902","C1","6B4",53.088730,-2.431467,"E37000003","","E23000006",15053,"E56000005","E54000008","E00093367","E01018501","E02003829"
"CW1 1AJ","CW1  1AJ","CW1 1AJ","199507","199512","E99999999","E99999999","E06000049","E05008630","E04013186","1","373010","0355710","8","E18000002","E40000010","E92000001","E12000002","8","E14001185","E15000002","E24000025","E30000197","E16000095","E06000049","13UDGP","E00093199","13UDGP","E65000001","E01018468","E02003831","6","4B2","E00093199","E01018468","E02003831","E33007436","E38000233","E63008898","D1","6A3",53.097903,-2.404527,"E37000003","","E23000006",30432,"E56000005","E54000008","E00093199","E01018468","E02003831"
"CW1 1AL","CW1  1AL","CW1 1AL","199301","199512","E99999999","E99999999","E06000049","E05008630","E04013186","0","372973","0355687","1","E18000002","E40000010","E92000001","E12000002","8","E14001185","E15000002","E24000025","E30000197","E16000095","E06000049","13UDGP","E00093199","13UDGP","E65000001","E01018468","E02003831","6","4B2","E00093199","E01018468","E02003831","E33007436","E38000233","E63008898","D1","6A3",53.097695,-2.405078,"E37000003","","E23000006",30432,"E56000005","E54000008","E00093199","E01018468","E02003831"
"CW1 1AN","CW1  1AN","CW1 1AN","199308","199512","E99999999","E99999999","E06000049","E05008621","E04012281","1","371518","0355212","6","E18000002","E40000010","E92000001","E12000002","8","E14001185","E15000002","E24000025","E30000197","E16000095","E06000049","13UDHA","E00093367","13UDHA","E65000001","E01018501","E02003829","5","4C1","E00093367","E01018501","E02003829","E33003531","E38000233","E63008902","C1","6B4",53.093349,-2.426764,"E37000003","","E23000006",15053,"E56000005","E54000008","E00093367","E01018501","E02003829"
