pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"DA1 1AA","DA1  1AA","DA1 1AA","199002","","E10000016","E58000697","E07000107","E05012410","E43000286","1","553654","0174061","1","E18000008","E40000005","E92000001","E12000008","5","E14001191","E15000008","E24000031","E30000234","E16000111","E07000107","29UDGR","E00122781","29UDGR","E65000001","E01024185","E02005030","5","6D2","E00122781","E01024185","E02005030","E33038335","E38000237","E63012157","A1","4A2",51.444700,0.209620,"E37000056","","E23000032",22488,"E56000011","E54000032","E00122781","E01024185","E02005030"
"DA1 1AB","DA1  1AB","DA1 1AB","198001","202210","E10000016","E58000697","E07000107","E05012409","E43000286","1","554145","0174132","1","E18000008","E40000005","E92000001","E12000008","5","E14001191","E15000008","E24000031","E30000234","E16000111","E07000107","29UDGQ","E00122764","29UDGQ","E65000001","E01024182","E02005030","5","7A2","E00122764","E01024182","E02005030","E33038332","E38000237","E63012157","A1","3A2",51.445205,0.216739,"E37000056","","E23000032",9952,"E56000011","E54000032","E00189775","E01024182","E02005030"
"DA1 1AE","DA1  1AE","DA1 1AE","200801","","E10000016","E58000694","E07000107","E05012393","E43000286","0","554799","0173877","1","E18000008","E40000005","E92000001","E12000008","5","E14001191","E15000008","E24000031","E30000234","E16000111","E07000107","29UDGB","E00122534","29UDGB","E65000001","E01024137","E02005035","5","6A1","E00122534","E01024137","E02005035","E33042888","E38000237","E63012157","A1","4C1",51.442735,0.226003,"E37000056","","E23000032",21415,"E56000011","E54000032","E00122534","E01024137","E02005035"
"DA1 1AF","DA1  1AF","DA1 1AF","199208","199706","E10000016","E58000697","E07000107","E05012410","E43000286","1","553664","0174039","8","E18000008","E40000005","E92000001","E12000008","5","E14001191","E15000008","E24000031","E30000234","E16000111","E07000107","29UDGR","E00122781","29UDGR","E65000001","E01024185","E02005030","5","6D2","E00122781","E01024185","E02005030","E33038335","E38000237","E63012157","A1","4A2",51.444500,0.209755,"E37000056","","E23000032",22488,"E56000011","E54000032","E00122781","E01024185","E02005030"
"DA1 1AG","DA1  1AG","DA1 1AG","201203","201307","E10000016","E58000697","E07000107","E05012409","E43000286","0","554334","0173688","1","E18000008","E40000005","E92000001","E12000008","5","E14001191","E15000008","E24000031","E30000234","E16000111","E07000107","29UDGQ","E00122764","29UDGQ","E65000001","E01024182","E02005030","5","7A2","E00122764","E01024182","E02005030","E33038324","E38000237","E63012157","A1","3A2",51.441164,0.219235,"E37000056","","E23000032",9952,"E56000011","E54000032","E00189775","E01024182","E02005030"
"DA1 1AH","DA1  1AH","DA1 1AH","201107","","E10000016","E58000695","E07000107","E05012403","E43000286","0","554464","0174107","1","E18000008","E40000005","E92000001","E12000008","5","E14001191","E15000008","E24000031","E30000234","E16000111","E07000107","29UDGK","E00122663","29UDGK","E65000001","E01024164","E02005032","5","6C1","E00122663","E01024164","E02005032","E33042877","E38000237","E63012157","A1","4A2",51.444893,0.221286,"E37000056","","E23000032",13485,"E56000011","E54000032","E00122663","E01024164","E02005032"
"DA1 1AJ","DA1  1AJ","DA1 1AJ","201207","201601","E10000016","E58000694","E07000107","E05012393","E43000286","0","554593","0173438","1","E18000008","E40000005","E92000001","E12000008","5","E14001191","E15000008","E24000031","E30000234","E16000111","E07000107","29UDGB","E00122537","29UDGB","E65000001","E01024137","E02005035","5","6A1","E00122537","E01024137","E02005035","E33042888","E38000237","E63012157","A1","6B1",51.438847,0.222849,"E37000056","","E23000032",21415,"E56000011","E54000032","E00189765","E01024137","E02005035"
"DA1 1AL","DA1  1AL","DA1 1AL","201611","","E10000016","E58000694","E07000107","E05012393","E43000286","0","554971","0172787","1","E18000008","E40000005","E92000001","E12000008","5","E14001191","E15000008","E24000031","E30000234","E16000111","E07000107","29UDGB","E00122537","29UDGB","E65000001","E01024137","E02005035","5","6A1","E00122537","E01024137","E02005035","E33042888","E38000237","E63012157","A1","6B1",51.432895,0.228027,"E37000056","","E23000032",21415,"E56000011","E54000032","E00189646","E01024137","E02005035"
"DA1 1AN","DA1  1AN","DA1 1AN","201610","","E10000016","E58000694","E07000107","E05012393","E43000286","0","554925","0172954","1","E18000008","E40000005","E92000001","E12000008","5","E14001191","E15000008","E24000031","E30000234","E16000111","E07000107","29UDGB","E00122537","29UDGB","E65000001","E01024137","E02005035","5","6A1","E00122537","E01024137","E02005035","E33042888","E38000237","E63012157","A1","6B1",51.434408,0.227439,"E37000056","","E23000032",21415,"E56000011","E54000032","E00189646","E01024137","E02005035"
"DA1 1AP","DA1  1AP","DA1 1AP","201801","","E10000016","E58000694","E07000107","E05012393","E43000286","0","555012","0172767","1","E18000008","E40000005","E92000001","E12000008","5","E14001191","E15000008","E24000031","E30000234","E16000111","E07000107","29UDGB","E00122537","29UDGB","E65000001","E01024137","E02005035","5","6A1","E00122537","E01024137","E02005035","E33042888","E38000237","E63012157","A1","6B1",51.432704,0.228608,"E37000056","","E23000032",21415,"E56000011","E54000032","E00189646","E01024137","E02005035"
