pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"DD1 1AA","DD1  1AA","DD1 1AA","198001","202312","S99999999","S99999999","S12000042","S13002549","S99999999","1","340102","0730430","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008713","09C21","S99999999","S01001101","S02000201","1","2A1","S00098441","S01007705","S02001448","S34000133","S03000039","S99999999","1","2B2",56.462189,-2.973622,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148458","S01015383","S02002850"
"DD1 1AB","DD1  1AB","DD1 1AB","198001","199512","S99999999","S99999999","S12000042","S13002549","S99999999","1","340080","0730420","8","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008713","09C21","S99999999","S01001101","S02000201","1","2A1","S00098441","S01007705","S02001448","S34000133","S03000039","S99999999","1","2B2",56.462096,-2.973977,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148458","S01015383","S02002850"
"DD1 1AD","DD1  1AD","DD1 1AD","200906","","S99999999","S99999999","S12000042","S13002549","S99999999","0","339879","0730457","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008712","09C21","S99999999","S01001101","S02000201","1","2A1","S00098440","S01007705","S02001448","S34000130","S03000039","S99999999","1","2B2",56.462393,-2.977250,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148480","S01015383","S02002850"
"DD1 1AE","DD1  1AE","DD1 1AE","201804","","S99999999","S99999999","S12000042","S13002549","S99999999","0","339847","0730495","5","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008712","09C21","S99999999","S01001101","S02000201","1","2A1","S00098440","S01007705","S02001448","S34000130","S03000039","S99999999","1","2B2",56.462730,-2.977778,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148480","S01015383","S02002850"
"DD1 1AF","DD1  1AF","DD1 1AF","201812","","S99999999","S99999999","S12000042","S13002549","S99999999","1","339980","0730214","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00009781","09C21","S99999999","S01001101","S02000201","1","2A1","S00099539","S01007705","S02001448","S34000146","S03000039","S99999999","1","2B1",56.460223,-2.975555,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148500","S01015383","S02002850"
"DD1 1AG","DD1  1AG","DD1 1AG","202411","","S99999999","S99999999","S12000042","S13002549","S99999999","0","340120","0730441","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008713","09C21","S99999999","S01001101","S02000201","1","2A1","S00098441","S01007705","S02001448","S34000133","S03000039","S99999999","1","2B2",56.462280,-2.973336,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148458","S01015383","S02002850"
"DD1 1AR","DD1  1AR","DD1 1AR","199606","201111","S99999999","S99999999","S12000042","S13002549","S99999999","1","340471","0730113","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008722","09C21","S99999999","S01001101","S02000201","1","2A1","S00098452","S01007706","S02001448","S34000136","S03000039","S99999999","1","2B1",56.459388,-2.967563,"S99999999","","S23000009",4424,"S99999999","S99999999","S00148554","S01015384","S02002850"
"DD1 1AY","DD1  1AY","DD1 1AY","199402","199502","S99999999","S99999999","S12000042","S13002549","S99999999","1","339930","0730140","8","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008712","09C21","S99999999","S01001101","S02000201","1","2A1","S00098440","S01007705","S02001448","S34000132","S03000039","S99999999","1","2B2",56.459562,-2.976346,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148480","S01015383","S02002850"
"DD1 1BA","DD1  1BA","DD1 1BA","198001","","S99999999","S99999999","S12000042","S13002549","S99999999","1","339938","0730377","1","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008712","09C21","S99999999","S01001101","S02000201","1","2A1","S00098440","S01007705","S02001448","S34000130","S03000039","S99999999","1","2B2",56.461682,-2.976274,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148480","S01015383","S02002850"
"DD1 1BB","DD1  1BB","DD1 1BB","198001","199512","S99999999","S99999999","S12000042","S13002549","S99999999","1","339930","0730370","8","S08000030","S99999999","S92000003","S99999999","0","S14000075","S15000001","S09000005","S22000056","S03000039","S30000049","99ZZ00","S00008712","09C21","S99999999","S01001101","S02000201","1","2A1","S00098440","S01007705","S02001448","S34000130","S03000039","S99999999","1","2B2",56.461628,-2.976399,"S99999999","","S23000009",1414,"S99999999","S99999999","S00148480","S01015383","S02002850"
