pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"DE1 0AA","DE1  0AA","DE1 0AA","200509","200602","E99999999","E99999999","E06000015","E05015511","E43000014","1","435996","0335424","1","E18000004","E40000011","E92000001","E12000004","3","E14001194","E15000004","E24000007","E30000200","E16000080","E06000015","00FKNA","E00068081","00FKNA","E65000001","E01013482","E02002813","5","5A1","E00068081","E01033167","E02002813","E33013969","E38000261","E63009183","C1","3C1",52.915040,-1.466139,"E37000045","","E23000018",666,"E56000031","E54000058","E00068081","E01033167","E02002813"
"DE1 0AB","DE1  0AB","DE1 0AB","200509","200710","E99999999","E99999999","E06000015","E05015511","E43000014","1","435996","0335424","1","E18000004","E40000011","E92000001","E12000004","3","E14001194","E15000004","E24000007","E30000200","E16000080","E06000015","00FKNA","E00068081","00FKNA","E65000001","E01013482","E02002813","5","5A1","E00068081","E01033167","E02002813","E33013969","E38000261","E63009183","C1","3C1",52.915040,-1.466139,"E37000045","","E23000018",666,"E56000031","E54000058","E00068081","E01033167","E02002813"
"DE1 0AD","DE1  0AD","DE1 0AD","200510","201012","E99999999","E99999999","E06000015","E05015511","E43000014","1","435996","0335424","1","E18000004","E40000011","E92000001","E12000004","3","E14001194","E15000004","E24000007","E30000200","E16000080","E06000015","00FKNA","E00068081","00FKNA","E65000001","E01013482","E02002813","5","5A1","E00068081","E01033167","E02002813","E33013969","E38000261","E63009183","C1","3C1",52.915040,-1.466139,"E37000045","","E23000018",666,"E56000031","E54000058","E00068081","E01033167","E02002813"
"DE1 0AE","DE1  0AE","DE1 0AE","200510","200711","E99999999","E99999999","E06000015","E05015511","E43000014","1","435996","0335424","1","E18000004","E40000011","E92000001","E12000004","3","E14001194","E15000004","E24000007","E30000200","E16000080","E06000015","00FKNA","E00068081","00FKNA","E65000001","E01013482","E02002813","5","5A1","E00068081","E01033167","E02002813","E33013969","E38000261","E63009183","C1","3C1",52.915040,-1.466139,"E37000045","","E23000018",666,"E56000031","E54000058","E00068081","E01033167","E02002813"
"DE1 0AF","DE1  0AF","DE1 0AF","200510","200611","E99999999","E99999999","E06000015","E05015511","E43000014","1","435996","0335424","1","E18000004","E40000011","E92000001","E12000004","3","E14001194","E15000004","E24000007","E30000200","E16000080","E06000015","00FKNA","E00068081","00FKNA","E65000001","E01013482","E02002813","5","5A1","E00068081","E01033167","E02002813","E33013969","E38000261","E63009183","C1","3C1",52.915040,-1.466139,"E37000045","","E23000018",666,"E56000031","E54000058","E00068081","E01033167","E02002813"
"DE1 0AG","DE1  0AG","DE1 0AG","200510","200911","E99999999","E99999999","E06000015","E05015511","E43000014","1","435996","0335424","1","E18000004","E40000011","E92000001","E12000004","3","E14001194","E15000004","E24000007","E30000200","E16000080","E06000015","00FKNA","E00068081","00FKNA","E65000001","E01013482","E02002813","5","5A1","E00068081","E01033167","E02002813","E33013969","E38000261","E63009183","C1","3C1",52.915040,-1.466139,"E37000045","","E23000018",666,"E56000031","E54000058","E00068081","E01033167","E02002813"
"DE1 0AH","DE1  0AH","DE1 0AH","200510","200910","E99999999","E99999999","E06000015","E05015511","E43000014","1","435996","0335424","1","E18000004","E40000011","E92000001","E12000004","3","E14001194","E15000004","E24000007","E30000200","E16000080","E06000015","00FKNA","E00068081","00FKNA","E65000001","E01013482","E02002813","5","5A1","E00068081","E01033167","E02002813","E33013969","E38000261","E63009183","C1","3C1",52.915040,-1.466139,"E37000045","","E23000018",666,"E56000031","E54000058","E00068081","E01033167","E02002813"
"DE1 0AJ","DE1  0AJ","DE1 0AJ","200510","200909","E99999999","E99999999","E06000015","E05015511","E43000014","1","435996","0335424","1","E18000004","E40000011","E92000001","E12000004","3","E14001194","E15000004","E24000007","E30000200","E16000080","E06000015","00FKNA","E00068081","00FKNA","E65000001","E01013482","E02002813","5","5A1","E00068081","E01033167","E02002813","E33013969","E38000261","E63009183","C1","3C1",52.915040,-1.466139,"E37000045","","E23000018",666,"E56000031","E54000058","E00068081","E01033167","E02002813"
"DE1 0AL","DE1  0AL","DE1 0AL","200901","201509","E99999999","E99999999","E06000015","E05015511","E43000014","1","435996","0335424","1","E18000004","E40000011","E92000001","E12000004","3","E14001194","E15000004","E24000007","E30000200","E16000080","E06000015","00FKNA","E00068081","00FKNA","E65000001","E01013482","E02002813","5","5A1","E00068081","E01033167","E02002813","E33013969","E38000261","E63009183","C1","3C1",52.915040,-1.466139,"E37000045","","E23000018",666,"E56000031","E54000058","E00068081","E01033167","E02002813"
"DE1 0AN","DE1  0AN","DE1 0AN","200701","200701","E99999999","E99999999","E06000015","E05015511","E43000014","1","435996","0335424","1","E18000004","E40000011","E92000001","E12000004","3","E14001194","E15000004","E24000007","E30000200","E16000080","E06000015","00FKNA","E00068081","00FKNA","E65000001","E01013482","E02002813","5","5A1","E00068081","E01033167","E02002813","E33013969","E38000261","E63009183","C1","3C1",52.915040,-1.466139,"E37000045","","E23000018",666,"E56000031","E54000058","E00068081","E01033167","E02002813"
