pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"DH1 1AA","DH1  1AA","DH1 1AA","199002","199412","E99999999","E99999999","E06000047","E05009060","E04012745","1","427500","0542600","8","E18000001","E40000012","E92000001","E12000001","1","E14001173","E15000001","E24000019","E30000203","E16000085","E06000047","20UEGU","E00105187","20UEGU","E65000001","E01020728","E02004314","5","2B2","E00171795","E01033164","E02004314","E33000712","E38000234","E63007282","C1","2A1",54.777564,-1.573997,"E37000025","","E23000008",26229,"E56000029","E54000050","E00183315","E01034493","E02004314"
"DH1 1AB","DH1  1AB","DH1 1AB","198001","","E99999999","E99999999","E06000047","E05009036","E04010594","0","430316","0543630","1","E18000001","E40000012","E92000001","E12000001","1","E14001173","E15000001","E24000019","E30000203","E16000085","E06000047","20UEGC","E00104950","20UEGC","E65000001","E01020683","E02004312","5","4D2","E00104950","E01020683","E02004312","E33001836","E38000234","E63007282","C1","5B2",54.786659,-1.530113,"E37000025","","E23000008",31529,"E56000029","E54000050","E00104950","E01020683","E02004312"
"DH1 1AD","DH1  1AD","DH1 1AD","198001","","E99999999","E99999999","E06000047","E05009036","E04010594","0","430238","0543637","1","E18000001","E40000012","E92000001","E12000001","1","E14001173","E15000001","E24000019","E30000203","E16000085","E06000047","20UEGC","E00104950","20UEGC","E65000001","E01020683","E02004312","5","4D2","E00104950","E01020683","E02004312","E33001836","E38000234","E63007282","C1","5B2",54.786726,-1.531325,"E37000025","","E23000008",31529,"E56000029","E54000050","E00104950","E01020683","E02004312"
"DH1 1AE","DH1  1AE","DH1 1AE","198001","","E99999999","E99999999","E06000047","E05009036","E04010594","0","430219","0543684","1","E18000001","E40000012","E92000001","E12000001","1","E14001173","E15000001","E24000019","E30000203","E16000085","E06000047","20UEGC","E00104950","20UEGC","E65000001","E01020683","E02004312","5","4D2","E00104950","E01020683","E02004312","E33001836","E38000234","E63007282","C1","5B2",54.787150,-1.531616,"E37000025","","E23000008",31529,"E56000029","E54000050","E00104950","E01020683","E02004312"
"DH1 1AF","DH1  1AF","DH1 1AF","198001","","E99999999","E99999999","E06000047","E05009036","E04010594","0","430340","0544013","1","E18000001","E40000012","E92000001","E12000001","1","E14001173","E15000001","E24000019","E30000203","E16000085","E06000047","20UEGF","E00104993","20UEGF","E65000001","E01020690","E02004312","5","4C2","E00104993","E01020690","E02004312","E33000492","E38000234","E63007282","C1","6B3",54.790099,-1.529700,"E37000025","","E23000008",21974,"E56000029","E54000050","E00104993","E01020690","E02004312"
"DH1 1AG","DH1  1AG","DH1 1AG","198001","","E99999999","E99999999","E06000047","E05009036","E04010594","0","430323","0543876","1","E18000001","E40000012","E92000001","E12000001","1","E14001173","E15000001","E24000019","E30000203","E16000085","E06000047","20UEGF","E00105001","20UEGF","E65000001","E01020691","E02004312","5","1C1","E00105001","E01020691","E02004312","E33001834","E38000234","E63007282","C1","5B3",54.788869,-1.529979,"E37000025","","E23000008",14948,"E56000029","E54000050","E00105001","E01020691","E02004312"
"DH1 1AH","DH1  1AH","DH1 1AH","198001","","E99999999","E99999999","E06000047","E05009036","E04010594","0","430512","0544142","1","E18000001","E40000012","E92000001","E12000001","1","E14001173","E15000001","E24000019","E30000203","E16000085","E06000047","20UEGF","E00104996","20UEGF","E65000001","E01020690","E02004312","5","4C2","E00104996","E01020690","E02004312","E33001835","E38000234","E63007282","C1","6B3",54.791248,-1.527012,"E37000025","","E23000008",21974,"E56000029","E54000050","E00104996","E01020690","E02004312"
"DH1 1AJ","DH1  1AJ","DH1 1AJ","198001","","E99999999","E99999999","E06000047","E05009036","E04010594","0","430549","0544260","1","E18000001","E40000012","E92000001","E12000001","1","E14001173","E15000001","E24000019","E30000203","E16000085","E06000047","20UEGF","E00104996","20UEGF","E65000001","E01020690","E02004312","5","4C2","E00104996","E01020690","E02004312","E33001835","E38000234","E63007282","C1","6B3",54.792315,-1.526436,"E37000025","","E23000008",21974,"E56000029","E54000050","E00104996","E01020690","E02004312"
"DH1 1AL","DH1  1AL","DH1 1AL","198001","","E99999999","E99999999","E06000047","E05009036","E04010594","0","430382","0543928","1","E18000001","E40000012","E92000001","E12000001","1","E14001173","E15000001","E24000019","E30000203","E16000085","E06000047","20UEGF","E00104999","20UEGF","E65000001","E01020691","E02004312","5","6A1","E00104999","E01020691","E02004312","E33001834","E38000234","E63007282","C1","5A1",54.789333,-1.529056,"E37000025","","E23000008",14948,"E56000029","E54000050","E00104999","E01020691","E02004312"
"DH1 1AN","DH1  1AN","DH1 1AN","198001","","E99999999","E99999999","E06000047","E05009036","E04010594","0","430459","0543996","1","E18000001","E40000012","E92000001","E12000001","1","E14001173","E15000001","E24000019","E30000203","E16000085","E06000047","20UEGF","E00104996","20UEGF","E65000001","E01020690","E02004312","5","4C2","E00104996","E01020690","E02004312","E33001835","E38000234","E63007282","C1","6B3",54.789939,-1.527851,"E37000025","","E23000008",21974,"E56000029","E54000050","E00104996","E01020690","E02004312"
