pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"EH1 1AA","EH1  1AA","EH1 1AA","198001","199612","S99999999","S99999999","S12000036","S13002929","S99999999","1","325910","0674040","8","S08000024","S99999999","S92000003","S99999999","0","S14000079","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00013302","14C20","S99999999","S01002161","S02000393","1","2A1","S00103339","S01008676","S02001622","S34000188","S03000042","S99999999","1","2C2",55.953650,-3.188106,"S99999999","","S23000009",3285,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1AD","EH1  1AD","EH1 1AD","200906","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325621","0673516","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00013291","14C32","S99999999","S01002106","S02000393","1","2A1","S00103323","S01008674","S02001622","S34003796","S03000042","S99999999","1","2B1",55.948894,-3.192590,"S99999999","","S23000009",4105,"S99999999","S99999999","S00143153","S01014710","S02002727"
"EH1 1AE","EH1  1AE","EH1 1AE","201809","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325820","0673532","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00013290","14C34","S99999999","S01002108","S02000393","1","5C2","S00103321","S01008678","S02001622","S34003741","S03000042","S99999999","1","2B2",55.949069,-3.189408,"S99999999","","S23000009",3815,"S99999999","S99999999","S00143121","S01014714","S02002727"
"EH1 1AF","EH1  1AF","EH1 1AF","200411","200904","S99999999","S99999999","S12000036","S13002930","S99999999","1","326635","0674777","1","S08000024","S99999999","S92000003","S99999999","0","S14000079","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00014303","14C20","S99999999","S01002206","S02000402","1","2A1","S00104433","S01008806","S02001647","S34003940","S03000042","S99999999","1","2B1",55.960382,-3.176699,"S99999999","","S23000009",4948,"S99999999","S99999999","S00142395","S01014855","S02002753"
"EH1 1AG","EH1  1AG","EH1 1AG","202404","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325871","0673283","2","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00013283","14C32","S99999999","S01002108","S02000393","1","2A1","S00104710","S01008678","S02001622","S34003783","S03000042","S99999999","1","2B2",55.946840,-3.188523,"S99999999","","S23000009",3815,"S99999999","S99999999","S00143229","S01014714","S02002727"
"EH1 1AL","EH1  1AL","EH1 1AL","198612","199612","S99999999","S99999999","S12000036","S13002929","S99999999","1","325990","0673990","8","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00014492","14C34","S99999999","S01002131","S02000393","1","5C2","S00103339","S01008676","S02001622","S34000188","S03000042","S99999999","1","2C2",55.953214,-3.186811,"S99999999","","S23000009",3285,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1AN","EH1  1AN","EH1 1AN","199512","199612","S99999999","S99999999","S12000036","S13002929","S99999999","0","325910","0673970","8","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00014492","14C34","S99999999","S01002131","S02000393","1","5C2","S00103339","S01008676","S02001622","S34000188","S03000042","S99999999","1","2C2",55.953022,-3.188087,"S99999999","","S23000009",3285,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1AQ","EH1  1AQ","EH1 1AQ","197401","197608","S99999999","S99999999","S12000036","S13002929","S99999999","0","325860","0673880","8","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00014492","14C34","S99999999","S01002131","S02000393","1","5C2","S00103339","S01008676","S02001622","S34000188","S03000042","S99999999","1","2C2",55.952206,-3.188863,"S99999999","","S23000009",3285,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1BA","EH1  1BA","EH1 1BA","199012","199606","S99999999","S99999999","S12000036","S13002929","S99999999","1","325900","0673860","8","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00014492","14C34","S99999999","S01002131","S02000393","1","5C2","S00103339","S01008676","S02001622","S34000188","S03000042","S99999999","1","2C2",55.952032,-3.188217,"S99999999","","S23000009",3285,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1BB","EH1  1BB","EH1 1BB","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325792","0673854","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00014492","14C34","S99999999","S01002131","S02000393","1","5C2","S00103339","S01008676","S02001622","S34000188","S03000042","S99999999","1","2C2",55.951957,-3.189945,"S99999999","","S23000009",3285,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1BD","EH1  1BD","EH1 1BD","198001","201709","S99999999","S99999999","S12000036","S13002929","S99999999","1","325945","0673892","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00014492","14C34","S99999999","S01002131","S02000393","1","5C2","S00103339","S01008676","S02001622","S34000188","S03000042","S99999999","1","2C2",55.952326,-3.187505,"S99999999","","S23000009",3285,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1BE","EH1  1BE","EH1 1BE","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","1","325792","0673854","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00014492","14C34","S99999999","S01002131","S02000393","1","5C2","S00103339","S01008676","S02001622","S34000188","S03000042","S99999999","1","2C2",55.951961,-3.189944,"S99999999","","S23000009",3285,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1BG","EH1  1BG","EH1 1BG","198001","200710","S99999999","S99999999","S12000036","S13002929","S99999999","1","325792","0673854","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00014492","14C34","S99999999","S01002131","S02000393","1","5C2","S00103339","S01008676","S02001622","S34000188","S03000042","S99999999","1","2C2",55.951961,-3.189944,"S99999999","","S23000009",3285,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1BJ","EH1  1BJ","EH1 1BJ","198001","201512","S99999999","S99999999","S12000036","S13002929","S99999999","1","325727","0673727","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00017246","14C34","S99999999","S01002131","S02000393","1","2A1","S00107624","S01008677","S02001622","S34000281","S03000042","S99999999","1","2B2",55.950811,-3.190950,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143089","S01014713","S02002727"
"EH1 1BL","EH1  1BL","EH1 1BL","201204","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325678","0673710","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00016451","14C34","S99999999","S01002131","S02000393","1","2A1","S00107624","S01008677","S02001622","S34000281","S03000042","S99999999","1","2B2",55.950650,-3.191729,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143089","S01014713","S02002727"
"EH1 1BN","EH1  1BN","EH1 1BN","199201","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325777","0673723","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00017246","14C34","S99999999","S01002131","S02000393","1","2A1","S00107624","S01008677","S02001622","S34000281","S03000042","S99999999","1","2B2",55.950782,-3.190148,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143089","S01014713","S02002727"
"EH1 1BP","EH1  1BP","EH1 1BP","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325769","0673718","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00017246","14C34","S99999999","S01002131","S02000393","1","2A1","S00107624","S01008677","S02001622","S34000281","S03000042","S99999999","1","2B2",55.950732,-3.190276,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143089","S01014713","S02002727"
"EH1 1BQ","EH1  1BQ","EH1 1BQ","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325708","0673929","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00017246","14C34","S99999999","S01002131","S02000393","1","2A1","S00107624","S01008677","S02001622","S34000281","S03000042","S99999999","1","2B2",55.952622,-3.191310,"S99999999","","S23000009",3201,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1BR","EH1  1BR","EH1 1BR","199207","199412","S99999999","S99999999","S12000036","S13002929","S99999999","1","325780","0673760","8","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00017246","14C34","S99999999","S01002131","S02000393","1","2A1","S00107624","S01008677","S02001622","S34000281","S03000042","S99999999","1","2B2",55.951115,-3.190110,"S99999999","","S23000009",3201,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1BS","EH1  1BS","EH1 1BS","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325840","0673715","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00017246","14C34","S99999999","S01002131","S02000393","1","2A1","S00107623","S01008677","S02001622","S34003903","S03000042","S99999999","1","2B1",55.950720,-3.189137,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143090","S01014713","S02002727"
"EH1 1BU","EH1  1BU","EH1 1BU","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325880","0673700","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00016452","14C34","S99999999","S01002131","S02000393","1","2A1","S00106725","S01008677","S02001622","S34003903","S03000042","S99999999","1","2B2",55.950592,-3.188493,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143076","S01014713","S02002727"
"EH1 1BW","EH1  1BW","EH1 1BW","198001","199912","S99999999","S99999999","S12000036","S13002929","S99999999","1","325688","0673712","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00016451","14C34","S99999999","S01002131","S02000393","1","2A1","S00107624","S01008677","S02001622","S34000281","S03000042","S99999999","1","2B2",55.950670,-3.191570,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143089","S01014713","S02002727"
"EH1 1BX","EH1  1BX","EH1 1BX","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325855","0673742","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00017246","14C34","S99999999","S01002131","S02000393","1","2A1","S00107624","S01008677","S02001622","S34000282","S03000042","S99999999","1","2B2",55.950960,-3.188906,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143076","S01014713","S02002727"
"EH1 1BY","EH1  1BY","EH1 1BY","197308","197707","S99999999","S99999999","S12000036","S13002929","S99999999","0","325850","0673750","8","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00017246","14C34","S99999999","S01002131","S02000393","1","2A1","S00107624","S01008677","S02001622","S34000282","S03000042","S99999999","1","2B2",55.951036,-3.188987,"S99999999","","S23000009",3201,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1DA","EH1  1DA","EH1 1DA","199207","199906","S99999999","S99999999","S12000036","S13002929","S99999999","1","325938","0673581","6","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00013285","14C34","S99999999","S01002118","S02000393","1","2A2","S00103316","S01008679","S02001622","S34003852","S03000042","S99999999","1","2B1",55.949532,-3.187531,"S99999999","","S23000009",1059,"S99999999","S99999999","S00143118","S01014715","S02002727"
"EH1 1DD","EH1  1DD","EH1 1DD","200908","","S99999999","S99999999","S12000036","S13002929","S99999999","1","325965","0673587","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00013285","14C34","S99999999","S01002118","S02000393","1","2A2","S00103316","S01008679","S02001622","S34003852","S03000042","S99999999","1","2B1",55.949585,-3.187102,"S99999999","","S23000009",1059,"S99999999","S99999999","S00143118","S01014715","S02002727"
"EH1 1DE","EH1  1DE","EH1 1DE","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325865","0673761","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00017246","14C34","S99999999","S01002131","S02000393","1","2A1","S00107624","S01008677","S02001622","S34000282","S03000042","S99999999","1","2B2",55.951133,-3.188751,"S99999999","","S23000009",3201,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1DF","EH1  1DF","EH1 1DF","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","0","325788","0673773","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00017246","14C34","S99999999","S01002131","S02000393","1","2A1","S00107624","S01008677","S02001622","S34000281","S03000042","S99999999","1","2B2",55.951228,-3.189987,"S99999999","","S23000009",3201,"S99999999","S99999999","S00142890","S01014713","S02002727"
"EH1 1DG","EH1  1DG","EH1 1DG","198001","199812","S99999999","S99999999","S12000036","S13002929","S99999999","1","326014","0673759","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00016449","14C34","S99999999","S01002131","S02000393","1","2A1","S00106723","S01008677","S02001622","S34003767","S03000042","S99999999","1","2B1",55.951142,-3.186364,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143068","S01014713","S02002727"
"EH1 1DH","EH1  1DH","EH1 1DH","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","0","326071","0673759","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00016449","14C34","S99999999","S01002131","S02000393","1","2A1","S00106723","S01008677","S02001622","S34003767","S03000042","S99999999","1","2B1",55.951151,-3.185451,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143068","S01014713","S02002727"
"EH1 1DJ","EH1  1DJ","EH1 1DJ","199207","199512","S99999999","S99999999","S12000036","S13002929","S99999999","1","326120","0673730","8","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00013288","14C34","S99999999","S01002131","S02000393","1","2A1","S00103319","S01008677","S02001622","S34003767","S03000042","S99999999","1","2B1",55.950898,-3.184659,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143078","S01014713","S02002727"
"EH1 1DN","EH1  1DN","EH1 1DN","198001","199512","S99999999","S99999999","S12000036","S13002929","S99999999","1","326020","0673760","8","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00016449","14C34","S99999999","S01002131","S02000393","1","2A1","S00106723","S01008677","S02001622","S34003767","S03000042","S99999999","1","2B1",55.951152,-3.186268,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143068","S01014713","S02002727"
"EH1 1DR","EH1  1DR","EH1 1DR","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","0","326118","0673734","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00013288","14C34","S99999999","S01002131","S02000393","1","2A1","S00103319","S01008677","S02001622","S34003767","S03000042","S99999999","1","2B1",55.950934,-3.184692,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143078","S01014713","S02002727"
"EH1 1DS","EH1  1DS","EH1 1DS","199402","199512","S99999999","S99999999","S12000036","S13002929","S99999999","1","326120","0673730","8","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00013288","14C34","S99999999","S01002131","S02000393","1","2A1","S00103319","S01008677","S02001622","S34003767","S03000042","S99999999","1","2B1",55.950898,-3.184659,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143078","S01014713","S02002727"
"EH1 1DT","EH1  1DT","EH1 1DT","198001","","S99999999","S99999999","S12000036","S13002929","S99999999","0","326151","0673740","1","S08000024","S99999999","S92000003","S99999999","0","S14000078","S15000001","S09000002","S22000059","S03000042","S30000008","99ZZ00","S00013288","14C34","S99999999","S01002131","S02000393","1","2A1","S00103319","S01008677","S02001622","S34003767","S03000042","S99999999","1","2B1",55.950993,-3.184165,"S99999999","","S23000009",3201,"S99999999","S99999999","S00143078","S01014713","S02002727"
