pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"EN1 1AA","EN1  1AA","EN1 1AA","199002","","E99999999","E99999999","E09000010","E05013693","E43000200","1","533124","0196542","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007528","00AKHB","E65000001","E01001512","E02000291","5","2A2","E00007528","E01001512","E02000291","E33029704","E38000240","E63011803","A1","3A2",51.651916,-0.077106,"E37000051","","E23000001",15781,"E56000027","E54000028","E00178819","E01001512","E02000291"
"EN1 1AB","EN1  1AB","EN1 1AB","199606","200806","E99999999","E99999999","E09000010","E05013693","E43000200","1","533125","0196544","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007528","00AKHB","E65000001","E01001512","E02000291","5","2A2","E00007528","E01001512","E02000291","E33029704","E38000240","E63011803","A1","3A2",51.651933,-0.077091,"E37000051","","E23000001",15781,"E56000027","E54000028","E00178819","E01001512","E02000291"
"EN1 1AD","EN1  1AD","EN1 1AD","199612","200408","E99999999","E99999999","E09000010","E05013693","E43000200","1","533125","0196544","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007528","00AKHB","E65000001","E01001512","E02000291","5","2A2","E00007528","E01001512","E02000291","E33029704","E38000240","E63011803","A1","3A2",51.651933,-0.077091,"E37000051","","E23000001",15781,"E56000027","E54000028","E00178819","E01001512","E02000291"
"EN1 1AE","EN1  1AE","EN1 1AE","199301","199912","E99999999","E99999999","E09000010","E05013691","E43000200","1","533887","0195866","6","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007504","00AKHB","E65000001","E01001514","E02000292","5","7B1","E00007504","E01001514","E02000292","E33033537","E38000240","E63011803","A1","3A1",51.645660,-0.066342,"E37000051","","E23000001",12968,"E56000027","E54000028","E00007504","E01001514","E02000292"
"EN1 1AF","EN1  1AF","EN1 1AF","199301","199412","E99999999","E99999999","E09000010","E05013691","E43000200","1","534000","0196300","8","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007530","00AKHB","E65000001","E01001511","E02000292","5","6C1","E00007530","E01001511","E02000292","E33033536","E38000240","E63011803","A1","4A3",51.649533,-0.064544,"E37000051","","E23000001",12867,"E56000027","E54000028","E00007530","E01001511","E02000292"
"EN1 1AG","EN1  1AG","EN1 1AG","199301","201008","E99999999","E99999999","E09000010","E05013693","E43000200","1","533125","0196544","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007528","00AKHB","E65000001","E01001512","E02000291","5","2A2","E00007528","E01001512","E02000291","E33029704","E38000240","E63011803","A1","3A2",51.651933,-0.077091,"E37000051","","E23000001",15781,"E56000027","E54000028","E00178819","E01001512","E02000291"
"EN1 1AH","EN1  1AH","EN1 1AH","199612","200402","E99999999","E99999999","E09000010","E05013693","E43000200","1","533125","0196544","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007528","00AKHB","E65000001","E01001512","E02000291","5","2A2","E00007528","E01001512","E02000291","E33029704","E38000240","E63011803","A1","3A2",51.651933,-0.077091,"E37000051","","E23000001",15781,"E56000027","E54000028","E00178819","E01001512","E02000291"
"EN1 1AJ","EN1  1AJ","EN1 1AJ","199405","201501","E99999999","E99999999","E09000010","E05013677","E43000200","1","534375","0196832","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007522","00AKHB","E65000001","E01001513","E02000288","5","1B2","E00007522","E01001513","E02000288","E33029702","E38000240","E63011803","A1","4A1",51.654224,-0.058923,"E37000051","","E23000001",6497,"E56000027","E54000028","E00007522","E01001513","E02000288"
"EN1 1AL","EN1  1AL","EN1 1AL","199507","199712","E99999999","E99999999","E09000010","E05013691","E43000200","1","533886","0195860","6","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007504","00AKHB","E65000001","E01001514","E02000292","5","7B1","E00007504","E01001514","E02000292","E33033537","E38000240","E63011803","A1","3A1",51.645606,-0.066359,"E37000051","","E23000001",12968,"E56000027","E54000028","E00007504","E01001514","E02000292"
"EN1 1AN","EN1  1AN","EN1 1AN","199606","199806","E99999999","E99999999","E09000010","E05013691","E43000200","1","533886","0195860","6","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007504","00AKHB","E65000001","E01001514","E02000292","5","7B1","E00007504","E01001514","E02000292","E33033537","E38000240","E63011803","A1","3A1",51.645606,-0.066359,"E37000051","","E23000001",12968,"E56000027","E54000028","E00007504","E01001514","E02000292"
"EN1 1AP","EN1  1AP","EN1 1AP","201010","201205","E99999999","E99999999","E09000010","E05013693","E43000200","1","533125","0196544","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007528","00AKHB","E65000001","E01001512","E02000291","5","2A2","E00007528","E01001512","E02000291","E33029704","E38000240","E63011803","A1","3A2",51.651933,-0.077091,"E37000051","","E23000001",15781,"E56000027","E54000028","E00178819","E01001512","E02000291"
"EN1 1AQ","EN1  1AQ","EN1 1AQ","199712","199812","E99999999","E99999999","E09000010","E05013691","E43000200","1","533887","0195861","6","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007504","00AKHB","E65000001","E01001514","E02000292","5","7B1","E00007504","E01001514","E02000292","E33033537","E38000240","E63011803","A1","3A1",51.645615,-0.066344,"E37000051","","E23000001",12968,"E56000027","E54000028","E00007504","E01001514","E02000292"
"EN1 1AR","EN1  1AR","EN1 1AR","199712","200708","E99999999","E99999999","E09000010","E05013693","E43000200","1","533125","0196544","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007528","00AKHB","E65000001","E01001512","E02000291","5","2A2","E00007528","E01001512","E02000291","E33029704","E38000240","E63011803","A1","3A2",51.651933,-0.077091,"E37000051","","E23000001",15781,"E56000027","E54000028","E00178819","E01001512","E02000291"
"EN1 1AS","EN1  1AS","EN1 1AS","199002","199712","E99999999","E99999999","E09000010","E05013693","E43000200","1","533040","0196562","8","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007528","00AKHB","E65000001","E01001512","E02000291","5","2A2","E00007528","E01001512","E02000291","E33029704","E38000240","E63011803","A1","3A2",51.652115,-0.078312,"E37000051","","E23000001",15781,"E56000027","E54000028","E00178819","E01001512","E02000291"
"EN1 1AT","EN1  1AT","EN1 1AT","199002","200506","E99999999","E99999999","E09000010","E05013689","E43000200","1","534749","0195968","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007498","00AKHB","E65000001","E01001511","E02000292","5","7A3","E00007498","E01001511","E02000292","E33029696","E38000240","E63011803","A1","4A3",51.646371,-0.053852,"E37000051","","E23000001",12867,"E56000027","E54000028","E00007498","E01001511","E02000292"
"EN1 1AU","EN1  1AU","EN1 1AU","199002","199812","E99999999","E99999999","E09000010","E05013689","E43000200","1","534749","0195968","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007498","00AKHB","E65000001","E01001511","E02000292","5","7A3","E00007498","E01001511","E02000292","E33029696","E38000240","E63011803","A1","4A3",51.646371,-0.053852,"E37000051","","E23000001",12867,"E56000027","E54000028","E00007498","E01001511","E02000292"
"EN1 1AW","EN1  1AW","EN1 1AW","199606","199712","E99999999","E99999999","E09000010","E05013691","E43000200","1","533886","0195860","6","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007504","00AKHB","E65000001","E01001514","E02000292","5","7B1","E00007504","E01001514","E02000292","E33033537","E38000240","E63011803","A1","3A1",51.645606,-0.066359,"E37000051","","E23000001",12968,"E56000027","E54000028","E00007504","E01001514","E02000292"
"EN1 1AX","EN1  1AX","EN1 1AX","199612","199712","E99999999","E99999999","E09000010","E05013691","E43000200","1","533886","0195860","6","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007504","00AKHB","E65000001","E01001514","E02000292","5","7B1","E00007504","E01001514","E02000292","E33033537","E38000240","E63011803","A1","3A1",51.645606,-0.066359,"E37000051","","E23000001",12968,"E56000027","E54000028","E00007504","E01001514","E02000292"
"EN1 1AY","EN1  1AY","EN1 1AY","199002","201210","E99999999","E99999999","E09000010","E05013689","E43000200","1","534684","0195958","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007498","00AKHB","E65000001","E01001511","E02000292","5","7A3","E00007498","E01001511","E02000292","E33029696","E38000240","E63011803","A1","4A3",51.646296,-0.054795,"E37000051","","E23000001",12867,"E56000027","E54000028","E00007498","E01001511","E02000292"
"EN1 1AZ","EN1  1AZ","EN1 1AZ","199007","199906","E99999999","E99999999","E09000010","E05013691","E43000200","1","533887","0195861","6","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007504","00AKHB","E65000001","E01001514","E02000292","5","7B1","E00007504","E01001514","E02000292","E33033537","E38000240","E63011803","A1","3A1",51.645615,-0.066344,"E37000051","","E23000001",12968,"E56000027","E54000028","E00007504","E01001514","E02000292"
"EN1 1BA","EN1  1BA","EN1 1BA","198001","","E99999999","E99999999","E09000010","E05013691","E43000200","0","533716","0195439","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKGM","E00006986","00AKGM","E65000001","E01001406","E02000291","5","7B1","E00006986","E01001406","E02000291","E33033527","E38000240","E63011803","A1","3A2",51.641864,-0.068975,"E37000051","","E23000001",11086,"E56000027","E54000028","E00006986","E01001406","E02000291"
"EN1 1BB","EN1  1BB","EN1 1BB","198001","","E99999999","E99999999","E09000010","E05013691","E43000200","0","533827","0195494","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKGM","E00006986","00AKGM","E65000001","E01001406","E02000291","5","7B1","E00006986","E01001406","E02000291","E33033527","E38000240","E63011803","A1","3A2",51.642334,-0.067325,"E37000051","","E23000001",11086,"E56000027","E54000028","E00006986","E01001406","E02000291"
"EN1 1BD","EN1  1BD","EN1 1BD","198001","200203","E99999999","E99999999","E09000010","E05013691","E43000200","1","533856","0195572","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKGM","E00006986","00AKGM","E65000001","E01001406","E02000291","5","7B1","E00006986","E01001406","E02000291","E33033527","E38000240","E63011803","A1","3A2",51.643025,-0.066902,"E37000051","","E23000001",11086,"E56000027","E54000028","E00006986","E01001406","E02000291"
"EN1 1BE","EN1  1BE","EN1 1BE","198001","","E99999999","E99999999","E09000010","E05013691","E43000200","0","533875","0195672","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKHB","E00007504","00AKHB","E65000001","E01001514","E02000292","5","7B1","E00007504","E01001514","E02000292","E33033537","E38000240","E63011803","A1","3A1",51.643919,-0.066590,"E37000051","","E23000001",12968,"E56000027","E54000028","E00007504","E01001514","E02000292"
"EN1 1BF","EN1  1BF","EN1 1BF","199707","199707","E99999999","E99999999","E09000010","E05013691","E43000200","1","533800","0195700","8","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKGM","E00006980","00AKGM","E65000001","E01001406","E02000291","5","7B1","E00006980","E01001406","E02000291","E33033527","E38000240","E63011803","A1","4A3",51.644189,-0.067662,"E37000051","","E23000001",11086,"E56000027","E54000028","E00006980","E01001406","E02000291"
"EN1 1BG","EN1  1BG","EN1 1BG","198001","","E99999999","E99999999","E09000010","E05013691","E43000200","0","533837","0195730","1","E18000007","E40000003","E92000001","E12000007","5","E14001225","E15000007","E24000012","E30000234","E16000008","E09000010","00AKGM","E00006980","00AKGM","E65000001","E01001406","E02000291","5","7B1","E00006980","E01001406","E02000291","E33033527","E38000240","E63011803","A1","4A3",51.644450,-0.067116,"E37000051","","E23000001",11086,"E56000027","E54000028","E00006980","E01001406","E02000291"
