pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"GL1 1AA","GL1  1AA","GL1 1AA","199002","199512","E10000013","E58000474","E07000081","E05010952","E43000067","1","385320","0218315","1","E18000010","E40000006","E92000001","E12000009","6","E14001248","E15000009","E24000037","E30000209","E16000138","E07000081","23UEFS","E00113276","23UEFS","E65000001","E01022287","E02004642","5","1B1","E00113276","E01022287","E02004642","E33046553","E38000062","E63011389","C1","8D2",51.863220,-2.214587,"E37000011","","E23000037",19179,"E56000033","E54000043","E00113276","E01022287","E02004642"
"GL1 1AB","GL1  1AB","GL1 1AB","198001","198812","E10000013","E58000474","E07000081","E05010952","E43000067","1","385300","0218300","8","E18000010","E40000006","E92000001","E12000009","6","E14001248","E15000009","E24000037","E30000209","E16000138","E07000081","23UEFS","E00113276","23UEFS","E65000001","E01022287","E02004642","5","1B1","E00113276","E01022287","E02004642","E33046553","E38000062","E63011389","C1","8D2",51.863085,-2.214876,"E37000011","","E23000037",19179,"E56000033","E54000043","E00113276","E01022287","E02004642"
"GL1 1AD","GL1  1AD","GL1 1AD","198001","","E10000013","E58000497","E07000081","E05010967","E43000067","1","383316","0218534","1","E18000010","E40000006","E92000001","E12000009","6","E14001248","E15000009","E24000037","E30000209","E16000138","E07000081","23UEGG","E00113597","23UEGG","E65000001","E01022349","E02004639","5","2B2","E00113597","E01032937","E02004639","E33046589","E38000062","E63011389","C1","2C1",51.865133,-2.243699,"E37000011","","E23000037",1579,"E56000033","E54000043","E00186407","E01032937","E02004639"
"GL1 1AE","GL1  1AE","GL1 1AE","200803","","E10000013","E58000497","E07000081","E05010967","E43000067","0","382994","0217975","1","E18000010","E40000006","E92000001","E12000009","6","E14001248","E15000009","E24000037","E30000209","E16000138","E07000081","23UEGG","E00113605","23UEGG","E65000001","E01022347","E02004639","5","2B2","E00113605","E01022347","E02004639","E33046602","E38000062","E63011389","C1","2C1",51.860097,-2.248347,"E37000011","","E23000037",1183,"E56000033","E54000043","E00113605","E01034792","E02004639"
"GL1 1AF","GL1  1AF","GL1 1AF","200803","200807","E10000013","E58000497","E07000081","E05010967","E43000067","0","383425","0218173","1","E18000010","E40000006","E92000001","E12000009","6","E14001248","E15000009","E24000037","E30000209","E16000138","E07000081","23UEGG","E00113598","23UEGG","E65000001","E01022347","E02004639","5","7A2","E00113598","E01022347","E02004639","E33049893","E38000062","E63011389","C1","4A2",51.861890,-2.242099,"E37000011","","E23000037",1183,"E56000033","E54000043","E00113598","E01034793","E02004639"
"GL1 1AG","GL1  1AG","GL1 1AG","200806","","E10000013","E58000497","E07000081","E05010967","E43000067","0","383162","0218436","1","E18000010","E40000006","E92000001","E12000009","6","E14001248","E15000009","E24000037","E30000209","E16000138","E07000081","23UEGG","E00113597","23UEGG","E65000001","E01022349","E02004639","5","2B2","E00113597","E01032937","E02004639","E33046591","E38000062","E63011389","C1","2C1",51.864246,-2.246337,"E37000011","","E23000037",1579,"E56000033","E54000043","E00186407","E01032937","E02004639"
"GL1 1AH","GL1  1AH","GL1 1AH","201310","","E10000013","E58000500","E07000081","E05010955","E43000067","0","384609","0218051","1","E18000010","E40000006","E92000001","E12000009","6","E14001542","E15000009","E24000037","E30000209","E16000138","E07000081","23UEFY","E00113411","23UEFY","E65000001","E01022312","E02004637","5","6B2","E00168977","E01022312","E02004637","E33049880","E38000062","E63011389","C1","4C1",51.861356,-2.224928,"E37000011","","E23000037",15803,"E56000033","E54000043","E00168977","E01022312","E02004637"
"GL1 1AJ","GL1  1AJ","GL1 1AJ","201801","","E10000013","E58000500","E07000081","E05010955","E43000067","0","384855","0218137","1","E18000010","E40000006","E92000001","E12000009","6","E14001542","E15000009","E24000037","E30000209","E16000138","E07000081","23UEFY","E00113411","23UEFY","E65000001","E01022312","E02004637","5","6B2","E00168977","E01022312","E02004637","E33049880","E38000062","E63011389","C1","4C1",51.861614,-2.221328,"E37000011","","E23000037",15803,"E56000033","E54000043","E00168977","E01022312","E02004637"
"GL1 1AL","GL1  1AL","GL1 1AL","198704","199212","E10000013","E58001794","E07000082","E05013198","E04013009","1","385900","0202400","8","E18000010","E40000006","E92000001","E12000009","6","E14001529","E15000009","E24000037","E30000209","E16000138","E07000082","23UFHJ","E00113907","23UFHJ","E65000001","E01022408","E02004657","5","4B4","E00113907","E01022408","E02004657","E33049978","E38000062","E63011688","C1","6A3",51.720144,-2.205512,"E37000011","","E23000037",25145,"E56000033","E54000043","E00113907","E01022408","E02004657"
"GL1 1AN","GL1  1AN","GL1 1AN","201606","","E10000013","E58000497","E07000081","E05010967","E43000067","0","382871","0217824","1","E18000010","E40000006","E92000001","E12000009","6","E14001248","E15000009","E24000037","E30000209","E16000138","E07000081","23UEGG","E00113602","23UEGG","E65000001","E01022348","E02004639","5","2B2","E00168945","E01022348","E02004639","E33046983","E38000062","E63011389","C1","2C1",51.858743,-2.250123,"E37000011","","E23000037",19357,"E56000033","E54000043","E00168945","E01034791","E02004639"
