pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"GU1 1AA","GU1  1AA","GU1 1AA","199002","","E10000030","E58001497","E07000209","E05014959","E43000138","1","499049","0150522","1","E18000008","E40000005","E92000001","E12000008","5","E14001258","E15000008","E24000029","E30000212","E16000107","E07000209","43UDGF","E00155308","43UDGF","E65000001","E01030452","E02006358","5","2B2","E00155308","E01030452","E02006358","E33038868","E38000264","E63012715","C1","2A3",51.245283,-0.582332,"E37000046","","E23000031",22457,"E56000012","E54000063","E00190506","E01030452","E02006358"
"GU1 1AB","GU1  1AB","GU1 1AB","199201","199812","E10000030","E58001495","E07000209","E05014947","E43000138","1","500086","0152382","1","E18000008","E40000005","E92000001","E12000008","5","E14001258","E15000008","E24000029","E30000212","E16000107","E07000209","43UDGR","E00155480","43UDGR","E65000001","E01030484","E02006350","5","6B2","E00155480","E01030484","E02006350","E33038906","E38000264","E63012715","C1","4A2",51.261821,-0.566961,"E37000046","","E23000031",14555,"E56000012","E54000063","E00155480","E01030484","E02006350"
"GU1 1AD","GU1  1AD","GU1 1AD","199201","","E10000030","E58001495","E07000209","E05014947","E43000138","0","500056","0151863","1","E18000008","E40000005","E92000001","E12000008","5","E14001258","E15000008","E24000029","E30000212","E16000107","E07000209","43UDGR","E00155480","43UDGR","E65000001","E01030484","E02006350","5","6B2","E00155480","E01030484","E02006350","E33038904","E38000264","E63012715","C1","4A2",51.257161,-0.567536,"E37000046","","E23000031",14555,"E56000012","E54000063","E00155480","E01030484","E02006350"
"GU1 1AE","GU1  1AE","GU1 1AE","199606","","E10000030","E58001541","E07000209","E05014964","E04009563","0","500258","0152632","1","E18000008","E40000005","E92000001","E12000008","5","E14001258","E15000008","E24000029","E30000212","E16000107","E07000209","43UDGW","E00155579","43UDGW","E65000001","E01030504","E02006348","5","4D2","E00155579","E01030504","E02006348","E33044192","E38000264","E63012715","C1","6A1",51.264038,-0.564427,"E37000046","","E23000031",30055,"E56000012","E54000063","E00155579","E01030504","E02006348"
"GU1 1AF","GU1  1AF","GU1 1AF","199201","","E10000030","E58001541","E07000209","E05014964","E04009563","1","500071","0152627","1","E18000008","E40000005","E92000001","E12000008","5","E14001258","E15000008","E24000029","E30000212","E16000107","E07000209","43UDGW","E00155579","43UDGW","E65000001","E01030504","E02006348","5","4D2","E00155579","E01030504","E02006348","E33044192","E38000264","E63012715","C1","6A1",51.264026,-0.567107,"E37000046","","E23000031",30055,"E56000012","E54000063","E00155579","E01030504","E02006348"
"GU1 1AG","GU1  1AG","GU1 1AG","199109","","E10000030","E58001497","E07000209","E05014959","E43000138","1","499275","0150919","1","E18000008","E40000005","E92000001","E12000008","5","E14001258","E15000008","E24000029","E30000212","E16000107","E07000209","43UDGF","E00155328","43UDGF","E65000001","E01030450","E02006356","5","6B2","E00155328","E01030450","E02006356","E33044229","E38000264","E63012715","C1","4A2",51.248812,-0.578986,"E37000046","","E23000031",27155,"E56000012","E54000063","E00155328","E01030450","E02006356"
"GU1 1AJ","GU1  1AJ","GU1 1AJ","199109","","E10000030","E58001497","E07000209","E05014959","E43000138","0","499318","0150929","1","E18000008","E40000005","E92000001","E12000008","5","E14001258","E15000008","E24000029","E30000212","E16000107","E07000209","43UDGF","E00155328","43UDGF","E65000001","E01030450","E02006356","5","6B2","E00155328","E01030450","E02006356","E33044229","E38000264","E63012715","C1","4A2",51.248891,-0.578346,"E37000046","","E23000031",27155,"E56000012","E54000063","E00155328","E01030450","E02006356"
"GU1 1AL","GU1  1AL","GU1 1AL","199201","199501","E10000030","E58001495","E07000209","E05014947","E43000138","1","499700","0152400","8","E18000008","E40000005","E92000001","E12000008","5","E14001258","E15000008","E24000029","E30000212","E16000107","E07000209","43UDGR","E00155489","43UDGR","E65000001","E01030482","E02006350","5","4D2","E00155489","E01030482","E02006350","E33044204","E38000264","E63012715","C1","5B1",51.262051,-0.572486,"E37000046","","E23000031",17654,"E56000012","E54000063","E00155489","E01030482","E02006350"
"GU1 1AN","GU1  1AN","GU1 1AN","199501","199512","E10000030","E58001495","E07000209","E05014947","E43000138","1","499700","0152400","8","E18000008","E40000005","E92000001","E12000008","5","E14001258","E15000008","E24000029","E30000212","E16000107","E07000209","43UDGR","E00155489","43UDGR","E65000001","E01030482","E02006350","5","4D2","E00155489","E01030482","E02006350","E33044204","E38000264","E63012715","C1","5B1",51.262051,-0.572486,"E37000046","","E23000031",17654,"E56000012","E54000063","E00155489","E01030482","E02006350"
"GU1 1AQ","GU1  1AQ","GU1 1AQ","199007","199606","E10000030","E58001495","E07000209","E05014947","E43000138","1","499800","0151000","8","E18000008","E40000005","E92000001","E12000008","5","E14001258","E15000008","E24000029","E30000212","E16000107","E07000209","43UDGR","E00155480","43UDGR","E65000001","E01030484","E02006350","5","6B2","E00155480","E01030484","E02006350","E33038904","E38000264","","C1","4A2",51.249449,-0.571444,"E37000046","","E23000031",14555,"E56000012","E54000063","E00155480","E01030484","E02006350"
