pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"HA0 1AA","HA0  1AA","HA0 1AA","198001","200707","E99999999","E99999999","E09000005","E05013496","E43000195","0","517753","0183716","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002317","00AEGJ","E65000001","E01000475","E02000121","5","7A3","E00174724","E01000475","E02000121","E33032717","E38000256","E63011958","A1","3A2",51.540070,-0.303480,"E37000051","","E23000001",13473,"E56000021","E54000027","E00174724","E01000475","E02000121"
"HA0 1AB","HA0  1AB","HA0 1AB","199002","","E99999999","E99999999","E09000005","E05013496","E43000195","1","517779","0183684","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002317","00AEGJ","E65000001","E01000475","E02000121","5","7A3","E00174724","E01000475","E02000121","E33032717","E38000256","E63011958","A1","3A2",51.539777,-0.303116,"E37000051","","E23000001",13473,"E56000021","E54000027","E00174724","E01000475","E02000121"
"HA0 1AD","HA0  1AD","HA0 1AD","198001","","E99999999","E99999999","E09000005","E05013496","E43000195","0","517756","0183754","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002317","00AEGJ","E65000001","E01000475","E02000121","5","7A3","E00174724","E01000475","E02000121","E33032717","E38000256","E63011958","A1","3A2",51.540411,-0.303425,"E37000051","","E23000001",13473,"E56000021","E54000027","E00174724","E01000475","E02000121"
"HA0 1AE","HA0  1AE","HA0 1AE","198001","","E99999999","E99999999","E09000005","E05013496","E43000195","0","517613","0183803","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002317","00AEGJ","E65000001","E01000475","E02000121","5","7A3","E00174723","E01000475","E02000121","E33031808","E38000256","E63011958","A1","4B1",51.540881,-0.305469,"E37000051","","E23000001",13473,"E56000021","E54000027","E00174723","E01000475","E02000121"
"HA0 1AF","HA0  1AF","HA0 1AF","198001","","E99999999","E99999999","E09000005","E05013496","E43000195","0","517560","0183991","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002343","00AEGJ","E65000001","E01000475","E02000121","5","7A3","E00002343","E01000475","E02000121","E33032717","E38000256","E63011958","A1","4C2",51.542582,-0.306170,"E37000051","","E23000001",13473,"E56000021","E54000027","E00002343","E01000475","E02000121"
"HA0 1AG","HA0  1AG","HA0 1AG","202302","","E99999999","E99999999","E09000005","E05013496","E43000195","0","519143","0183806","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002339","00AEGJ","E65000001","E01000477","E02000118","5","7B1","E00002339","E01000477","E02000118","E33029147","E38000256","E63011958","A1","3A2",51.540589,-0.283394,"E37000051","","E23000001",11703,"E56000021","E54000027","E00002339","E01000477","E02000118"
"HA0 1AH","HA0  1AH","HA0 1AH","198001","","E99999999","E99999999","E09000005","E05013496","E43000195","0","517606","0184029","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002334","00AEGJ","E65000001","E01000475","E02000121","5","7A3","E00002334","E01000475","E02000121","E33032717","E38000256","E63011958","A1","4B1",51.542914,-0.305495,"E37000051","","E23000001",13473,"E56000021","E54000027","E00002334","E01000475","E02000121"
"HA0 1AJ","HA0  1AJ","HA0 1AJ","198001","","E99999999","E99999999","E09000005","E05013496","E43000195","0","517759","0183898","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002343","00AEGJ","E65000001","E01000475","E02000121","5","7A3","E00002343","E01000475","E02000121","E33032717","E38000256","E63011958","A1","4C2",51.541706,-0.303310,"E37000051","","E23000001",13473,"E56000021","E54000027","E00002343","E01000475","E02000121"
"HA0 1AL","HA0  1AL","HA0 1AL","198001","","E99999999","E99999999","E09000009","E05013528","E43000199","1","517081","0184558","1","E18000007","E40000003","E92000001","E12000007","5","E14001208","E15000007","E24000013","E30000234","E16000035","E09000009","00AJGR","E00006537","00AJGR","E65000001","E01001308","E02000239","5","7A3","E00006537","E01001308","E02000239","E33033294","E38000256","E63012033","A1","4C2",51.547777,-0.312886,"E37000051","","E23000001",22868,"E56000021","E54000027","E00006537","E01001308","E02000239"
"HA0 1AN","HA0  1AN","HA0 1AN","198607","","E99999999","E99999999","E09000005","E05013496","E43000195","0","517840","0183740","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002317","00AEGJ","E65000001","E01000475","E02000121","5","7A3","E00174724","E01000475","E02000121","E33032717","E38000256","E63011958","A1","3A2",51.540269,-0.302195,"E37000051","","E23000001",13473,"E56000021","E54000027","E00174724","E01000475","E02000121"
"HA0 1AP","HA0  1AP","HA0 1AP","198510","","E99999999","E99999999","E09000005","E05013496","E43000195","0","517652","0184049","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002334","00AEGJ","E65000001","E01000475","E02000121","5","7A3","E00002334","E01000475","E02000121","E33032717","E38000256","E63011958","A1","4B1",51.543084,-0.304825,"E37000051","","E23000001",13473,"E56000021","E54000027","E00002334","E01000475","E02000121"
"HA0 1AQ","HA0  1AQ","HA0 1AQ","198001","","E99999999","E99999999","E09000005","E05013496","E43000195","0","517738","0183857","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002343","00AEGJ","E65000001","E01000475","E02000121","5","7A3","E00002343","E01000475","E02000121","E33032717","E38000256","E63011958","A1","4C2",51.541341,-0.303650,"E37000051","","E23000001",13473,"E56000021","E54000027","E00002343","E01000475","E02000121"
"HA0 1AR","HA0  1AR","HA0 1AR","198001","","E99999999","E99999999","E09000005","E05013496","E43000195","0","517538","0184276","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002334","00AEGJ","E65000001","E01000475","E02000121","5","7A3","E00002334","E01000475","E02000121","E33032717","E38000256","E63011958","A1","4B1",51.545148,-0.306392,"E37000051","","E23000001",13473,"E56000021","E54000027","E00002334","E01000475","E02000121"
"HA0 1AS","HA0  1AS","HA0 1AS","198001","","E99999999","E99999999","E09000005","E05013496","E43000195","0","517402","0184442","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002330","00AEGJ","E65000001","E01000475","E02000121","5","7B1","E00002330","E01000475","E02000121","E33032717","E38000256","E63011958","A1","4C2",51.546668,-0.308297,"E37000051","","E23000001",13473,"E56000021","E54000027","E00002330","E01000475","E02000121"
"HA0 1AT","HA0  1AT","HA0 1AT","198001","","E99999999","E99999999","E09000005","E05013496","E43000195","0","517240","0184543","1","E18000007","E40000003","E92000001","E12000007","5","E14001123","E15000007","E24000013","E30000234","E16000045","E09000005","00AEGJ","E00002330","00AEGJ","E65000001","E01000475","E02000121","5","7B1","E00002330","E01000475","E02000121","E33032717","E38000256","E63011958","A1","4C2",51.547610,-0.310599,"E37000051","","E23000001",13473,"E56000021","E54000027","E00002330","E01000475","E02000121"
