pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"HD1 1AA","HD1  1AA","HD1 1AA","200006","","E99999999","E99999999","E08000034","E05001410","E43000188","0","414538","0416902","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009452","E38000254","E63008114","A1","3A2",53.648438,-1.781545,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178700","E01011107","E02002299"
"HD1 1AB","HD1  1AB","HD1 1AB","201801","","E99999999","E99999999","E08000034","E05001410","E43000188","0","414301","0416764","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00056613","00CZFY","E65000001","E01011236","E02002304","5","7A3","E00056613","E01011236","E02002304","E33009502","E38000254","E63008114","A1","3A2",53.647204,-1.785137,"E37000062","","E23000010",4175,"E56000030","E54000054","E00178702","E01011236","E02002304"
"HD1 1AD","HD1  1AD","HD1 1AD","202311","","E99999999","E99999999","E08000034","E05001396","E43000188","0","414692","0416974","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZGK","E00055981","00CZFK","E65000001","E01011107","E02002299","5","7B1","E00055981","E01011107","E02002299","E33009443","E38000254","E63008114","A1","3A2",53.649081,-1.779212,"E37000062","","E23000010",2928,"E56000030","E54000054","E00055981","E01011107","E02002299"
"HD1 1AE","HD1  1AE","HD1 1AE","200005","200009","E99999999","E99999999","E08000034","E05001410","E43000188","0","414500","0416900","8","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009459","E38000254","E63008114","A1","3A2",53.648406,-1.782119,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178700","E01011107","E02002299"
"HD1 1AQ","HD1  1AQ","HD1 1AQ","199301","199501","E99999999","E99999999","E08000034","E05001410","E43000188","1","414500","0416900","8","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009459","E38000254","E63008114","A1","3A2",53.648406,-1.782119,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178700","E01011107","E02002299"
"HD1 1BA","HD1  1BA","HD1 1BA","198001","","E99999999","E99999999","E08000034","E05001410","E43000188","0","414487","0416764","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009463","E38000254","E63008114","A1","3A2",53.647199,-1.782323,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178700","E01011107","E02002299"
"HD1 1BB","HD1  1BB","HD1 1BB","199201","200007","E99999999","E99999999","E08000034","E05001410","E43000188","1","414431","0416847","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00056613","00CZFY","E65000001","E01011236","E02002304","5","7A3","E00056613","E01011236","E02002304","E33009504","E38000254","E63008114","A1","3A2",53.647932,-1.783165,"E37000062","","E23000010",4175,"E56000030","E54000054","E00178702","E01011236","E02002304"
"HD1 1BD","HD1  1BD","HD1 1BD","198001","198312","E99999999","E99999999","E08000034","E05001410","E43000188","1","414400","0416700","8","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009450","E38000254","E63008114","A1","3A2",53.646611,-1.783641,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178672","E01011107","E02002299"
"HD1 1BE","HD1  1BE","HD1 1BE","198001","198612","E99999999","E99999999","E08000034","E05001410","E43000188","1","414400","0416700","8","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009450","E38000254","E63008114","A1","3A2",53.646611,-1.783641,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178672","E01011107","E02002299"
"HD1 1BG","HD1  1BG","HD1 1BG","198001","","E99999999","E99999999","E08000034","E05001410","E43000188","0","414483","0416816","1","E18000003","E40000012","E92000001","E12000003","2","E14001297","E15000003","E24000045","E30000219","E16000075","E08000034","00CZHA","E00055983","00CZFK","E65000001","E01011107","E02002299","5","2A2","E00055983","E01011107","E02002299","E33009454","E38000254","E63008114","A1","3A2",53.647667,-1.782381,"E37000062","","E23000010",2928,"E56000030","E54000054","E00178700","E01011107","E02002299"
