pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"HP1 1AA","HP1  1AA","HP1 1AA","199002","201406","E10000015","E58000636","E07000096","E05004705","E43000076","1","505728","0206630","1","E18000006","E40000007","E92000001","E12000006","5","E14001278","E15000006","E24000005","E30000237","E16000150","E07000096","26UCGX","E00118863","26UCGX","E65000001","E01023398","E02004870","5","2B2","E00169641","E01023398","E02004870","E33024918","E38000079","E63011565","A1","3A2",51.748400,-0.469885,"E37000048","","E23000027",19045,"E56000035","E54000025","E00189320","E01035563","E02004870"
"HP1 1AB","HP1  1AB","HP1 1AB","200206","","E10000015","E58000636","E07000096","E05004701","E43000076","0","504455","0206756","1","E18000006","E40000007","E92000001","E12000006","5","E14001278","E15000006","E24000005","E30000237","E16000150","E07000096","26UCGR","E00118767","26UCGR","E65000001","E01023379","E02004873","5","6D2","E00118767","E01023379","E02004873","E33027148","E38000079","E63011565","A1","5A1",51.749771,-0.488280,"E37000048","","E23000027",30833,"E56000035","E54000025","E00118767","E01023379","E02004873"
"HP1 1AE","HP1  1AE","HP1 1AE","200311","","E10000015","E58000633","E07000096","E05004703","E43000076","0","505270","0207620","1","E18000006","E40000007","E92000001","E12000006","5","E14001278","E15000006","E24000005","E30000237","E16000150","E07000096","26UCGU","E00118820","26UCGU","E65000001","E01023391","E02004865","5","4D2","E00118820","E01023391","E02004865","E33027119","E38000079","E63011565","A1","5B1",51.757385,-0.476218,"E37000048","","E23000027",23271,"E56000035","E54000025","E00118820","E01023391","E02004865"
"HP1 1AF","HP1  1AF","HP1 1AF","200404","","E10000015","E58000636","E07000096","E05004701","E43000076","0","504393","0206196","1","E18000006","E40000007","E92000001","E12000006","5","E14001278","E15000006","E24000005","E30000237","E16000150","E07000096","26UCGR","E00118768","26UCGR","E65000001","E01023379","E02004873","5","6A1","E00118768","E01023379","E02004873","E33027148","E38000079","E63011565","A1","5A2",51.744750,-0.489346,"E37000048","","E23000027",30833,"E56000035","E54000025","E00118768","E01023379","E02004873"
"HP1 1AG","HP1  1AG","HP1 1AG","201206","","E10000015","E58000636","E07000096","E05004701","E43000076","0","505335","0206801","1","E18000006","E40000007","E92000001","E12000006","5","E14001278","E15000006","E24000005","E30000237","E16000150","E07000096","26UCGX","E00118861","26UCGX","E65000001","E01023398","E02004870","5","6A1","E00118861","E01023398","E02004870","E33027137","E38000079","E63011565","A1","5A2",51.750011,-0.475524,"E37000048","","E23000027",19045,"E56000035","E54000025","E00118861","E01035562","E02004870"
"HP1 1AH","HP1  1AH","HP1 1AH","200410","","E10000015","E58000636","E07000096","E05004701","E43000076","0","505168","0206824","1","E18000006","E40000007","E92000001","E12000006","5","E14001278","E15000006","E24000005","E30000237","E16000150","E07000096","26UCGX","E00118863","26UCGX","E65000001","E01023398","E02004870","5","2B2","E00169642","E01023398","E02004870","E33024925","E38000079","E63011565","A1","2C1",51.750249,-0.477935,"E37000048","","E23000027",19045,"E56000035","E54000025","E00189340","E01035562","E02004870"
"HP1 1AJ","HP1  1AJ","HP1 1AJ","201011","","E10000015","E58000636","E07000096","E05004701","E43000076","0","505386","0206429","1","E18000006","E40000007","E92000001","E12000006","5","E14001278","E15000006","E24000005","E30000237","E16000150","E07000096","26UCGX","E00118864","26UCGX","E65000001","E01023398","E02004870","5","6B2","E00169643","E01023398","E02004870","E33027140","E38000079","E63011565","A1","2C2",51.746665,-0.474876,"E37000048","","E23000027",19045,"E56000035","E54000025","E00189334","E01035564","E02004870"
"HP1 1AL","HP1  1AL","HP1 1AL","201011","","E10000015","E58000636","E07000096","E05004701","E43000076","0","505412","0206390","1","E18000006","E40000007","E92000001","E12000006","5","E14001278","E15000006","E24000005","E30000237","E16000150","E07000096","26UCGX","E00118864","26UCGX","E65000001","E01023398","E02004870","5","6B2","E00169643","E01023398","E02004870","E33027140","E38000079","E63011565","A1","2C2",51.746303,-0.474533,"E37000048","","E23000027",19045,"E56000035","E54000025","E00189383","E01035564","E02004870"
"HP1 1AN","HP1  1AN","HP1 1AN","200909","","E10000015","E58000636","E07000096","E05004701","E43000076","0","505352","0206478","1","E18000006","E40000007","E92000001","E12000006","5","E14001278","E15000006","E24000005","E30000237","E16000150","E07000096","26UCGX","E00118864","26UCGX","E65000001","E01023398","E02004870","5","6B2","E00169643","E01023398","E02004870","E33027140","E38000079","E63011565","A1","2C2",51.747112,-0.475354,"E37000048","","E23000027",19045,"E56000035","E54000025","E00189334","E01035564","E02004870"
"HP1 1AP","HP1  1AP","HP1 1AP","201003","","E10000015","E58000636","E07000096","E05004701","E43000076","0","505353","0206429","1","E18000006","E40000007","E92000001","E12000006","5","E14001278","E15000006","E24000005","E30000237","E16000150","E07000096","26UCGX","E00118864","26UCGX","E65000001","E01023398","E02004870","5","6B2","E00169643","E01023398","E02004870","E33027140","E38000079","E63011565","A1","2C2",51.746671,-0.475354,"E37000048","","E23000027",19045,"E56000035","E54000025","E00189334","E01035564","E02004870"
