pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"IP1 1AA","IP1  1AA","IP1 1AA","199002","","E10000029","E58001405","E07000202","E05007117","E43000134","0","615838","0244034","1","E18000006","E40000007","E92000001","E12000006","4","E14001302","E15000006","E24000003","E30000222","E16000127","E07000202","42UDFS","E00152684","42UDFS","E65000001","E01029959","E02006251","5","2A2","E00170846","E01033124","E02006251","E33024973","E38000086","E63010852","C1","2C1",52.052638,1.146583,"E37000052","","E23000025",7540,"E56000035","E54000023","E00170846","E01033124","E02006251"
"IP1 1AB","IP1  1AB","IP1 1AB","199002","199507","E10000029","E58001405","E07000202","E05007117","E43000134","1","616200","0244600","8","E18000006","E40000007","E92000001","E12000006","4","E14001302","E15000006","E24000003","E30000222","E16000127","E07000202","42UDFS","E00152687","42UDFS","E65000001","E01029959","E02006251","5","7B1","E00170850","E01033125","E02006251","E33024983","E38000086","E63010852","C1","2C1",52.057578,1.152212,"E37000052","","E23000025",5982,"E56000035","E54000023","E00170850","E01033125","E02006251"
"IP1 1AD","IP1  1AD","IP1 1AD","199301","200006","E10000029","E58001405","E07000202","E05007117","E43000134","1","616220","0244385","6","E18000006","E40000007","E92000001","E12000006","4","E14001302","E15000006","E24000003","E30000222","E16000127","E07000202","42UDFS","E00152687","42UDFS","E65000001","E01029959","E02006251","5","7B1","E00170850","E01033125","E02006251","E33024978","E38000086","E63010852","C1","2C1",52.055640,1.152367,"E37000052","","E23000025",5982,"E56000035","E54000023","E00170850","E01033125","E02006251"
"IP1 1AE","IP1  1AE","IP1 1AE","199308","201402","E10000029","E58001405","E07000202","E05007117","E43000134","1","616151","0244451","1","E18000006","E40000007","E92000001","E12000006","4","E14001302","E15000006","E24000003","E30000222","E16000127","E07000202","42UDFS","E00152687","42UDFS","E65000001","E01029959","E02006251","5","7B1","E00170850","E01033125","E02006251","E33024986","E38000086","E63010852","C1","2C1",52.056259,1.151404,"E37000052","","E23000025",5982,"E56000035","E54000023","E00170850","E01033125","E02006251"
"IP1 1AF","IP1  1AF","IP1 1AF","200704","","E10000029","E58001405","E07000202","E05007117","E43000134","0","616123","0244258","1","E18000006","E40000007","E92000001","E12000006","4","E14001302","E15000006","E24000003","E30000222","E16000127","E07000202","42UDFS","E00152684","42UDFS","E65000001","E01029959","E02006251","5","2A2","E00170846","E01033124","E02006251","E33024976","E38000086","E63010852","C1","2C1",52.054537,1.150874,"E37000052","","E23000025",7540,"E56000035","E54000023","E00170846","E01033124","E02006251"
"IP1 1AG","IP1  1AG","IP1 1AG","199308","","E10000029","E58001405","E07000202","E05007117","E43000134","0","616318","0244327","1","E18000006","E40000007","E92000001","E12000006","4","E14001302","E15000006","E24000003","E30000222","E16000127","E07000202","42UDFS","E00152684","42UDFS","E65000001","E01029959","E02006251","5","2A2","E00170846","E01033124","E02006251","E33024974","E38000086","E63010852","C1","2C1",52.055081,1.153757,"E37000052","","E23000025",7540,"E56000035","E54000023","E00170846","E01033124","E02006251"
"IP1 1AH","IP1  1AH","IP1 1AH","199308","200304","E10000029","E58001405","E07000202","E05007117","E43000134","1","615845","0244058","1","E18000006","E40000007","E92000001","E12000006","4","E14001302","E15000006","E24000003","E30000222","E16000127","E07000202","42UDFS","E00152684","42UDFS","E65000001","E01029959","E02006251","5","2A2","E00170846","E01033124","E02006251","E33024973","E38000086","E63010852","C1","2C1",52.052850,1.146700,"E37000052","","E23000025",7540,"E56000035","E54000023","E00170846","E01033124","E02006251"
"IP1 1AN","IP1  1AN","IP1 1AN","202012","","E10000029","E58001405","E07000202","E05007117","E43000134","0","616208","0244315","1","E18000006","E40000007","E92000001","E12000006","4","E14001302","E15000006","E24000003","E30000222","E16000127","E07000202","42UDFS","E00152684","42UDFS","E65000001","E01029959","E02006251","5","2A2","E00170846","E01033124","E02006251","E33024975","E38000086","E63010852","C1","2C1",52.055031,1.152179,"E37000052","","E23000025",7540,"E56000035","E54000023","E00170846","E01033124","E02006251"
"IP1 1AP","IP1  1AP","IP1 1AP","199512","199806","E10000029","E58001405","E07000202","E05007117","E43000134","1","616219","0244404","6","E18000006","E40000007","E92000001","E12000006","4","E14001302","E15000006","E24000003","E30000222","E16000127","E07000202","42UDFS","E00152687","42UDFS","E65000001","E01029959","E02006251","5","7B1","E00170850","E01033125","E02006251","E33024981","E38000086","E63010852","C1","2C1",52.055811,1.152364,"E37000052","","E23000025",5982,"E56000035","E54000023","E00170850","E01033125","E02006251"
"IP1 1AQ","IP1  1AQ","IP1 1AQ","199507","","E10000029","E58001405","E07000202","E05007117","E43000134","1","616257","0244655","1","E18000006","E40000007","E92000001","E12000006","4","E14001302","E15000006","E24000003","E30000222","E16000127","E07000202","42UDFS","E00152687","42UDFS","E65000001","E01029959","E02006251","5","7B1","E00170870","E01033125","E02006251","E33024999","E38000086","E63010852","C1","3A2",52.058064,1.153107,"E37000052","","E23000025",5982,"E56000035","E54000023","E00170870","E01033125","E02006251"
