pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"IV1 1AA","IV1  1AA","IV1 1AA","198001","202209","S99999999","S99999999","S12000017","S13003003","S99999999","1","266758","0845637","1","S08000022","S99999999","S92000003","S99999999","0","S14000094","S15000001","S09000003","S22000068","S03000044","S30000055","99ZZ00","S00027059","18C46","S99999999","S01003853","S02000742","2","2A1","S00118263","S01010620","S02001998","S34001821","S03000044","S99999999","2","2C2",57.481332,-4.223950,"S99999999","","S23000009",458,"S99999999","S99999999","S00163179","S01017789","S02003299"
"IV1 1AB","IV1  1AB","IV1 1AB","198001","199512","S99999999","S99999999","S12000017","S13003003","S99999999","1","266580","0845410","8","S08000022","S99999999","S92000003","S99999999","0","S14000094","S15000001","S09000003","S22000068","S03000044","S30000055","99ZZ00","S00027059","18C46","S99999999","S01003853","S02000742","2","2A1","S00118263","S01010620","S02001998","S34000464","S03000044","S99999999","2","2C2",57.479242,-4.226792,"S99999999","","S23000009",458,"S99999999","S99999999","S00163204","S01017789","S02003299"
"IV1 1AD","IV1  1AD","IV1 1AD","199207","","S99999999","S99999999","S12000017","S13003005","S99999999","1","266673","0846301","1","S08000022","S99999999","S92000003","S99999999","0","S14000094","S15000001","S09000003","S22000068","S03000044","S30000055","99ZZ00","S00027063","18C46","S99999999","S01003853","S02000742","2","6C2","S00118267","S01010619","S02001998","S34001601","S03000044","S99999999","2","7A1",57.487251,-4.225728,"S99999999","","S23000009",1400,"S99999999","S99999999","S00163034","S01017788","S02003299"
"IV1 1AE","IV1  1AE","IV1 1AE","200607","201008","S99999999","S99999999","S12000017","S13003005","S99999999","0","266362","0846819","1","S08000022","S99999999","S92000003","S99999999","0","S14000094","S15000001","S09000003","S22000068","S03000044","S30000055","99ZZ00","S00027063","18C46","S99999999","S01003853","S02000742","2","6C2","S00118267","S01010619","S02001998","S34000466","S03000044","S99999999","2","7A1",57.491824,-4.231197,"S99999999","","S23000009",1400,"S99999999","S99999999","S00163034","S01017788","S02003299"
"IV1 1AF","IV1  1AF","IV1 1AF","201811","","S99999999","S99999999","S12000017","S13003005","S99999999","0","266403","0846517","1","S08000022","S99999999","S92000003","S99999999","0","S14000094","S15000001","S09000003","S22000068","S03000044","S30000055","99ZZ00","S00027063","18C46","S99999999","S01003853","S02000742","2","6C2","S00118267","S01010619","S02001998","S34001601","S03000044","S99999999","2","7A1",57.488933,-4.230702,"S99999999","","S23000009",1400,"S99999999","S99999999","S00163034","S01017788","S02003299"
"IV1 1AG","IV1  1AG","IV1 1AG","202103","","S99999999","S99999999","S12000017","S13003003","S99999999","0","266544","0845521","1","S08000022","S99999999","S92000003","S99999999","0","S14000094","S15000001","S09000003","S22000068","S03000044","S30000055","99ZZ00","S00027059","18C46","S99999999","S01003853","S02000742","2","2A1","S00118263","S01010620","S02001998","S34000463","S03000044","S99999999","2","2C2",57.480211,-4.227451,"S99999999","","S23000009",458,"S99999999","S99999999","S00163179","S01017789","S02003299"
"IV1 1AH","IV1  1AH","IV1 1AH","202004","","S99999999","S99999999","S12000017","S13003005","S99999999","0","266855","0845958","1","S08000022","S99999999","S92000003","S99999999","0","S14000094","S15000001","S09000003","S22000068","S03000044","S30000055","99ZZ00","S00027063","18C46","S99999999","S01003853","S02000742","2","6C2","S00118267","S01010619","S02001998","S34001674","S03000044","S99999999","2","7A1",57.484225,-4.222507,"S99999999","","S23000009",1400,"S99999999","S99999999","S00163034","S01017788","S02003299"
"IV1 1AJ","IV1  1AJ","IV1 1AJ","202004","","S99999999","S99999999","S12000017","S13003005","S99999999","0","266777","0846004","1","S08000022","S99999999","S92000003","S99999999","0","S14000094","S15000001","S09000003","S22000068","S03000044","S30000055","99ZZ00","S00027063","18C46","S99999999","S01003853","S02000742","2","6C2","S00118267","S01010619","S02001998","S34001674","S03000044","S99999999","2","7A1",57.484615,-4.223832,"S99999999","","S23000009",1400,"S99999999","S99999999","S00163034","S01017788","S02003299"
"IV1 1AN","IV1  1AN","IV1 1AN","202210","","S99999999","S99999999","S12000017","S13003003","S99999999","0","266639","0845371","1","S08000022","S99999999","S92000003","S99999999","0","S14000094","S15000001","S09000003","S22000068","S03000044","S30000055","99ZZ00","S00028107","18C46","S99999999","S01003853","S02000742","2","2A1","S00119431","S01010620","S02001998","S34000471","S03000044","S99999999","2","2C2",57.478893,-4.225786,"S99999999","","S23000009",458,"S99999999","S99999999","S00163239","S01017789","S02003299"
"IV1 1AU","IV1  1AU","IV1 1AU","199706","201505","S99999999","S99999999","S12000017","S13003005","S99999999","1","266718","0846563","1","S08000022","S99999999","S92000003","S99999999","0","S14000094","S15000001","S09000003","S22000068","S03000044","S30000055","99ZZ00","S00027063","18C46","S99999999","S01003853","S02000742","2","6C2","S00118267","S01010619","S02001998","S34000466","S03000044","S99999999","2","7A1",57.489631,-4.225123,"S99999999","","S23000009",1400,"S99999999","S99999999","S00163034","S01017788","S02003299"
