pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"KT1 1AA","KT1  1AA","KT1 1AA","199002","202404","E99999999","E99999999","E09000021","E05013938","E43000211","1","518023","0169104","1","E18000007","E40000003","E92000001","E12000007","5","E14001312","E15000007","E24000016","E30000266","E16000003","E09000021","00AXGF","E00014924","00AXGF","E65000001","E01002968","E02000606","5","2B2","E00014924","E01002968","E02000606","E33030329","E38000245","E63012249","A1","2D1",51.408688,-0.304465,"E37000051","","E23000001",19427,"E56000021","E54000031","E00014924","E01002968","E02000606"
"KT1 1AB","KT1  1AB","KT1 1AB","200501","201408","E99999999","E99999999","E09000021","E05013938","E43000211","1","518144","0169512","1","E18000007","E40000003","E92000001","E12000007","5","E14001312","E15000007","E24000016","E30000266","E16000003","E09000021","00AXGF","E00014949","00AXGF","E65000001","E01002968","E02000606","5","2A2","E00014949","E01002968","E02000606","E33030333","E38000245","E63012249","A1","2B2",51.412330,-0.302591,"E37000051","","E23000001",19427,"E56000021","E54000031","E00184382","E01002968","E02000606"
"KT1 1AD","KT1  1AD","KT1 1AD","201003","201909","E99999999","E99999999","E09000021","E05013938","E43000211","0","518248","0169390","1","E18000007","E40000003","E92000001","E12000007","5","E14001312","E15000007","E24000016","E30000266","E16000003","E09000021","00AXGF","E00014949","00AXGF","E65000001","E01002968","E02000606","5","2A2","E00014949","E01002968","E02000606","E33035001","E38000245","E63012249","A1","2B2",51.411211,-0.301136,"E37000051","","E23000001",19427,"E56000021","E54000031","E00184371","E01002968","E02000606"
"KT1 1AE","KT1  1AE","KT1 1AE","201102","","E99999999","E99999999","E09000021","E05013938","E43000211","0","517814","0169535","1","E18000007","E40000003","E92000001","E12000007","5","E14001312","E15000007","E24000016","E30000266","E16000003","E09000021","00AXGF","E00014949","00AXGF","E65000001","E01002968","E02000606","5","2A2","E00014949","E01002968","E02000606","E33030336","E38000245","E63012249","A1","2B2",51.412605,-0.307304,"E37000051","","E23000001",19427,"E56000021","E54000031","E00184382","E01002968","E02000606"
"KT1 1AF","KT1  1AF","KT1 1AF","201102","","E99999999","E99999999","E09000021","E05013938","E43000211","0","517821","0169529","1","E18000007","E40000003","E92000001","E12000007","5","E14001312","E15000007","E24000016","E30000266","E16000003","E09000021","00AXGF","E00014949","00AXGF","E65000001","E01002968","E02000606","5","2A2","E00014949","E01002968","E02000606","E33030336","E38000245","E63012249","A1","2B2",51.412549,-0.307205,"E37000051","","E23000001",19427,"E56000021","E54000031","E00184382","E01002968","E02000606"
"KT1 1AH","KT1  1AH","KT1 1AH","200006","200904","E99999999","E99999999","E09000021","E05013938","E43000211","1","517792","0169329","1","E18000007","E40000003","E92000001","E12000007","5","E14001312","E15000007","E24000016","E30000266","E16000003","E09000021","00AXGF","E00014924","00AXGF","E65000001","E01002968","E02000606","5","2B2","E00014924","E01002968","E02000606","E33030326","E38000245","E63012249","A1","2D1",51.410758,-0.307710,"E37000051","","E23000001",19427,"E56000021","E54000031","E00014924","E01002968","E02000606"
"KT1 1AJ","KT1  1AJ","KT1 1AJ","201301","","E99999999","E99999999","E09000021","E05013938","E43000211","0","517804","0169536","1","E18000007","E40000003","E92000001","E12000007","5","E14001312","E15000007","E24000016","E30000266","E16000003","E09000021","00AXGF","E00014949","00AXGF","E65000001","E01002968","E02000606","5","2A2","E00014949","E01002968","E02000606","E33030336","E38000245","E63012249","A1","2B2",51.412616,-0.307447,"E37000051","","E23000001",19427,"E56000021","E54000031","E00184382","E01002968","E02000606"
"KT1 1AL","KT1  1AL","KT1 1AL","201206","202205","E99999999","E99999999","E09000021","E05013938","E43000211","0","517821","0169151","1","E18000007","E40000003","E92000001","E12000007","5","E14001312","E15000007","E24000016","E30000266","E16000003","E09000021","00AXGF","E00014925","00AXGF","E65000001","E01002968","E02000606","5","2B2","E00174869","E01002968","E02000606","E33031854","E38000245","E63012249","A1","2D3",51.409152,-0.307353,"E37000051","","E23000001",19427,"E56000021","E54000031","E00174869","E01002968","E02000606"
"KT1 1AN","KT1  1AN","KT1 1AN","201209","","E99999999","E99999999","E09000021","E05013938","E43000211","0","518260","0169464","1","E18000007","E40000003","E92000001","E12000007","5","E14001312","E15000007","E24000016","E30000266","E16000003","E09000021","00AXGF","E00014949","00AXGF","E65000001","E01002968","E02000606","5","2A2","E00014949","E01002968","E02000606","E33035001","E38000245","E63012249","A1","2B2",51.411874,-0.300918,"E37000051","","E23000001",19427,"E56000021","E54000031","E00184371","E01002968","E02000606"
"KT1 1AP","KT1  1AP","KT1 1AP","201501","201811","E99999999","E99999999","E09000021","E05013938","E43000211","1","518244","0169549","1","E18000007","E40000003","E92000001","E12000007","5","E14001312","E15000007","E24000016","E30000266","E16000003","E09000021","00AXGF","E00014949","00AXGF","E65000001","E01002968","E02000606","5","2A2","E00014949","E01002968","E02000606","E33030333","E38000245","E63012249","A1","2B2",51.412641,-0.301119,"E37000051","","E23000001",19427,"E56000021","E54000031","E00184382","E01002968","E02000606"
