pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"LA1 1AA","LA1  1AA","LA1 1AA","200012","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347467","0461653","1","E18000002","E40000010","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127404","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127404","E01033071","E02005234","E33003925","E38000228","E63007656","C1","2A3",54.048161,-2.803823,"E37000019","","E23000003",12010,"E56000018","E54000048","E00185602","E01033071","E02005234"
"LA1 1AB","LA1  1AB","LA1 1AB","198001","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347440","0461630","1","E18000002","E40000010","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127404","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127404","E01033071","E02005234","E33003925","E38000228","E63007656","C1","2A3",54.047951,-2.804231,"E37000019","","E23000003",12010,"E56000018","E54000048","E00185602","E01033071","E02005234"
"LA1 1AD","LA1  1AD","LA1 1AD","200205","","E10000017","E58000779","E07000121","E05014890","E43000253","0","347260","0462333","1","E18000002","E40000010","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGL","E00127388","30UHGL","E65000001","E01025099","E02005234","5","6C2","E00127388","E01025099","E02005234","E33008385","E38000228","E63007656","C1","5A3",54.054240,-2.807106,"E37000019","","E23000003",9346,"E56000018","E54000048","E00185646","E01025099","E02005234"
"LA1 1AE","LA1  1AE","LA1 1AE","200403","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347452","0461521","1","E18000002","E40000010","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127406","30UHGM","E65000001","E01025104","E02005234","5","2B1","E00127406","E01033073","E02005234","E33003930","E38000228","E63007656","C1","2A3",54.046963,-2.804033,"E37000019","","E23000003",14337,"E56000018","E54000048","E00127406","E01033073","E02005234"
"LA1 1AF","LA1  1AF","LA1 1AF","200405","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347971","0461546","1","E18000002","E40000010","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127405","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00170169","E01033071","E02005234","E33004177","E38000228","E63007656","C1","2C1",54.047240,-2.796111,"E37000019","","E23000003",12010,"E56000018","E54000048","E00170169","E01033071","E02005234"
"LA1 1AG","LA1  1AG","LA1 1AG","200402","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347942","0461493","1","E18000002","E40000010","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127405","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00170169","E01033071","E02005234","E33004177","E38000228","E63007656","C1","2C1",54.046771,-2.796541,"E37000019","","E23000003",12010,"E56000018","E54000048","E00170169","E01033071","E02005234"
"LA1 1AH","LA1  1AH","LA1 1AH","200405","","E10000017","E58000779","E07000121","E05014890","E43000253","0","347526","0462029","1","E18000002","E40000010","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGL","E00127391","30UHGL","E65000001","E01025099","E02005234","5","2A1","E00127391","E01025099","E02005234","E33003917","E38000228","E63007656","C1","2C1",54.051536,-2.802991,"E37000019","","E23000003",9346,"E56000018","E54000048","E00127391","E01025099","E02005234"
"LA1 1AJ","LA1  1AJ","LA1 1AJ","200505","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347445","0461674","1","E18000002","E40000010","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127404","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127404","E01033071","E02005234","E33003925","E38000228","E63007656","C1","2A3",54.048337,-2.804166,"E37000019","","E23000003",12010,"E56000018","E54000048","E00185602","E01033071","E02005234"
"LA1 1AL","LA1  1AL","LA1 1AL","199512","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347641","0461641","1","E18000002","E40000010","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127404","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127404","E01033071","E02005234","E33003924","E38000228","E63007656","C1","2A3",54.048060,-2.801167,"E37000019","","E23000003",12010,"E56000018","E54000048","E00185590","E01033071","E02005234"
"LA1 1AN","LA1  1AN","LA1 1AN","200707","","E10000017","E58000780","E07000121","E05014890","E43000253","0","347644","0461334","1","E18000002","E40000010","E92000001","E12000002","8","E14001318","E15000002","E24000022","E30000076","E16000087","E07000121","30UHGM","E00127407","30UHGM","E65000001","E01025104","E02005234","5","2B2","E00127407","E01033073","E02005234","E33008386","E38000228","E63007656","C1","2A3",54.045302,-2.801068,"E37000019","","E23000003",14337,"E56000018","E54000048","E00127407","E01033073","E02005234"
