pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"LE1 1AA","LE1  1AA","LE1 1AA","201909","202310","E99999999","E99999999","E06000016","E05010463","E43000015","1","459318","0304176","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068906","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169534","E01032873","E02006851","E33015088","E38000097","E63009743","C1","3C1",52.632123,-1.124988,"E37000021","","E23000021",5785,"E56000031","E54000015","E00169534","E01032873","E02006851"
"LE1 1AB","LE1  1AB","LE1 1AB","199308","200603","E99999999","E99999999","E06000016","E05010463","E43000015","1","459294","0304253","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068906","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169461","E01032873","E02006851","E33018014","E38000097","E63009743","C1","2B2",52.632799,-1.125337,"E37000021","","E23000021",5785,"E56000031","E54000015","E00169461","E01032873","E02006851"
"LE1 1AD","LE1  1AD","LE1 1AD","200608","","E99999999","E99999999","E06000016","E05010463","E43000015","0","459040","0304553","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068900","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169530","E01032867","E02006851","E33015087","E38000097","E63009743","C1","3C1",52.635524,-1.129036,"E37000021","","E23000021",9456,"E56000031","E54000015","E00169530","E01034023","E02006851"
"LE1 1AE","LE1  1AE","LE1 1AE","201002","201105","E99999999","E99999999","E06000016","E05010463","E43000015","0","459347","0304604","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068900","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169460","E01032872","E02006851","E33015050","E38000097","E63009743","C1","2B2",52.635949,-1.124491,"E37000021","","E23000021",10685,"E56000031","E54000015","E00178464","E01032872","E02006851"
"LE1 1AF","LE1  1AF","LE1 1AF","201101","","E99999999","E99999999","E06000016","E05010463","E43000015","0","459194","0304378","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068906","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169461","E01032873","E02006851","E33018014","E38000097","E63009743","C1","2B2",52.633934,-1.126792,"E37000021","","E23000021",5785,"E56000031","E54000015","E00169461","E01032873","E02006851"
"LE1 1AH","LE1  1AH","LE1 1AH","199706","200007","E99999999","E99999999","E06000016","E05010463","E43000015","0","459200","0304300","8","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068906","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169461","E01032873","E02006851","E33018014","E38000097","E63009743","C1","2B2",52.633232,-1.126717,"E37000021","","E23000021",5785,"E56000031","E54000015","E00169461","E01032873","E02006851"
"LE1 1AJ","LE1  1AJ","LE1 1AJ","201704","","E99999999","E99999999","E06000016","E05010463","E43000015","0","459149","0304651","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068900","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169528","E01032872","E02006851","E33018016","E38000097","E63009743","C1","3C1",52.636411,-1.127400,"E37000021","","E23000021",10685,"E56000031","E54000015","E00178465","E01032872","E02006851"
"LE1 1AL","LE1  1AL","LE1 1AL","198803","199906","E99999999","E99999999","E06000016","E05010463","E43000015","1","459294","0304253","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068906","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169461","E01032873","E02006851","E33018014","E38000097","E63009743","C1","2B2",52.632799,-1.125337,"E37000021","","E23000021",5785,"E56000031","E54000015","E00169461","E01032873","E02006851"
"LE1 1AN","LE1  1AN","LE1 1AN","200510","200905","E99999999","E99999999","E06000016","E05010463","E43000015","0","459294","0304253","5","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068906","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169461","E01032873","E02006851","E33018014","E38000097","E63009743","C1","2B2",52.632799,-1.125337,"E37000021","","E23000021",5785,"E56000031","E54000015","E00169461","E01032873","E02006851"
"LE1 1AP","LE1  1AP","LE1 1AP","201907","","E99999999","E99999999","E06000016","E05010463","E43000015","0","459020","0304367","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068903","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00068903","E01032873","E02006851","E33014009","E38000097","E63009743","C1","3C1",52.633872,-1.129356,"E37000021","","E23000021",5785,"E56000031","E54000015","E00068903","E01032873","E02006851"
"LE1 1AQ","LE1  1AQ","LE1 1AQ","201809","","E99999999","E99999999","E06000016","E05010463","E43000015","0","459079","0304395","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068900","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169489","E01032867","E02006851","E33018014","E38000097","E63009743","C1","2B2",52.634117,-1.128480,"E37000021","","E23000021",9456,"E56000031","E54000015","E00169489","E01034023","E02006851"
"LE1 1AR","LE1  1AR","LE1 1AR","202009","","E99999999","E99999999","E06000016","E05010463","E43000015","0","459114","0304306","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068903","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00068903","E01032873","E02006851","E33014009","E38000097","E63009743","C1","3C1",52.633314,-1.127979,"E37000021","","E23000021",5785,"E56000031","E54000015","E00068903","E01032873","E02006851"
"LE1 1AS","LE1  1AS","LE1 1AS","202405","","E99999999","E99999999","E06000016","E05010463","E43000015","0","459057","0304621","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068901","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169453","E01032867","E02006851","E33015031","E38000097","E63009743","C1","3B3",52.636151,-1.128765,"E37000021","","E23000021",9456,"E56000031","E54000015","E00178513","E01034023","E02006851"
"LE1 1AT","LE1  1AT","LE1 1AT","202301","","E99999999","E99999999","E06000016","E05010463","E43000015","0","459044","0304576","1","E18000004","E40000011","E92000001","E12000004","3","E14001327","E15000004","E24000010","E30000230","E16000113","E06000016","00FNNL","E00068901","00FNNL","E65000001","E01013644","E02002850","5","2A2","E00169453","E01032867","E02006851","E33015031","E38000097","E63009743","C1","3B3",52.635748,-1.128965,"E37000021","","E23000021",9456,"E56000031","E54000015","E00178513","E01034023","E02006851"
