pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"LN1 1AA","LN1  1AA","LN1 1AA","199002","199712","E10000019","E58000898","E07000138","E05010787","E43000110","1","497446","0371261","8","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132752","32UDFR","E65000001","E01026143","E02005446","5","2B1","E00132752","E01026143","E02005446","E33014497","E38000238","E63008729","C1","2A1",53.229460,-0.541680,"E37000060","","E23000020",18764,"E56000031","E54000013","E00185400","E01034688","E02005446"
"LN1 1AB","LN1  1AB","LN1 1AB","200112","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496270","0373037","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173630","E01026147","E02005444","E33016753","E38000238","E63008729","C1","5A1",53.245633,-0.558755,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173630","E01026147","E02005444"
"LN1 1AD","LN1  1AD","LN1 1AD","200112","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496430","0373061","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173631","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.245820,-0.556350,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173631","E01026147","E02005444"
"LN1 1AE","LN1  1AE","LN1 1AE","200506","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496456","0372983","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132759","32UDFR","E65000001","E01026147","E02005444","5","4B4","E00132759","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.245114,-0.555984,"E37000060","","E23000020",20693,"E56000031","E54000013","E00132759","E01026147","E02005444"
"LN1 1AF","LN1  1AF","LN1 1AF","200506","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496553","0373016","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132759","32UDFR","E65000001","E01026147","E02005444","5","4B4","E00132759","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.245393,-0.554521,"E37000060","","E23000020",20693,"E56000031","E54000013","E00132759","E01026147","E02005444"
"LN1 1AG","LN1  1AG","LN1 1AG","200307","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496548","0372970","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132759","32UDFR","E65000001","E01026147","E02005444","5","4B4","E00132759","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.244981,-0.554610,"E37000060","","E23000020",20693,"E56000031","E54000013","E00132759","E01026147","E02005444"
"LN1 1AH","LN1  1AH","LN1 1AH","200512","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496601","0372992","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132759","32UDFR","E65000001","E01026147","E02005444","5","4B4","E00132759","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.245169,-0.553810,"E37000060","","E23000020",20693,"E56000031","E54000013","E00132759","E01026147","E02005444"
"LN1 1AJ","LN1  1AJ","LN1 1AJ","200206","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496357","0373083","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173631","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.246031,-0.557437,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173631","E01026147","E02005444"
"LN1 1AL","LN1  1AL","LN1 1AL","200212","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496412","0373082","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173631","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.246012,-0.556614,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173631","E01026147","E02005444"
"LN1 1AN","LN1  1AN","LN1 1AN","200112","","E10000019","E58000898","E07000138","E05010787","E43000110","0","496431","0373144","1","E18000004","E40000011","E92000001","E12000004","3","E14001336","E15000004","E24000009","E30000231","E16000082","E07000138","32UDFR","E00132758","32UDFR","E65000001","E01026147","E02005444","5","3C1","E00173631","E01026147","E02005444","E33016753","E38000238","E63008729","C1","6B2",53.246566,-0.556310,"E37000060","","E23000020",20693,"E56000031","E54000013","E00173631","E01026147","E02005444"
