pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"LU1 1AA","LU1  1AA","LU1 1AA","199002","","E99999999","E99999999","E06000032","E05014742","E43000027","1","508653","0221332","1","E18000006","E40000007","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879977,-0.422926,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938"
"LU1 1AB","LU1  1AB","LU1 1AB","199507","199612","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000007","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879700,-0.423706,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938"
"LU1 1AD","LU1  1AD","LU1 1AD","200012","200806","E99999999","E99999999","E06000032","E05014742","E43000027","1","508653","0221332","1","E18000006","E40000007","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879977,-0.422926,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938"
"LU1 1AE","LU1  1AE","LU1 1AE","199308","199512","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000007","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879700,-0.423706,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938"
"LU1 1AF","LU1  1AF","LU1 1AF","199308","199806","E99999999","E99999999","E06000032","E05014741","E43000027","1","507884","0221532","6","E18000006","E40000007","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KAMY","E00079507","00KAMY","E65000001","E01015730","E02003276","5","7A1","E00079507","E01015730","E02003276","E33025332","E38000249","E63011256","C1","4B1",51.881924,-0.434031,"E37000057","","E23000026",8836,"E56000035","E54000024","E00079507","E01015730","E02003276"
"LU1 1AG","LU1  1AG","LU1 1AG","199405","199806","E99999999","E99999999","E06000032","E05014741","E43000027","1","507884","0221532","6","E18000006","E40000007","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KAMY","E00079507","00KAMY","E65000001","E01015730","E02003276","5","7A1","E00079507","E01015730","E02003276","E33025332","E38000249","E63011256","C1","4B1",51.881924,-0.434031,"E37000057","","E23000026",8836,"E56000035","E54000024","E00079507","E01015730","E02003276"
"LU1 1AH","LU1  1AH","LU1 1AH","199308","199512","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000007","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879700,-0.423706,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938"
"LU1 1AJ","LU1  1AJ","LU1 1AJ","199507","199606","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000007","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879700,-0.423706,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938"
"LU1 1AL","LU1  1AL","LU1 1AL","199507","199612","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000007","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879700,-0.423706,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938"
"LU1 1AP","LU1  1AP","LU1 1AP","199412","199612","E99999999","E99999999","E06000032","E05014742","E43000027","1","508600","0221300","8","E18000006","E40000007","E92000001","E12000006","5","E14001346","E15000006","E24000004","E30000237","E16000029","E06000032","00KANJ","E00079838","00KANJ","E65000001","E01015794","E02003275","5","7B1","E00173271","E01015794","E02003275","E33025328","E38000249","E63011256","C1","3A2",51.879700,-0.423706,"E37000057","","E23000026",3663,"E56000035","E54000024","E00173271","E01033804","E02006938"
