pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"ME1 1AA","ME1  1AA","ME1 1AA","199002","","E99999999","E99999999","E06000035","E05014465","E43000030","1","574570","0168212","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081541","00LCPE","E65000001","E01016130","E02003327","5","2B1","E00081541","E01016130","E02003327","E33036993","E38000237","E63012252","C1","2C1",51.386104,0.507423,"E37000056","","E23000032",14067,"E56000011","E54000032","E00081541","E01016130","E02003327"
"ME1 1AB","ME1  1AB","ME1 1AB","200012","200207","E99999999","E99999999","E06000035","E05014465","E43000030","1","574571","0168217","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081541","00LCPE","E65000001","E01016130","E02003327","5","2B1","E00081541","E01016130","E02003327","E33036993","E38000237","E63012252","C1","2C1",51.386148,0.507440,"E37000056","","E23000032",14067,"E56000011","E54000032","E00081541","E01016130","E02003327"
"ME1 1AD","ME1  1AD","ME1 1AD","198607","","E99999999","E99999999","E06000035","E05014464","E43000030","0","574369","0167805","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPC","E00081444","00LCPC","E65000001","E01016117","E02003327","5","5B3","E00081444","E01016117","E02003327","E33039862","E38000237","E63012252","C1","7A2",51.382509,0.504337,"E37000056","","E23000032",3949,"E56000011","E54000032","E00081444","E01016117","E02003327"
"ME1 1AE","ME1  1AE","ME1 1AE","200304","","E99999999","E99999999","E06000035","E05014465","E43000030","0","574472","0168193","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081541","00LCPE","E65000001","E01016130","E02003327","5","2B1","E00081541","E01016130","E02003327","E33036993","E38000237","E63012252","C1","2C1",51.385963,0.506007,"E37000056","","E23000032",14067,"E56000011","E54000032","E00081541","E01016130","E02003327"
"ME1 1AF","ME1  1AF","ME1 1AF","199208","","E99999999","E99999999","E06000035","E05014465","E43000030","0","574462","0168221","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081541","00LCPE","E65000001","E01016130","E02003327","5","2B1","E00081541","E01016130","E02003327","E33036993","E38000237","E63012252","C1","2C1",51.386218,0.505877,"E37000056","","E23000032",14067,"E56000011","E54000032","E00081541","E01016130","E02003327"
"ME1 1AG","ME1  1AG","ME1 1AG","199109","","E99999999","E99999999","E06000035","E05014464","E43000030","0","574440","0167782","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPC","E00081473","00LCPC","E65000001","E01016117","E02003327","5","7A2","E00081473","E01016117","E02003327","E33039862","E38000237","E63012252","C1","7A2",51.382281,0.505345,"E37000056","","E23000032",3949,"E56000011","E54000032","E00081473","E01016117","E02003327"
"ME1 1AH","ME1  1AH","ME1 1AH","199301","199606","E99999999","E99999999","E06000035","E05014467","E43000030","1","572800","0170000","8","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPF","E00081564","00LCPF","E65000001","E01016133","E02003318","5","4C3","E00081564","E01016133","E02003318","E33039833","E38000237","E63012252","C1","6B1",51.402707,0.482881,"E37000056","","E23000032",28478,"E56000011","E54000032","E00081564","E01016133","E02003318"
"ME1 1AJ","ME1  1AJ","ME1 1AJ","199501","199706","E99999999","E99999999","E06000035","E05014465","E43000030","1","574571","0168217","8","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081541","00LCPE","E65000001","E01016130","E02003327","5","2B1","E00081541","E01016130","E02003327","E33036993","E38000237","E63012252","C1","2C1",51.386148,0.507440,"E37000056","","E23000032",14067,"E56000011","E54000032","E00081541","E01016130","E02003327"
"ME1 1AL","ME1  1AL","ME1 1AL","200012","200207","E99999999","E99999999","E06000035","E05014465","E43000030","1","574571","0168217","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081541","00LCPE","E65000001","E01016130","E02003327","5","2B1","E00081541","E01016130","E02003327","E33036993","E38000237","E63012252","C1","2C1",51.386148,0.507440,"E37000056","","E23000032",14067,"E56000011","E54000032","E00081541","E01016130","E02003327"
"ME1 1AN","ME1  1AN","ME1 1AN","199308","200602","E99999999","E99999999","E06000035","E05014465","E43000030","1","574571","0168217","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081541","00LCPE","E65000001","E01016130","E02003327","5","2B1","E00081541","E01016130","E02003327","E33036993","E38000237","E63012252","C1","2C1",51.386148,0.507440,"E37000056","","E23000032",14067,"E56000011","E54000032","E00081541","E01016130","E02003327"
"ME1 1AP","ME1  1AP","ME1 1AP","199308","199507","E99999999","E99999999","E06000035","E05014467","E43000030","1","572800","0170000","8","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPF","E00081564","00LCPF","E65000001","E01016133","E02003318","5","4C3","E00081564","E01016133","E02003318","E33039833","E38000237","E63012252","C1","6B1",51.402707,0.482881,"E37000056","","E23000032",28478,"E56000011","E54000032","E00081564","E01016133","E02003318"
"ME1 1AQ","ME1  1AQ","ME1 1AQ","199612","199712","E99999999","E99999999","E06000035","E05014465","E43000030","1","574325","0168071","6","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPC","E00081472","00LCPC","E65000001","E01016117","E02003327","5","7A2","E00081472","E01016117","E02003327","E33039862","E38000237","E63012252","C1","3D2",51.384912,0.503836,"E37000056","","E23000032",3949,"E56000011","E54000032","E00081472","E01016117","E02003327"
"ME1 1AR","ME1  1AR","ME1 1AR","199507","199712","E99999999","E99999999","E06000035","E05014465","E43000030","1","574325","0168071","6","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPC","E00081472","00LCPC","E65000001","E01016117","E02003327","5","7A2","E00081472","E01016117","E02003327","E33039862","E38000237","E63012252","C1","3D2",51.384912,0.503836,"E37000056","","E23000032",3949,"E56000011","E54000032","E00081472","E01016117","E02003327"
"ME1 1AS","ME1  1AS","ME1 1AS","199806","","E99999999","E99999999","E06000035","E05014465","E43000030","0","574154","0168721","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081542","00LCPE","E65000001","E01016130","E02003327","5","6D2","E00081542","E01016130","E02003327","E33039861","E38000237","E63012252","C1","5A3",51.390804,0.501700,"E37000056","","E23000032",14067,"E56000011","E54000032","E00081542","E01016130","E02003327"
"ME1 1AT","ME1  1AT","ME1 1AT","200112","200310","E99999999","E99999999","E06000035","E05014465","E43000030","1","574571","0168217","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081541","00LCPE","E65000001","E01016130","E02003327","5","2B1","E00081541","E01016130","E02003327","E33036993","E38000237","E63012252","C1","2C1",51.386148,0.507440,"E37000056","","E23000032",14067,"E56000011","E54000032","E00081541","E01016130","E02003327"
"ME1 1AU","ME1  1AU","ME1 1AU","199002","199812","E99999999","E99999999","E06000035","E05014465","E43000030","1","574328","0168081","6","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPC","E00081472","00LCPC","E65000001","E01016117","E02003327","5","7A2","E00081472","E01016117","E02003327","E33039862","E38000237","E63012252","C1","3D2",51.385001,0.503884,"E37000056","","E23000032",3949,"E56000011","E54000032","E00081472","E01016117","E02003327"
"ME1 1AW","ME1  1AW","ME1 1AW","199512","199712","E99999999","E99999999","E06000035","E05014465","E43000030","1","574325","0168071","6","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPC","E00081472","00LCPC","E65000001","E01016117","E02003327","5","7A2","E00081472","E01016117","E02003327","E33039862","E38000237","E63012252","C1","3D2",51.384912,0.503836,"E37000056","","E23000032",3949,"E56000011","E54000032","E00081472","E01016117","E02003327"
"ME1 1AX","ME1  1AX","ME1 1AX","199906","","E99999999","E99999999","E06000035","E05014465","E43000030","0","573510","0167513","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081518","00LCPE","E65000001","E01016129","E02003327","5","2B2","E00081518","E01016129","E02003327","E33039861","E38000237","E63012252","C1","5A3",51.380149,0.491863,"E37000056","","E23000032",8656,"E56000011","E54000032","E00081518","E01016129","E02003327"
"ME1 1AY","ME1  1AY","ME1 1AY","199405","201311","E99999999","E99999999","E06000035","E05014465","E43000030","1","574571","0168217","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081541","00LCPE","E65000001","E01016130","E02003327","5","2B1","E00081541","E01016130","E02003327","E33036993","E38000237","E63012252","C1","2C1",51.386148,0.507440,"E37000056","","E23000032",14067,"E56000011","E54000032","E00081541","E01016130","E02003327"
"ME1 1AZ","ME1  1AZ","ME1 1AZ","200709","","E99999999","E99999999","E06000035","E05014465","E43000030","0","574463","0168003","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPC","E00081472","00LCPC","E65000001","E01016117","E02003327","5","7A2","E00081472","E01016117","E02003327","E33039862","E38000237","E63012252","C1","3D2",51.384259,0.505784,"E37000056","","E23000032",3949,"E56000011","E54000032","E00081472","E01016117","E02003327"
"ME1 1BA","ME1  1BA","ME1 1BA","198001","","E99999999","E99999999","E06000035","E05014465","E43000030","0","574860","0167910","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPB","E00081424","00LCPB","E65000001","E01016110","E02003328","5","7A3","E00081424","E01016110","E02003328","E33039869","E38000237","E63012252","C1","2A1",51.383302,0.511438,"E37000056","","E23000032",6424,"E56000011","E54000032","E00081424","E01035296","E02003328"
"ME1 1BB","ME1  1BB","ME1 1BB","198001","","E99999999","E99999999","E06000035","E05014465","E43000030","0","574777","0167972","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPB","E00081424","00LCPB","E65000001","E01016110","E02003328","5","7A3","E00081424","E01016110","E02003328","E33039869","E38000237","E63012252","C1","2A1",51.383884,0.510277,"E37000056","","E23000032",6424,"E56000011","E54000032","E00081424","E01035296","E02003328"
"ME1 1BD","ME1  1BD","ME1 1BD","198001","","E99999999","E99999999","E06000035","E05014465","E43000030","0","574691","0167920","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPB","E00081426","00LCPB","E65000001","E01016110","E02003328","5","2B2","E00081426","E01016110","E02003328","E33039869","E38000237","E63012252","C1","2C1",51.383443,0.509046,"E37000056","","E23000032",6424,"E56000011","E54000032","E00081426","E01035296","E02003328"
"ME1 1BE","ME1  1BE","ME1 1BE","201309","","E99999999","E99999999","E06000035","E05014465","E43000030","0","574398","0168012","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPC","E00081472","00LCPC","E65000001","E01016117","E02003327","5","7A2","E00081472","E01016117","E02003327","E33039862","E38000237","E63012252","C1","3D2",51.384360,0.504855,"E37000056","","E23000032",3949,"E56000011","E54000032","E00081472","E01016117","E02003327"
"ME1 1BF","ME1  1BF","ME1 1BF","200807","","E99999999","E99999999","E06000035","E05014465","E43000030","0","574806","0167892","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPB","E00081426","00LCPB","E65000001","E01016110","E02003328","5","2B2","E00081426","E01016110","E02003328","E33039869","E38000237","E63012252","C1","2C1",51.383157,0.510654,"E37000056","","E23000032",6424,"E56000011","E54000032","E00081426","E01035296","E02003328"
"ME1 1BG","ME1  1BG","ME1 1BG","198001","","E99999999","E99999999","E06000035","E05014465","E43000030","0","574780","0167901","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPB","E00081426","00LCPB","E65000001","E01016110","E02003328","5","2B2","E00081426","E01016110","E02003328","E33039869","E38000237","E63012252","C1","2C1",51.383245,0.510285,"E37000056","","E23000032",6424,"E56000011","E54000032","E00081426","E01035296","E02003328"
"ME1 1BH","ME1  1BH","ME1 1BH","199906","","E99999999","E99999999","E06000035","E05014465","E43000030","0","573427","0167417","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPE","E00081520","00LCPE","E65000001","E01016129","E02003327","5","2B2","E00081520","E01016129","E02003327","E33039861","E38000237","E63012252","C1","5A3",51.379312,0.490655,"E37000056","","E23000032",8656,"E56000011","E54000032","E00081520","E01016129","E02003327"
"ME1 1BJ","ME1  1BJ","ME1 1BJ","199101","","E99999999","E99999999","E06000035","E05014465","E43000030","0","574562","0167990","1","E18000008","E40000005","E92000001","E12000008","5","E14001447","E15000008","E24000031","E30000242","E16000055","E06000035","00LCPC","E00081448","00LCPC","E65000001","E01016117","E02003327","5","2A2","E00081448","E01016117","E02003327","E33039862","E38000237","E63012252","C1","2C2",51.384112,0.507199,"E37000056","","E23000032",3949,"E56000011","E54000032","E00081448","E01016117","E02003327"
