pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"MK1 1AA","MK1  1AA","MK1 1AA","199201","201108","E99999999","E99999999","E06000042","E05009406","E04012176","1","487550","0235487","1","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084327","00MGNB","E65000001","E01016712","E02003481","5","6B2","E00175386","E01033497","E02003481","E33039784","E38000249","E63011059","C1","3D2",52.010918,-0.725813,"E37000057","","E23000029",10351,"E56000035","E54000024","E00183641","E01033497","E02003481"
"MK1 1AB","MK1  1AB","MK1 1AB","199501","199812","E99999999","E99999999","E06000042","E05009407","E04012176","1","487334","0234906","6","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084328","00MGNB","E65000001","E01016712","E02003481","5","1C3","E00084328","E01033498","E02003481","E33037273","E38000249","E63011059","C1","8D2",52.005730,-0.729107,"E37000057","","E23000029",5584,"E56000035","E54000024","E00084328","E01033498","E02003481"
"MK1 1AD","MK1  1AD","MK1 1AD","199507","201012","E99999999","E99999999","E06000042","E05009406","E04012176","1","487550","0235487","1","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084327","00MGNB","E65000001","E01016712","E02003481","5","6B2","E00175386","E01033497","E02003481","E33039784","E38000249","E63011059","C1","3D2",52.010918,-0.725813,"E37000057","","E23000029",10351,"E56000035","E54000024","E00183641","E01033497","E02003481"
"MK1 1AE","MK1  1AE","MK1 1AE","199501","199612","E99999999","E99999999","E06000042","E05009406","E04012176","1","487900","0234700","8","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084328","00MGNB","E65000001","E01016712","E02003481","5","1C3","E00084328","E01033498","E02003481","E33037271","E38000249","E63011059","C1","8D2",52.003789,-0.720917,"E37000057","","E23000029",5584,"E56000035","E54000024","E00084328","E01033498","E02003481"
"MK1 1AF","MK1  1AF","MK1 1AF","199501","199806","E99999999","E99999999","E06000042","E05009407","E04012176","1","487334","0234906","6","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084328","00MGNB","E65000001","E01016712","E02003481","5","1C3","E00084328","E01033498","E02003481","E33037273","E38000249","E63011059","C1","8D2",52.005730,-0.729107,"E37000057","","E23000029",5584,"E56000035","E54000024","E00084328","E01033498","E02003481"
"MK1 1AG","MK1  1AG","MK1 1AG","200706","200707","E99999999","E99999999","E06000042","E05009406","E04012176","1","487550","0235487","1","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084327","00MGNB","E65000001","E01016712","E02003481","5","6B2","E00175386","E01033497","E02003481","E33039784","E38000249","E63011059","C1","3D2",52.010918,-0.725813,"E37000057","","E23000029",10351,"E56000035","E54000024","E00183641","E01033497","E02003481"
"MK1 1AH","MK1  1AH","MK1 1AH","199512","201108","E99999999","E99999999","E06000042","E05009406","E04012176","1","487758","0235493","1","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084327","00MGNB","E65000001","E01016712","E02003481","5","6B2","E00175386","E01033497","E02003481","E33039781","E38000249","E63011059","C1","3D2",52.010939,-0.722782,"E37000057","","E23000029",10351,"E56000035","E54000024","E00183641","E01033497","E02003481"
"MK1 1AJ","MK1  1AJ","MK1 1AJ","199208","199507","E99999999","E99999999","E06000042","E05009406","E04012176","1","487500","0235500","8","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084327","00MGNB","E65000001","E01016712","E02003481","5","6B2","E00175386","E01033497","E02003481","E33039784","E38000249","E63011059","C1","3D2",52.011043,-0.726538,"E37000057","","E23000029",10351,"E56000035","E54000024","E00183641","E01033497","E02003481"
"MK1 1AL","MK1  1AL","MK1 1AL","199906","199912","E99999999","E99999999","E06000042","E05009407","E04012176","1","487334","0234906","6","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084328","00MGNB","E65000001","E01016712","E02003481","5","1C3","E00084328","E01033498","E02003481","E33037273","E38000249","E63011059","C1","8D2",52.005730,-0.729107,"E37000057","","E23000029",5584,"E56000035","E54000024","E00084328","E01033498","E02003481"
"MK1 1AQ","MK1  1AQ","MK1 1AQ","199507","199912","E99999999","E99999999","E06000042","E05009407","E04012176","1","487334","0234906","6","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084328","00MGNB","E65000001","E01016712","E02003481","5","1C3","E00084328","E01033498","E02003481","E33037273","E38000249","E63011059","C1","8D2",52.005730,-0.729107,"E37000057","","E23000029",5584,"E56000035","E54000024","E00084328","E01033498","E02003481"
"MK1 1AS","MK1  1AS","MK1 1AS","200106","","E99999999","E99999999","E06000042","E05009406","E04012176","1","488085","0234837","1","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084325","00MGNB","E65000001","E01016716","E02003488","5","4D2","E00084325","E01016716","E02003488","E33037269","E38000249","E63011059","C1","6B3",52.004991,-0.718187,"E37000057","","E23000029",11200,"E56000035","E54000024","E00084325","E01016716","E02003488"
"MK1 1AT","MK1  1AT","MK1 1AT","199301","199412","E99999999","E99999999","E06000042","E05009406","E04012176","0","487500","0235500","8","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084327","00MGNB","E65000001","E01016712","E02003481","5","6B2","E00175386","E01033497","E02003481","E33039784","E38000249","E63011059","C1","3D2",52.011043,-0.726538,"E37000057","","E23000029",10351,"E56000035","E54000024","E00183641","E01033497","E02003481"
"MK1 1AX","MK1  1AX","MK1 1AX","200607","","E99999999","E99999999","E06000042","E05009407","E04012176","0","486765","0234982","1","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084326","00MGNB","E65000001","E01016712","E02003481","5","7B2","E00084326","E01033498","E02003481","E33037270","E38000249","E63011059","C1","3C1",52.006512,-0.737355,"E37000057","","E23000029",5584,"E56000035","E54000024","E00084326","E01033498","E02003481"
"MK1 1AY","MK1  1AY","MK1 1AY","199109","200708","E99999999","E99999999","E06000042","E05009406","E04012176","1","487974","0235380","1","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084327","00MGNB","E65000001","E01016712","E02003481","5","6B2","E00175386","E01033497","E02003481","E33039785","E38000249","E63011059","C1","3D2",52.009890,-0.719665,"E37000057","","E23000029",10351,"E56000035","E54000024","E00183641","E01033497","E02003481"
"MK1 1BA","MK1  1BA","MK1 1BA","198001","","E99999999","E99999999","E06000042","E05009406","E04012176","0","488277","0234474","1","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084327","00MGNB","E65000001","E01016712","E02003481","5","6B2","E00175386","E01033497","E02003481","E33039782","E38000249","E63011059","C1","3D2",52.001698,-0.715484,"E37000057","","E23000029",10351,"E56000035","E54000024","E00183641","E01033497","E02003481"
"MK1 1BB","MK1  1BB","MK1 1BB","198001","202309","E99999999","E99999999","E06000042","E05009406","E04012176","1","488246","0234425","1","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084325","00MGNB","E65000001","E01016716","E02003488","5","4D2","E00084325","E01016716","E02003488","E33037269","E38000249","E63011059","C1","6B3",52.001262,-0.715949,"E37000057","","E23000029",11200,"E56000035","E54000024","E00084325","E01016716","E02003488"
"MK1 1BD","MK1  1BD","MK1 1BD","198001","200906","E99999999","E99999999","E06000042","E05009406","E04012176","1","488292","0234394","1","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084327","00MGNB","E65000001","E01016712","E02003481","5","6B2","E00175386","E01033497","E02003481","E33039782","E38000249","E63011059","C1","3D2",52.000977,-0.715287,"E37000057","","E23000029",10351,"E56000035","E54000024","E00183641","E01033497","E02003481"
"MK1 1BE","MK1  1BE","MK1 1BE","198001","","E99999999","E99999999","E06000042","E05009406","E04012176","0","488240","0234496","1","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084325","00MGNB","E65000001","E01016716","E02003488","5","4D2","E00084325","E01016716","E02003488","E33037269","E38000249","E63011059","C1","6B3",52.001902,-0.716018,"E37000057","","E23000029",11200,"E56000035","E54000024","E00084325","E01016716","E02003488"
"MK1 1BF","MK1  1BF","MK1 1BF","199706","199906","E99999999","E99999999","E06000042","E05009407","E04012176","1","487334","0234906","6","E18000009","E40000007","E92000001","E12000008","5","E14001141","E15000008","E24000026","E30000243","E16000016","E06000042","00MGNB","E00084328","00MGNB","E65000001","E01016712","E02003481","5","1C3","E00084328","E01033498","E02003481","E33037273","E38000249","E63011059","C1","8D2",52.005730,-0.729107,"E37000057","","E23000029",5584,"E56000035","E54000024","E00084328","E01033498","E02003481"
