pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"N1  0AA","N1   0AA","N1 0AA","198001","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530626","0183961","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013472","00AUFZ","E65000001","E01002715","E02000572","5","7B2","E00013472","E01002715","E02000572","E33034759","E38000240","E63011980","A1","3B1",51.539442,-0.117873,"E37000051","","E23000001",4721,"E56000027","E54000028","E00013472","E01002715","E02000572"
"N1  0AB","N1   0AB","N1 0AB","198001","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530559","0183978","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013472","00AUFZ","E65000001","E01002715","E02000572","5","7B2","E00013472","E01002715","E02000572","E33034759","E38000240","E63011980","A1","3B1",51.539611,-0.118832,"E37000051","","E23000001",4721,"E56000027","E54000028","E00013472","E01002715","E02000572"
"N1  0AD","N1   0AD","N1 0AD","200209","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530333","0184053","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013476","00AUFZ","E65000001","E01002708","E02000568","5","7B1","E00174800","E01002708","E02000568","E33034736","E38000240","E63011980","A1","3B3",51.540337,-0.122061,"E37000051","","E23000001",8035,"E56000027","E54000028","E00183852","E01002708","E02000568"
"N1  0AE","N1   0AE","N1 0AE","200012","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530322","0183741","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013471","00AUFZ","E65000001","E01002709","E02000572","5","7B1","E00013471","E01002709","E02000572","E33034760","E38000240","E63011985","A1","3D3",51.537536,-0.122335,"E37000051","","E23000001",5835,"E56000027","E54000028","E00013471","E01002709","E02000572"
"N1  0AF","N1   0AF","N1 0AF","198001","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530704","0183764","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013482","00AUFZ","E65000001","E01002710","E02000572","5","7B2","E00013482","E01002710","E02000572","E33034760","E38000240","E63011980","A1","3B1",51.537654,-0.116822,"E37000051","","E23000001",7574,"E56000027","E54000028","E00013482","E01002710","E02000572"
"N1  0AG","N1   0AG","N1 0AG","198106","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530404","0183915","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013476","00AUFZ","E65000001","E01002708","E02000568","5","7B1","E00174800","E01002708","E02000568","E33034736","E38000240","E63011980","A1","3B3",51.539080,-0.121089,"E37000051","","E23000001",8035,"E56000027","E54000028","E00183906","E01002708","E02000568"
"N1  0AH","N1   0AH","N1 0AH","200012","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530357","0183712","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013470","00AUFZ","E65000001","E01002709","E02000572","5","7B1","E00013470","E01002709","E02000572","E33034760","E38000240","E63011980","A1","3D3",51.537267,-0.121841,"E37000051","","E23000001",5835,"E56000027","E54000028","E00013470","E01002709","E02000572"
"N1  0AJ","N1   0AJ","N1 0AJ","200012","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530335","0183709","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013470","00AUFZ","E65000001","E01002709","E02000572","5","7B1","E00013470","E01002709","E02000572","E33034760","E38000240","E63011980","A1","3D3",51.537245,-0.122159,"E37000051","","E23000001",5835,"E56000027","E54000028","E00013470","E01002709","E02000572"
"N1  0AL","N1   0AL","N1 0AL","199912","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530530","0183945","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013477","00AUFZ","E65000001","E01002715","E02000572","5","7B2","E00013477","E01002715","E02000572","E33034759","E38000240","E63011980","A1","3B3",51.539321,-0.119262,"E37000051","","E23000001",4721,"E56000027","E54000028","E00013477","E01002715","E02000572"
"N1  0AN","N1   0AN","N1 0AN","198106","","E99999999","E99999999","E09000019","E05013700","E43000209","0","530403","0183700","1","E18000007","E40000003","E92000001","E12000007","5","E14001306","E15000007","E24000014","E30000234","E16000048","E09000019","00AUFZ","E00013470","00AUFZ","E65000001","E01002709","E02000572","5","7B1","E00013470","E01002709","E02000572","E33034760","E38000240","E63011980","A1","3D3",51.537148,-0.121183,"E37000051","","E23000001",5835,"E56000027","E54000028","E00013470","E01002709","E02000572"
