pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"NG1 1AA","NG1  1AA","NG1 1AA","199002","","E99999999","E99999999","E06000018","E05012287","E43000016","1","457804","0340087","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015243","E38000243","E63009088","B1","2B2",52.955053,-1.141030,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187524","E01035500","E02002890"
"NG1 1AB","NG1  1AB","NG1 1AB","202403","","E99999999","E99999999","E06000018","E05012287","E43000016","0","457871","0340013","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015693","E38000243","E63009088","B1","2B2",52.954401,-1.140043,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187603","E01035500","E02002890"
"NG1 1AE","NG1  1AE","NG1 1AE","199109","200311","E99999999","E99999999","E06000018","E05012287","E43000016","1","457760","0340197","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015698","E38000243","E63009088","B1","2B2",52.956046,-1.141665,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187603","E01035500","E02002890"
"NG1 1AF","NG1  1AF","NG1 1AF","199109","200311","E99999999","E99999999","E06000018","E05012287","E43000016","1","457760","0340197","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015698","E38000243","E63009088","B1","2B2",52.956046,-1.141665,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187603","E01035500","E02002890"
"NG1 1AG","NG1  1AG","NG1 1AG","199208","200311","E99999999","E99999999","E06000018","E05012287","E43000016","1","457760","0340197","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015698","E38000243","E63009088","B1","2B2",52.956046,-1.141665,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187603","E01035500","E02002890"
"NG1 1AH","NG1  1AH","NG1 1AH","200912","","E99999999","E99999999","E06000018","E05012287","E43000016","1","457804","0340087","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015243","E38000243","E63009088","B1","2B2",52.955053,-1.141030,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187524","E01035500","E02002890"
"NG1 1AJ","NG1  1AJ","NG1 1AJ","200809","","E99999999","E99999999","E06000018","E05012277","E43000016","0","458179","0339654","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNR","E00070230","00FYNR","E65000001","E01013920","E02002896","5","5A1","E00070230","E01013920","E02002896","E33015725","E38000243","E63009088","B1","3C1",52.951121,-1.135526,"E37000045","","E23000019",2974,"E56000031","E54000060","E00070230","E01013920","E02002896"
"NG1 1AL","NG1  1AL","NG1 1AL","199301","199412","E99999999","E99999999","E06000018","E05012277","E43000016","1","457700","0340100","8","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNL","E00069990","00FYNL","E65000001","E01013869","E02002900","5","2A2","E00173511","E01033407","E02006904","E33018063","E38000243","E63009088","B1","2B2",52.955181,-1.142575,"E37000045","","E23000019",10416,"E56000031","E54000060","E00187523","E01033407","E02006904"
"NG1 1AN","NG1  1AN","NG1 1AN","200209","","E99999999","E99999999","E06000018","E05012277","E43000016","0","457782","0339739","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNL","E00069990","00FYNL","E65000001","E01013869","E02002900","5","2A2","E00173546","E01033407","E02006904","E33018062","E38000243","E63009088","B1","2B2",52.951927,-1.141419,"E37000045","","E23000019",10416,"E56000031","E54000060","E00173546","E01033407","E02006904"
"NG1 1AP","NG1  1AP","NG1 1AP","200509","","E99999999","E99999999","E06000018","E05012277","E43000016","0","457740","0340150","1","E18000004","E40000011","E92000001","E12000004","3","E14001410","E15000004","E24000008","E30000249","E16000022","E06000018","00FYNX","E00070464","00FYNX","E65000001","E01013956","E02002890","5","2A2","E00173535","E01033405","E02002890","E33015243","E38000243","E63009088","B1","2B2",52.955626,-1.141971,"E37000045","","E23000019",4686,"E56000031","E54000060","E00187524","E01035500","E02002890"
