pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"NN1 1AA","NN1  1AA","NN1 1AA","199301","201610","E99999999","E99999999","E06000062","E05013264","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245270,-0.898245,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670"
"NN1 1AB","NN1  1AB","NN1 1AB","198001","199112","E99999999","E99999999","E06000062","E05013246","E04013033","1","475600","0260400","8","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138486","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00138486","E01027223","E02005674","E33014728","E38000262","E63010463","C1","2C1",52.236611,-0.894359,"E37000057","","E23000022",9944,"E56000031","E54000059","E00188957","E01035417","E02005674"
"NN1 1AD","NN1  1AD","NN1 1AD","198203","199501","E99999999","E99999999","E06000062","E05013246","E04013033","1","475600","0260400","8","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138486","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00138486","E01027223","E02005674","E33014728","E38000262","E63010463","C1","2C1",52.236611,-0.894359,"E37000057","","E23000022",9944,"E56000031","E54000059","E00188957","E01035417","E02005674"
"NN1 1AE","NN1  1AE","NN1 1AE","198410","200707","E99999999","E99999999","E06000062","E05013264","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245270,-0.898245,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670"
"NN1 1AF","NN1  1AF","NN1 1AF","198607","","E99999999","E99999999","E06000062","E05013246","E04013033","1","475689","0260445","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138486","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00138486","E01027223","E02005674","E33014728","E38000262","E63010463","C1","2C1",52.237003,-0.893046,"E37000057","","E23000022",9944,"E56000031","E54000059","E00188957","E01035417","E02005674"
"NN1 1AG","NN1  1AG","NN1 1AG","200803","","E99999999","E99999999","E06000062","E05013246","E04013033","0","475625","0260286","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138515","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00169272","E01027223","E02005674","E33015014","E38000262","E63010463","C1","2C1",52.235583,-0.894019,"E37000057","","E23000022",9944,"E56000031","E54000059","E00169272","E01035417","E02005674"
"NN1 1AH","NN1  1AH","NN1 1AH","199706","200311","E99999999","E99999999","E06000062","E05013264","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245270,-0.898245,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670"
"NN1 1AJ","NN1  1AJ","NN1 1AJ","200112","","E99999999","E99999999","E06000062","E05013246","E04013033","0","475189","0260342","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138120","34UFGB","E65000001","E01027150","E02005670","5","2A2","E00169259","E01032979","E02005670","E33015001","E38000262","E63010463","C1","2C1",52.236146,-0.900389,"E37000057","","E23000022",1372,"E56000031","E54000059","E00169259","E01032979","E02005670"
"NN1 1AL","NN1  1AL","NN1 1AL","199405","","E99999999","E99999999","E06000062","E05013264","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245270,-0.898245,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670"
"NN1 1AN","NN1  1AN","NN1 1AN","199405","201106","E99999999","E99999999","E06000062","E05013264","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245270,-0.898245,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670"
"NN1 1AP","NN1  1AP","NN1 1AP","199405","201902","E99999999","E99999999","E06000062","E05013264","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245270,-0.898245,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670"
"NN1 1AQ","NN1  1AQ","NN1 1AQ","199301","201008","E99999999","E99999999","E06000062","E05013264","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245270,-0.898245,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670"
"NN1 1AR","NN1  1AR","NN1 1AR","199405","201902","E99999999","E99999999","E06000062","E05013264","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245270,-0.898245,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670"
"NN1 1AS","NN1  1AS","NN1 1AS","199405","201310","E99999999","E99999999","E06000062","E05013247","E04013033","1","474354","0259972","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138120","34UFGB","E65000001","E01027150","E02005670","5","2A2","E00169259","E01032979","E02005670","E33015002","E38000262","E63010463","C1","2C1",52.232933,-0.912696,"E37000057","","E23000022",1372,"E56000031","E54000059","E00169259","E01032979","E02005670"
"NN1 1AT","NN1  1AT","NN1 1AT","199405","201310","E99999999","E99999999","E06000062","E05013247","E04013033","1","474354","0259972","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138120","34UFGB","E65000001","E01027150","E02005670","5","2A2","E00169259","E01032979","E02005670","E33015002","E38000262","E63010463","C1","2C1",52.232933,-0.912696,"E37000057","","E23000022",1372,"E56000031","E54000059","E00169259","E01032979","E02005670"
"NN1 1AU","NN1  1AU","NN1 1AU","199405","201902","E99999999","E99999999","E06000062","E05013264","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245270,-0.898245,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670"
"NN1 1AW","NN1  1AW","NN1 1AW","199405","201902","E99999999","E99999999","E06000062","E05013264","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245270,-0.898245,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670"
"NN1 1AX","NN1  1AX","NN1 1AX","199405","201310","E99999999","E99999999","E06000062","E05013247","E04013033","1","474354","0259972","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138120","34UFGB","E65000001","E01027150","E02005670","5","2A2","E00169259","E01032979","E02005670","E33015002","E38000262","E63010463","C1","2C1",52.232933,-0.912696,"E37000057","","E23000022",1372,"E56000031","E54000059","E00169259","E01032979","E02005670"
"NN1 1AY","NN1  1AY","NN1 1AY","199405","201902","E99999999","E99999999","E06000062","E05013264","E04013033","1","475320","0261359","1","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGB","E00138127","34UFGB","E65000001","E01027153","E02005670","5","5A1","E00138127","E01027153","E02005670","E33017338","E38000262","E63010463","C1","3C1",52.245270,-0.898245,"E37000057","","E23000022",2420,"E56000031","E54000059","E00138127","E01027153","E02005670"
"NN1 1AZ","NN1  1AZ","NN1 1AZ","199405","200006","E99999999","E99999999","E06000062","E05013246","E04013033","1","475550","0260322","6","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138515","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00169272","E01027223","E02005674","E33015014","E38000262","E63010463","C1","2C1",52.235917,-0.895109,"E37000057","","E23000022",9944,"E56000031","E54000059","E00169272","E01035417","E02005674"
"NN1 1BA","NN1  1BA","NN1 1BA","199405","200006","E99999999","E99999999","E06000062","E05013246","E04013033","1","475550","0260322","6","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138515","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00169272","E01027223","E02005674","E33015014","E38000262","E63010463","C1","2C1",52.235917,-0.895109,"E37000057","","E23000022",9944,"E56000031","E54000059","E00169272","E01035417","E02005674"
"NN1 1BB","NN1  1BB","NN1 1BB","199405","200006","E99999999","E99999999","E06000062","E05013246","E04013033","1","475550","0260322","6","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138515","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00169272","E01027223","E02005674","E33015014","E38000262","E63010463","C1","2C1",52.235917,-0.895109,"E37000057","","E23000022",9944,"E56000031","E54000059","E00169272","E01035417","E02005674"
"NN1 1BD","NN1  1BD","NN1 1BD","199405","200006","E99999999","E99999999","E06000062","E05013246","E04013033","1","475550","0260322","6","E18000004","E40000011","E92000001","E12000004","3","E14001406","E15000004","E24000011","E30000247","E16000114","E06000062","34UFGQ","E00138515","34UFGQ","E65000001","E01027223","E02005674","5","2B2","E00169272","E01027223","E02005674","E33015014","E38000262","E63010463","C1","2C1",52.235917,-0.895109,"E37000057","","E23000022",9944,"E56000031","E54000059","E00169272","E01035417","E02005674"
