pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"NP1 0AA","NP1  0AA","NP1 0AA","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327300","0188700","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008665","00PRNM","W31000001","W01001673","W02000355","5","4A2","W00008665","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6A2",51.592439,-3.050861,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008665","W01001673","W02000355"
"NP1 0AB","NP1  0AB","NP1 0AB","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327500","0188900","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008681","00PRNM","W31000001","W01001673","W02000355","5","4B2","W00008681","W01001673","W02000355","W35002421","W11000028","W45001164","C1","6A3",51.594262,-3.048015,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008681","W01001673","W02000355"
"NP1 0AD","NP1  0AD","NP1 0AD","198106","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327100","0189000","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008654","00PRNM","W31000001","W01001669","W02000355","5","4B4","W00008654","W01001669","W02000355","W35002421","W11000028","W45001164","C1","6A3",51.595110,-3.053810,"W99999999","","W15000002",1890,"W99999999","W99999999","W00008654","W01001669","W02000355"
"NP1 0AE","NP1  0AE","NP1 0AE","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327200","0188800","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008659","00PRNM","W31000001","W01001673","W02000355","5","6D2","W00008659","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6B2",51.593325,-3.052325,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008659","W01001673","W02000355"
"NP1 0AF","NP1  0AF","NP1 0AF","198106","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327000","0189100","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008678","00PRNM","W31000001","W01001670","W02000355","5","4B3","W00008678","W01001670","W02000355","W35002420","W11000028","W45001164","C1","6A2",51.595996,-3.055274,"W99999999","","W15000002",1789,"W99999999","W99999999","W00008678","W01001670","W02000355"
"NP1 0AG","NP1  0AG","NP1 0AG","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327200","0188800","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008659","00PRNM","W31000001","W01001673","W02000355","5","6D2","W00008659","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6B2",51.593325,-3.052325,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008659","W01001673","W02000355"
"NP1 0AH","NP1  0AH","NP1 0AH","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327100","0188900","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008659","00PRNM","W31000001","W01001673","W02000355","5","6D2","W00008659","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6B2",51.594211,-3.053789,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008659","W01001673","W02000355"
"NP1 0AJ","NP1  0AJ","NP1 0AJ","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327000","0189100","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008678","00PRNM","W31000001","W01001670","W02000355","5","4B3","W00008678","W01001670","W02000355","W35002420","W11000028","W45001164","C1","6A2",51.595996,-3.055274,"W99999999","","W15000002",1789,"W99999999","W99999999","W00008678","W01001670","W02000355"
"NP1 0AL","NP1  0AL","NP1 0AL","198106","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327000","0189100","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008678","00PRNM","W31000001","W01001670","W02000355","5","4B3","W00008678","W01001670","W02000355","W35002420","W11000028","W45001164","C1","6A2",51.595996,-3.055274,"W99999999","","W15000002",1789,"W99999999","W99999999","W00008678","W01001670","W02000355"
"NP1 0AN","NP1  0AN","NP1 0AN","198001","199906","W99999999","W99999999","W06000022","W05001641","W04001049","0","327100","0188800","8","W11000028","W99999999","W92000004","W99999999","9","W07000105","W08000001","W16000004","K01000013","W11000028","W06000022","00PRNM","W00008659","00PRNM","W31000001","W01001673","W02000355","5","6D2","W00008659","W01001673","W02000355","W35002422","W11000028","W45001164","C1","6B2",51.593312,-3.053768,"W99999999","","W15000002",1816,"W99999999","W99999999","W00008659","W01001673","W02000355"
