pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"NR1 1AA","NR1  1AA","NR1 1AA","199002","","E10000020","E58001025","E07000148","E05012910","E43000115","1","624073","0308352","1","E18000006","E40000007","E92000001","E12000006","4","E14001409","E15000006","E24000001","E30000248","E16000125","E07000148","33UGGC","E00136549","33UGGC","E65000001","E01026851","E02005591","5","2B2","E00136549","E01033439","E02006907","E33024678","E38000239","E63009624","C1","2C1",52.626650,1.309339,"E37000052","","E23000024",10498,"E56000035","E54000022","E00187974","E01035137","E02006907"
"NR1 1AB","NR1  1AB","NR1 1AB","198001","200006","E10000020","E58001025","E07000148","E05012910","E43000115","1","624068","0308352","1","E18000006","E40000007","E92000001","E12000006","4","E14001409","E15000006","E24000001","E30000248","E16000125","E07000148","33UGGC","E00136549","33UGGC","E65000001","E01026851","E02005591","5","2B2","E00136549","E01033439","E02006907","E33024678","E38000239","E63009624","C1","2C1",52.626652,1.309265,"E37000052","","E23000024",10498,"E56000035","E54000022","E00187974","E01035137","E02006907"
"NR1 1AD","NR1  1AD","NR1 1AD","198106","199405","E10000020","E58001025","E07000148","E05012910","E43000115","1","623500","0308300","8","E18000006","E40000007","E92000001","E12000006","4","E14001409","E15000006","E24000001","E30000248","E16000125","E07000148","33UGGC","E00136546","33UGGC","E65000001","E01026847","E02005591","5","2A2","E00173858","E01033440","E02006907","E33025131","E38000239","E63009624","C1","5A3",52.626419,1.300853,"E37000052","","E23000024",4706,"E56000035","E54000022","E00187858","E01033440","E02006907"
"NR1 1AE","NR1  1AE","NR1 1AE","198704","200805","E10000020","E58001025","E07000148","E05012910","E43000115","1","624758","0308175","1","E18000006","E40000007","E92000001","E12000006","4","E14001409","E15000006","E24000001","E30000248","E16000125","E07000148","33UGGC","E00136560","33UGGC","E65000001","E01026849","E02005591","5","2A1","E00136560","E01026849","E02006908","E33028802","E38000239","E63009624","C1","2C1",52.624778,1.319322,"E37000052","","E23000024",24737,"E56000035","E54000022","E00136560","E01026849","E02006908"
"NR1 1AF","NR1  1AF","NR1 1AF","199405","199412","E10000020","E58001025","E07000148","E05012910","E43000115","1","624100","0308300","8","E18000006","E40000007","E92000001","E12000006","4","E14001409","E15000006","E24000001","E30000248","E16000125","E07000148","33UGGC","E00136549","33UGGC","E65000001","E01026851","E02005591","5","2B2","E00136549","E01033439","E02006907","E33024678","E38000239","E63009624","C1","2C1",52.626172,1.309702,"E37000052","","E23000024",10498,"E56000035","E54000022","E00187974","E01035137","E02006907"
"NR1 1AG","NR1  1AG","NR1 1AG","199412","200411","E10000020","E58001019","E07000144","E05005778","E04006250","1","625400","0310800","1","E18000006","E40000007","E92000001","E12000006","4","E14001408","E15000006","E24000001","E30000248","E16000125","E07000144","33UCHL","E00134953","33UCHL","E65000001","E01026560","E02005532","5","4C1","E00134953","E01026560","E02005532","E33024536","E38000239","E63009624","C1","6B3",52.648071,1.330580,"E37000052","","E23000024",26190,"E56000035","E54000022","E00134953","E01026560","E02005532"
"NR1 1AH","NR1  1AH","NR1 1AH","199412","199812","E10000020","E58001025","E07000148","E05012910","E43000115","1","624068","0308352","6","E18000006","E40000007","E92000001","E12000006","4","E14001409","E15000006","E24000001","E30000248","E16000125","E07000148","33UGGC","E00136549","33UGGC","E65000001","E01026851","E02005591","5","2B2","E00136549","E01033439","E02006907","E33024678","E38000239","E63009624","C1","2C1",52.626652,1.309265,"E37000052","","E23000024",10498,"E56000035","E54000022","E00187974","E01035137","E02006907"
"NR1 1AJ","NR1  1AJ","NR1 1AJ","199501","200401","E10000020","E58001019","E07000144","E05005778","E04006250","1","625400","0310800","1","E18000006","E40000007","E92000001","E12000006","4","E14001408","E15000006","E24000001","E30000248","E16000125","E07000144","33UCHL","E00134953","33UCHL","E65000001","E01026560","E02005532","5","4C1","E00134953","E01026560","E02005532","E33024536","E38000239","E63009624","C1","6B3",52.648071,1.330580,"E37000052","","E23000024",26190,"E56000035","E54000022","E00134953","E01026560","E02005532"
"NR1 1AL","NR1  1AL","NR1 1AL","199501","199606","E10000020","E58001025","E07000148","E05012910","E43000115","1","624100","0308300","8","E18000006","E40000007","E92000001","E12000006","4","E14001409","E15000006","E24000001","E30000248","E16000125","E07000148","33UGGC","E00136549","33UGGC","E65000001","E01026851","E02005591","5","2B2","E00136549","E01033439","E02006907","E33024678","E38000239","E63009624","C1","2C1",52.626172,1.309702,"E37000052","","E23000024",10498,"E56000035","E54000022","E00187974","E01035137","E02006907"
"NR1 1AQ","NR1  1AQ","NR1 1AQ","200012","200905","E10000020","E58001019","E07000144","E05005778","E04006250","1","624885","0310737","1","E18000006","E40000007","E92000001","E12000006","4","E14001408","E15000006","E24000001","E30000248","E16000125","E07000144","33UCHL","E00134956","33UCHL","E65000001","E01026559","E02005532","5","4C1","E00134956","E01026559","E02005532","E33024539","E38000239","E63009624","C1","6B3",52.647719,1.322938,"E37000052","","E23000024",25408,"E56000035","E54000022","E00134956","E01026559","E02005532"
