pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"NW1 0AA","NW1  0AA","NW1 0AA","198001","","E99999999","E99999999","E09000007","E05013668","E43000197","0","529135","0183622","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGT","E00004704","00AGGT","E65000001","E01000947","E02000186","5","7B1","E00004704","E01000947","E02000186","E33029521","E38000240","E63011985","A1","3B3",51.536739,-0.139484,"E37000051","","E23000001",10959,"E56000027","E54000028","E00004704","E01000947","E02000186"
"NW1 0AB","NW1  0AB","NW1 0AB","198001","","E99999999","E99999999","E09000007","E05013668","E43000197","0","529085","0183689","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGT","E00004704","00AGGT","E65000001","E01000947","E02000186","5","7B1","E00004704","E01000947","E02000186","E33029521","E38000240","E63011985","A1","3B3",51.537352,-0.140180,"E37000051","","E23000001",10959,"E56000027","E54000028","E00004704","E01000947","E02000186"
"NW1 0AD","NW1  0AD","NW1 0AD","198001","","E99999999","E99999999","E09000007","E05013668","E43000197","0","529074","0183650","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGT","E00004704","00AGGT","E65000001","E01000947","E02000186","5","7B1","E00004704","E01000947","E02000186","E33029521","E38000240","E63011985","A1","3B3",51.537006,-0.140327,"E37000051","","E23000001",10959,"E56000027","E54000028","E00004704","E01000947","E02000186"
"NW1 0AE","NW1  0AE","NW1 0AE","198001","","E99999999","E99999999","E09000007","E05013655","E43000197","0","529063","0183708","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004240","00AGGF","E65000001","E01000861","E02000184","5","7B1","E00004240","E01000861","E02000184","E33029323","E38000240","E63011985","A1","3D3",51.537530,-0.140464,"E37000051","","E23000001",6470,"E56000027","E54000028","E00004240","E01000861","E02000184"
"NW1 0AF","NW1  0AF","NW1 0AF","199208","200603","E99999999","E99999999","E09000007","E05013668","E43000197","1","529433","0182967","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGT","E00004694","00AGGT","E65000001","E01000945","E02000188","5","7B2","E00004694","E01000945","E02000188","E33029506","E38000240","E63011985","A1","3B2",51.530784,-0.135430,"E37000051","","E23000001",8263,"E56000027","E54000028","E00004694","E01035710","E02000188"
"NW1 0AG","NW1  0AG","NW1 0AG","198001","","E99999999","E99999999","E09000007","E05013655","E43000197","0","529058","0183735","1","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004240","00AGGF","E65000001","E01000861","E02000184","5","7B1","E00004240","E01000861","E02000184","E33033039","E38000240","E63011985","A1","3D3",51.537774,-0.140526,"E37000051","","E23000001",6470,"E56000027","E54000028","E00004240","E01000861","E02000184"
"NW1 0AH","NW1  0AH","NW1 0AH","199308","199412","E99999999","E99999999","E09000007","E05013655","E43000197","1","529000","0183800","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004240","00AGGF","E65000001","E01000861","E02000184","5","7B1","E00004240","E01000861","E02000184","E33033039","E38000240","E63011985","A1","3D3",51.538369,-0.141364,"E37000051","","E23000001",6470,"E56000027","E54000028","E00004240","E01000861","E02000184"
"NW1 0AJ","NW1  0AJ","NW1 0AJ","199007","199507","E99999999","E99999999","E09000007","E05013655","E43000197","1","528900","0183800","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004225","00AGGF","E65000001","E01000863","E02000186","5","2A2","E00004225","E01000863","E02000186","E33029316","E38000240","E63011985","A1","2B2",51.538392,-0.142805,"E37000051","","E23000001",6114,"E56000027","E54000028","E00004225","E01000863","E02000186"
"NW1 0AL","NW1  0AL","NW1 0AL","199405","199501","E99999999","E99999999","E09000007","E05013655","E43000197","1","528900","0183800","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004225","00AGGF","E65000001","E01000863","E02000186","5","2A2","E00004225","E01000863","E02000186","E33029316","E38000240","E63011985","A1","2B2",51.538392,-0.142805,"E37000051","","E23000001",6114,"E56000027","E54000028","E00004225","E01000863","E02000186"
"NW1 0AN","NW1  0AN","NW1 0AN","198001","199507","E99999999","E99999999","E09000007","E05013655","E43000197","0","528900","0183800","8","E18000007","E40000003","E92000001","E12000007","5","E14001290","E15000007","E24000014","E30000234","E16000047","E09000007","00AGGF","E00004225","00AGGF","E65000001","E01000863","E02000186","5","2A2","E00004225","E01000863","E02000186","E33029316","E38000240","E63011985","A1","2B2",51.538392,-0.142805,"E37000051","","E23000001",6114,"E56000027","E54000028","E00004225","E01000863","E02000186"
