pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"OL1 1AA","OL1  1AA","OL1 1AA","199002","","E99999999","E99999999","E08000004","E05014663","E43000158","1","393482","0404988","1","E18000002","E40000010","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027490","00BPFR","E65000001","E01005427","E02001119","5","7A1","E00027490","E01005427","E02001119","E33002532","E38000135","E63008292","A1","4B2",53.541494,-2.099826,"E37000015","","E23000005",1346,"E56000032","E54000057","E00027490","E01005427","E02001119"
"OL1 1AB","OL1  1AB","OL1 1AB","200006","200101","E99999999","E99999999","E08000004","E05014650","E43000158","1","392638","0405026","6","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002543","E38000135","E63008292","A1","3C1",53.541824,-2.112563,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
"OL1 1AD","OL1  1AD","OL1 1AD","199208","","E99999999","E99999999","E08000004","E05014650","E43000158","1","392764","0404929","1","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027524","00BPFS","E65000001","E01005434","E02001121","5","7A1","E00027524","E01005434","E02001121","E33005230","E38000135","E63008292","A1","4B2",53.540954,-2.110659,"E37000015","","E23000005",556,"E56000032","E54000057","E00027524","E01005434","E02001121"
"OL1 1AE","OL1  1AE","OL1 1AE","199501","201710","E99999999","E99999999","E08000004","E05014663","E43000158","1","393482","0404988","1","E18000002","E40000010","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027490","00BPFR","E65000001","E01005427","E02001119","5","7A1","E00027490","E01005427","E02001119","E33002532","E38000135","E63008292","A1","4B2",53.541494,-2.099826,"E37000015","","E23000005",1346,"E56000032","E54000057","E00027490","E01005427","E02001119"
"OL1 1AF","OL1  1AF","OL1 1AF","198410","200108","E99999999","E99999999","E08000004","E05014663","E43000158","1","393601","0404868","1","E18000002","E40000010","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027492","00BPFR","E65000001","E01005427","E02001119","5","7A1","E00027492","E01005427","E02001119","E33005225","E38000135","E63008292","A1","4B2",53.540417,-2.098028,"E37000015","","E23000005",1346,"E56000032","E54000057","E00181800","E01005427","E02001119"
"OL1 1AG","OL1  1AG","OL1 1AG","199301","201812","E99999999","E99999999","E08000004","E05014663","E43000158","1","393482","0404988","1","E18000002","E40000010","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027490","00BPFR","E65000001","E01005427","E02001119","5","7A1","E00027490","E01005427","E02001119","E33002532","E38000135","E63008292","A1","4B2",53.541494,-2.099826,"E37000015","","E23000005",1346,"E56000032","E54000057","E00027490","E01005427","E02001119"
"OL1 1AH","OL1  1AH","OL1 1AH","199301","199412","E99999999","E99999999","E08000004","E05014663","E43000158","0","393500","0405000","8","E18000002","E40000010","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027490","00BPFR","E65000001","E01005427","E02001119","5","7A1","E00027490","E01005427","E02001119","E33002532","E38000135","E63008292","A1","4B2",53.541602,-2.099555,"E37000015","","E23000005",1346,"E56000032","E54000057","E00027490","E01005427","E02001119"
"OL1 1AJ","OL1  1AJ","OL1 1AJ","199002","199906","E99999999","E99999999","E08000004","E05014650","E43000158","1","392629","0405024","6","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002543","E38000135","E63008292","A1","3C1",53.541806,-2.112699,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
"OL1 1AL","OL1  1AL","OL1 1AL","200503","","E99999999","E99999999","E08000004","E05014650","E43000158","0","392857","0404841","1","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027524","00BPFS","E65000001","E01005434","E02001121","5","7A1","E00027524","E01005434","E02001121","E33005230","E38000135","E63008292","A1","4B2",53.540181,-2.109252,"E37000015","","E23000005",556,"E56000032","E54000057","E00027524","E01005434","E02001121"
"OL1 1AN","OL1  1AN","OL1 1AN","200304","","E99999999","E99999999","E08000004","E05014650","E43000158","0","392559","0404735","1","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002540","E38000135","E63008292","A1","3C1",53.539224,-2.113746,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
"OL1 1AP","OL1  1AP","OL1 1AP","201704","","E99999999","E99999999","E08000004","E05014663","E43000158","0","392994","0404904","1","E18000002","E40000010","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027482","00BPFR","E65000001","E01005433","E02001111","5","5C2","E00027482","E01005433","E02001111","E33002524","E38000135","E63008292","A1","3C1",53.540749,-2.107186,"E37000015","","E23000005",129,"E56000032","E54000057","E00181739","E01005433","E02001111"
"OL1 1AQ","OL1  1AQ","OL1 1AQ","201808","","E99999999","E99999999","E08000004","E05014663","E43000158","0","393482","0404988","5","E18000002","E40000010","E92000001","E12000002","8","E14001415","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGP","E00027490","00BPFR","E65000001","E01005427","E02001119","5","7A1","E00027490","E01005427","E02001119","E33002532","E38000135","E63008292","A1","4B2",53.541510,-2.099824,"E37000015","","E23000005",1346,"E56000032","E54000057","E00027490","E01005427","E02001119"
"OL1 1BA","OL1  1BA","OL1 1BA","198001","","E99999999","E99999999","E08000004","E05014650","E43000158","0","392458","0404704","1","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002540","E38000135","E63008292","A1","3C1",53.538927,-2.115271,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
"OL1 1BB","OL1  1BB","OL1 1BB","200012","","E99999999","E99999999","E08000004","E05014650","E43000158","0","392533","0404653","1","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002535","E38000135","E63008292","A1","3C1",53.538486,-2.114136,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
"OL1 1BD","OL1  1BD","OL1 1BD","198001","","E99999999","E99999999","E08000004","E05014650","E43000158","0","392445","0404777","1","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002540","E38000135","E63008292","A1","3C1",53.539599,-2.115467,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
"OL1 1BE","OL1  1BE","OL1 1BE","198001","","E99999999","E99999999","E08000004","E05014650","E43000158","0","392506","0404778","1","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002540","E38000135","E63008292","A1","3C1",53.539593,-2.114549,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
"OL1 1BF","OL1  1BF","OL1 1BF","199405","199501","E99999999","E99999999","E08000004","E05014650","E43000158","1","392700","0404900","8","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002536","E38000135","E63008292","A1","3C1",53.540692,-2.111624,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
"OL1 1BG","OL1  1BG","OL1 1BG","198001","201706","E99999999","E99999999","E08000004","E05014650","E43000158","1","392563","0404804","1","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002541","E38000135","E63008292","A1","3C1",53.539828,-2.113689,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
"OL1 1BH","OL1  1BH","OL1 1BH","198001","198212","E99999999","E99999999","E08000004","E05014650","E43000158","1","392700","0404900","8","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002536","E38000135","E63008292","A1","3C1",53.540692,-2.111624,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
"OL1 1BJ","OL1  1BJ","OL1 1BJ","198001","","E99999999","E99999999","E08000004","E05014650","E43000158","1","392616","0404811","1","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002538","E38000135","E63008292","A1","3C1",53.539891,-2.112890,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
"OL1 1BL","OL1  1BL","OL1 1BL","198001","","E99999999","E99999999","E08000004","E05014650","E43000158","1","392616","0404811","1","E18000002","E40000010","E92000001","E12000002","8","E14001416","E15000002","E24000024","E30000239","E16000039","E08000004","00BPGB","E00027522","00BPFS","E65000001","E01005434","E02001121","5","5A1","E00027522","E01005434","E02001121","E33002538","E38000135","E63008292","A1","3C1",53.539891,-2.112890,"E37000015","","E23000005",556,"E56000032","E54000057","E00027522","E01005434","E02001121"
