pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"OX1 1AA","OX1  1AA","OX1 1AA","201111","","E10000025","E58001257","E07000178","E05013111","E43000128","1","450673","0205980","1","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCFW","E00145306","38UCFW","E65000001","E01028522","E02005947","5","2A2","E00172573","E01028522","E02005947","E33039666","E38000136","E63011595","C1","2B2",51.750231,-1.267367,"E37000053","","E23000029",5004,"E56000034","E54000044","E00172573","E01028522","E02005947"
"OX1 1AB","OX1  1AB","OX1 1AB","198710","","E10000025","E58001257","E07000178","E05013111","E43000128","1","451261","0206074","1","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCFW","E00145303","38UCFW","E65000001","E01028521","E02005947","5","2A1","E00145303","E01028521","E02005947","E33038650","E38000136","E63011595","C1","2A1",51.751023,-1.258836,"E37000053","","E23000029",21643,"E56000034","E54000044","E00145303","E01028521","E02005947"
"OX1 1AD","OX1  1AD","OX1 1AD","200410","","E10000025","E58001257","E07000178","E05013111","E43000128","0","450271","0206882","1","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCGF","E00145445","38UCGF","E65000001","E01028551","E02005948","5","2B2","E00172585","E01028551","E02005948","E33043739","E38000136","E63011595","D1","2A1",51.758377,-1.273059,"E37000053","","E23000029",18117,"E56000034","E54000044","E00172585","E01028551","E02005948"
"OX1 1AE","OX1  1AE","OX1 1AE","200410","","E10000025","E58001257","E07000178","E05013111","E43000128","0","450295","0206912","1","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCGF","E00145445","38UCGF","E65000001","E01028551","E02005948","5","2B2","E00172585","E01028551","E02005948","E33043739","E38000136","E63011595","D1","2A1",51.758644,-1.272707,"E37000053","","E23000029",18117,"E56000034","E54000044","E00172585","E01028551","E02005948"
"OX1 1AF","OX1  1AF","OX1 1AF","200410","","E10000025","E58001257","E07000178","E05013111","E43000128","0","450267","0206920","1","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCGF","E00145445","38UCGF","E65000001","E01028551","E02005948","5","2B2","E00172585","E01028551","E02005948","E33043739","E38000136","E63011595","D1","2A1",51.758719,-1.273112,"E37000053","","E23000029",18117,"E56000034","E54000044","E00172585","E01028551","E02005948"
"OX1 1AG","OX1  1AG","OX1 1AG","200804","","E10000025","E58001257","E07000178","E05013111","E43000128","0","450310","0206718","1","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCGF","E00145445","38UCGF","E65000001","E01028551","E02005948","5","2B2","E00172587","E01028551","E02005948","E33043739","E38000136","E63011595","C1","2A3",51.756899,-1.272518,"E37000053","","E23000029",18117,"E56000034","E54000044","E00172587","E01028551","E02005948"
"OX1 1AH","OX1  1AH","OX1 1AH","199405","199812","E10000025","E58001257","E07000178","E05013111","E43000128","1","451079","0205939","6","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCFW","E00145307","38UCFW","E65000001","E01028522","E02005947","5","7A3","E00145307","E01028522","E02005947","E33043734","E38000136","E63011595","C1","3D3",51.749826,-1.261492,"E37000053","","E23000029",5004,"E56000034","E54000044","E00186021","E01028522","E02005947"
"OX1 1AJ","OX1  1AJ","OX1 1AJ","199501","199507","E10000025","E58001257","E07000178","E05013098","E43000128","1","450500","0207000","8","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCGF","E00145449","38UCGF","E65000001","E01028550","E02005948","5","2B2","E00145449","E01028550","E02005948","E33043740","E38000136","E63011595","C1","2A3",51.759417,-1.269725,"E37000053","","E23000029",19598,"E56000034","E54000044","E00145449","E01028550","E02005948"
"OX1 1AL","OX1  1AL","OX1 1AL","198704","199405","E10000025","E58001257","E07000178","E05013098","E43000128","1","450900","0206900","8","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCGK","E00145438","38UCGF","E65000001","E01028550","E02005948","5","2B2","E00145438","E01028550","E02005948","E33038672","E38000136","E63011595","C1","2A3",51.758482,-1.263944,"E37000053","","E23000029",19598,"E56000034","E54000044","E00145438","E01028550","E02005948"
"OX1 1AN","OX1  1AN","OX1 1AN","200904","","E10000025","E58001257","E07000178","E05013111","E43000128","0","451195","0205876","1","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCFW","E00145307","38UCFW","E65000001","E01028522","E02005947","5","7A3","E00145307","E01028522","E02005947","E33043734","E38000136","E63011595","C1","3D3",51.749254,-1.259803,"E37000053","","E23000029",5004,"E56000034","E54000044","E00186021","E01028522","E02005947"
"OX1 1AP","OX1  1AP","OX1 1AP","202103","202404","E10000025","E58001257","E07000178","E05013111","E43000128","1","450673","0205980","1","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCFW","E00145306","38UCFW","E65000001","E01028522","E02005947","5","2A2","E00172573","E01028522","E02005947","E33039666","E38000136","E63011595","C1","2B2",51.750236,-1.267348,"E37000053","","E23000029",5004,"E56000034","E54000044","E00172573","E01028522","E02005947"
"OX1 1AQ","OX1  1AQ","OX1 1AQ","198710","199405","E10000025","E58001256","E07000178","E05013106","E43000128","1","451400","0206100","8","E18000009","E40000005","E92000001","E12000008","5","E14001420","E15000008","E24000026","E30000250","E16000135","E07000178","38UCGD","E00145417","38UCGD","E65000001","E01028522","E02005947","5","2A1","E00145417","E01028522","E02005947","E33038667","E38000136","E63011595","C1","2A1",51.751244,-1.256819,"E37000053","","E23000029",5004,"E56000034","E54000044","E00145417","E01028522","E02005947"
