pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"PA1 1AA","PA1  1AA","PA1 1AA","199606","201706","S99999999","S99999999","S12000038","S13003079","S99999999","1","248409","0664174","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127635","S01012127","S02002274","S34000577","S03000020","S99999999","1","2C1",55.846878,-4.422800,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172828","S01019439","S02003598"
"PA1 1AB","PA1  1AB","PA1 1AB","199012","200301","S99999999","S99999999","S12000038","S13003079","S99999999","1","248283","0664167","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127635","S01012127","S02002274","S34004052","S03000020","S99999999","1","2C1",55.846776,-4.424806,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172828","S01019439","S02003598"
"PA1 1AD","PA1  1AD","PA1 1AD","199207","","S99999999","S99999999","S12000038","S13003079","S99999999","1","248679","0663848","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127636","S01012127","S02002274","S34004064","S03000020","S99999999","1","7B1",55.844032,-4.418295,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172896","S01019440","S02003598"
"PA1 1AE","PA1  1AE","PA1 1AE","199606","199706","S99999999","S99999999","S12000038","S13003079","S99999999","1","248706","0663923","8","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127636","S01012127","S02002274","S34004064","S03000020","S99999999","1","7B1",55.844718,-4.417921,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172896","S01019440","S02003598"
"PA1 1AF","PA1  1AF","PA1 1AF","199606","200901","S99999999","S99999999","S12000038","S13003079","S99999999","1","248683","0663825","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127636","S01012127","S02002274","S34004064","S03000020","S99999999","1","7B1",55.843832,-4.418233,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172896","S01019440","S02003598"
"PA1 1AG","PA1  1AG","PA1 1AG","200709","","S99999999","S99999999","S12000038","S13003079","S99999999","0","248156","0663878","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035684","26C11","S99999999","S01005249","S02001000","1","2A1","S00127633","S01012127","S02002274","S34004041","S03000020","S99999999","1","2B1",55.844142,-4.426671,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172921","S01019439","S02003598"
"PA1 1AH","PA1  1AH","PA1 1AH","199707","199801","S99999999","S99999999","S12000038","S13003079","S99999999","1","248523","0663815","8","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127636","S01012127","S02002274","S34004064","S03000020","S99999999","1","7B1",55.843692,-4.420780,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172978","S01019441","S02003598"
"PA1 1AJ","PA1  1AJ","PA1 1AJ","199906","201005","S99999999","S99999999","S12000038","S13003079","S99999999","1","248892","0663721","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127636","S01012127","S02002274","S34004064","S03000020","S99999999","1","7B1",55.842963,-4.414840,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172988","S01019438","S02003598"
"PA1 1AL","PA1  1AL","PA1 1AL","200801","","S99999999","S99999999","S12000038","S13003079","S99999999","1","248679","0663848","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127636","S01012127","S02002274","S34004064","S03000020","S99999999","1","7B1",55.844032,-4.418295,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172896","S01019440","S02003598"
"PA1 1AN","PA1  1AN","PA1 1AN","200801","","S99999999","S99999999","S12000038","S13003079","S99999999","1","248679","0663848","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127636","S01012127","S02002274","S34004064","S03000020","S99999999","1","7B1",55.844032,-4.418295,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172896","S01019440","S02003598"
"PA1 1AQ","PA1  1AQ","PA1 1AQ","200804","201205","S99999999","S99999999","S12000038","S13003078","S99999999","1","247448","0664378","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00036017","26C02","S99999999","S01005265","S02001003","1","2A1","S00128037","S01012069","S02002263","S34004073","S03000020","S99999999","1","7B3",55.848407,-4.438248,"S99999999","","S23000009",89,"S99999999","S99999999","S00172731","S01019377","S02003587"
"PA1 1AR","PA1  1AR","PA1 1AR","201301","","S99999999","S99999999","S12000038","S13003079","S99999999","1","248679","0663848","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127636","S01012127","S02002274","S34004064","S03000020","S99999999","1","7B1",55.844032,-4.418295,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172896","S01019440","S02003598"
"PA1 1AS","PA1  1AS","PA1 1AS","201609","","S99999999","S99999999","S12000038","S13003079","S99999999","0","248752","0663968","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127636","S01012127","S02002274","S34004064","S03000020","S99999999","1","7B1",55.845132,-4.417197,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172926","S01019440","S02003598"
"PA1 1AU","PA1  1AU","PA1 1AU","201204","","S99999999","S99999999","S12000038","S13003079","S99999999","0","248657","0663966","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035633","26C16","S99999999","S01005249","S02001000","1","2A1","S00127636","S01012127","S02002274","S34004064","S03000020","S99999999","1","7B1",55.845089,-4.418726,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172896","S01019440","S02003598"
"PA1 1AW","PA1  1AW","PA1 1AW","198710","201705","S99999999","S99999999","S12000038","S13003079","S99999999","1","248145","0663961","1","S08000031","S99999999","S92000003","S99999999","0","S14000102","S15000001","S09000006","S22000065","S03000020","S30000021","99ZZ00","S00035632","26C11","S99999999","S01005249","S02001000","1","2A1","S00127633","S01012127","S02002274","S34004041","S03000020","S99999999","1","2B1",55.844883,-4.426893,"S99999999","","S23000009",2124,"S99999999","S99999999","S00172921","S01019439","S02003598"
