pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"PL1 1AA","PL1  1AA","PL1 1AA","199101","200212","E99999999","E99999999","E06000026","E05002096","E43000021","1","247546","0055353","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNR","E00076662","00HGNR","E65000001","E01015169","E02003145","5","6C1","E00172066","E01015169","E02003145","E33047938","E38000230","E63014082","C1","2B2",50.378262,-4.145506,"E37000016","","E23000035",10426,"E56000014","E54000037","E00181100","E01015169","E02003145"
"PL1 1AB","PL1  1AB","PL1 1AB","199109","201707","E99999999","E99999999","E06000026","E05002094","E43000021","1","248020","0054514","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076562","00HGNP","E65000001","E01015154","E02003148","5","5B4","E00172056","E01032658","E02003148","E33047019","E38000230","E63014082","C1","3C1",50.370845,-4.138505,"E37000016","","E23000035",3793,"E56000014","E54000037","E00172056","E01032658","E02003148"
"PL1 1AE","PL1  1AE","PL1 1AE","201610","","E99999999","E99999999","E06000026","E05002094","E43000021","0","248005","0054543","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076562","00HGNP","E65000001","E01015154","E02003148","5","5B4","E00172056","E01032658","E02003148","E33047019","E38000230","E63014082","C1","3C1",50.371087,-4.138757,"E37000016","","E23000035",3793,"E56000014","E54000037","E00172056","E01032658","E02003148"
"PL1 1AJ","PL1  1AJ","PL1 1AJ","199612","199806","E99999999","E99999999","E06000026","E05002094","E43000021","1","247527","0054669","6","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076575","00HGNP","E65000001","E01015152","E02003148","5","5A1","E00076575","E01015152","E02003148","E33045809","E38000230","E63014082","C1","3C1",50.372110,-4.145496,"E37000016","","E23000035",1229,"E56000014","E54000037","E00181118","E01015152","E02003148"
"PL1 1AN","PL1  1AN","PL1 1AN","199002","199212","E99999999","E99999999","E06000026","E05002094","E43000021","1","247900","0054500","8","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076559","00HGNP","E65000001","E01015156","E02003148","5","2A1","E00076559","E01015156","E02003148","E33045793","E38000230","E63014082","C1","2B1",50.370688,-4.140186,"E37000016","","E23000035",5247,"E56000014","E54000037","E00076559","E01015156","E02003148"
"PL1 1AR","PL1  1AR","PL1 1AR","198704","","E99999999","E99999999","E06000026","E05002094","E43000021","1","247702","0054920","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076575","00HGNP","E65000001","E01015152","E02003148","5","5A1","E00076575","E01015152","E02003148","E33047952","E38000230","E63014082","C1","3C1",50.374411,-4.143138,"E37000016","","E23000035",1229,"E56000014","E54000037","E00181147","E01015152","E02003148"
"PL1 1AS","PL1  1AS","PL1 1AS","199301","","E99999999","E99999999","E06000026","E05002094","E43000021","0","246943","0054560","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076561","00HGNP","E65000001","E01015155","E02003150","5","5C2","E00076561","E01015155","E02003150","E33047973","E38000230","E63014082","C1","7B1",50.370979,-4.153658,"E37000016","","E23000035",163,"E56000014","E54000037","E00076561","E01015155","E02006990"
"PL1 1AT","PL1  1AT","PL1 1AT","199002","200602","E99999999","E99999999","E06000026","E05002094","E43000021","0","248112","0054609","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076562","00HGNP","E65000001","E01015154","E02003148","5","5B4","E00172056","E01032658","E02003148","E33047021","E38000230","E63014082","C1","3C1",50.371722,-4.137251,"E37000016","","E23000035",3793,"E56000014","E54000037","E00172056","E01032658","E02003148"
"PL1 1AU","PL1  1AU","PL1 1AU","198402","200602","E99999999","E99999999","E06000026","E05002092","E43000021","1","250426","0053731","1","E18000010","E40000006","E92000001","E12000009","6","E14001495","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNM","E00076470","00HGNM","E65000001","E01015136","E02003152","5","4D2","E00076470","E01015136","E02003152","E33045791","E38000230","E63014082","C1","6B4",50.364425,-4.104385,"E37000016","","E23000035",22279,"E56000014","E54000037","E00076470","E01015136","E02003152"
"PL1 1AX","PL1  1AX","PL1 1AX","199507","200507","E99999999","E99999999","E06000026","E05002096","E43000021","1","247546","0055353","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNR","E00076662","00HGNR","E65000001","E01015169","E02003145","5","6C1","E00172066","E01015169","E02003145","E33047938","E38000230","E63014082","C1","2B2",50.378262,-4.145506,"E37000016","","E23000035",10426,"E56000014","E54000037","E00181100","E01015169","E02003145"
"PL1 1BA","PL1  1BA","PL1 1BA","198001","","E99999999","E99999999","E06000026","E05002094","E43000021","0","247925","0054738","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076575","00HGNP","E65000001","E01015152","E02003148","5","5A1","E00076575","E01015152","E02003148","E33045810","E38000230","E63014082","C1","3C1",50.372833,-4.139931,"E37000016","","E23000035",1229,"E56000014","E54000037","E00181147","E01015152","E02003148"
"PL1 1BB","PL1  1BB","PL1 1BB","198001","200201","E99999999","E99999999","E06000026","E05002094","E43000021","0","247968","0054672","3","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076559","00HGNP","E65000001","E01015156","E02003148","5","2A1","E00076559","E01015156","E02003148","E33045797","E38000230","E63014082","C1","2B1",50.372251,-4.139300,"E37000016","","E23000035",5247,"E56000014","E54000037","E00076559","E01015156","E02003148"
"PL1 1BD","PL1  1BD","PL1 1BD","198001","199112","E99999999","E99999999","E06000026","E05002094","E43000021","0","248100","0054600","8","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076562","00HGNP","E65000001","E01015154","E02003148","5","5B4","E00172056","E01032658","E02003148","E33047021","E38000230","E63014082","C1","3C1",50.371638,-4.137416,"E37000016","","E23000035",3793,"E56000014","E54000037","E00172056","E01032658","E02003148"
"PL1 1BE","PL1  1BE","PL1 1BE","198001","200602","E99999999","E99999999","E06000026","E05002094","E43000021","0","248067","0054633","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076562","00HGNP","E65000001","E01015154","E02003148","5","5B4","E00172056","E01032658","E02003148","E33047020","E38000230","E63014082","C1","3C1",50.371926,-4.137893,"E37000016","","E23000035",3793,"E56000014","E54000037","E00172056","E01032658","E02003148"
"PL1 1BG","PL1  1BG","PL1 1BG","200006","201902","E99999999","E99999999","E06000026","E05002092","E43000021","1","250353","0053862","1","E18000010","E40000006","E92000001","E12000009","6","E14001495","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNM","E00076458","00HGNM","E65000001","E01015135","E02003152","5","6A1","E00076458","E01015135","E02003152","E33045789","E38000230","E63014082","C1","5A1",50.365584,-4.105463,"E37000016","","E23000035",11559,"E56000014","E54000037","E00181166","E01034157","E02003152"
"PL1 1BH","PL1  1BH","PL1 1BH","198001","200602","E99999999","E99999999","E06000026","E05002094","E43000021","1","248042","0054628","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076562","00HGNP","E65000001","E01015154","E02003148","5","5B4","E00172056","E01032658","E02003148","E33047022","E38000230","E63014082","C1","3C1",50.371875,-4.138242,"E37000016","","E23000035",3793,"E56000014","E54000037","E00172056","E01032658","E02003148"
"PL1 1BJ","PL1  1BJ","PL1 1BJ","198001","199112","E99999999","E99999999","E06000026","E05002094","E43000021","1","248100","0054600","8","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076562","00HGNP","E65000001","E01015154","E02003148","5","5B4","E00172056","E01032658","E02003148","E33047021","E38000230","E63014082","C1","3C1",50.371638,-4.137416,"E37000016","","E23000035",3793,"E56000014","E54000037","E00172056","E01032658","E02003148"
"PL1 1BL","PL1  1BL","PL1 1BL","198001","200204","E99999999","E99999999","E06000026","E05002094","E43000021","1","247992","0054728","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076562","00HGNP","E65000001","E01015154","E02003148","5","5B4","E00172056","E01032658","E02003148","E33047020","E38000230","E63014082","C1","3C1",50.372761,-4.138985,"E37000016","","E23000035",3793,"E56000014","E54000037","E00172056","E01032658","E02003148"
"PL1 1BN","PL1  1BN","PL1 1BN","198001","200602","E99999999","E99999999","E06000026","E05002094","E43000021","0","248050","0054711","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076562","00HGNP","E65000001","E01015154","E02003148","5","5B4","E00172056","E01032658","E02003148","E33047020","E38000230","E63014082","C1","3C1",50.372623,-4.138163,"E37000016","","E23000035",3793,"E56000014","E54000037","E00172056","E01032658","E02003148"
"PL1 1BP","PL1  1BP","PL1 1BP","198001","200401","E99999999","E99999999","E06000026","E05002094","E43000021","1","248050","0054711","1","E18000010","E40000006","E92000001","E12000009","6","E14001427","E15000009","E24000032","E30000253","E16000024","E06000026","00HGNP","E00076562","00HGNP","E65000001","E01015154","E02003148","5","5B4","E00172056","E01032658","E02003148","E33047020","E38000230","E63014082","C1","3C1",50.372623,-4.138163,"E37000016","","E23000035",3793,"E56000014","E54000037","E00172056","E01032658","E02003148"
