pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"PR0 2AA","PR0  2AA","PR0 2AA","201409","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","5","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2AD","PR0  2AD","PR0 2AD","201302","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","5","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2AE","PR0  2AE","PR0 2AE","201302","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","5","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2AF","PR0  2AF","PR0 2AF","201302","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","5","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2AG","PR0  2AG","PR0 2AG","201304","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","5","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2AH","PR0  2AH","PR0 2AH","201304","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","5","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2AJ","PR0  2AJ","PR0 2AJ","201406","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","5","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2AL","PR0  2AL","PR0 2AL","202304","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","6","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758821,-2.683904,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2AN","PR0  2AN","PR0 2AN","202304","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","6","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758821,-2.683904,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2AP","PR0  2AP","PR0 2AP","200705","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","5","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2AQ","PR0  2AQ","PR0 2AQ","202307","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","6","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758821,-2.683904,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2BP","PR0  2BP","PR0 2BP","199906","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","1","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2EG","PR0  2EG","PR0 2EG","200106","201105","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","1","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2EJ","PR0  2EJ","PR0 2EJ","200606","200607","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","1","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2GP","PR0  2GP","PR0 2GP","201011","","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","1","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2LP","PR0  2LP","PR0 2LP","199501","200607","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","1","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
"PR0 2NP","PR0  2NP","PR0 2NP","200106","200607","E10000017","E58000810","E07000123","E05012198","E43000225","1","355008","0429378","1","E18000002","E40000010","E92000001","E12000002","8","E14001433","E15000002","E24000022","E30000255","E16000088","E07000123","30UKGB","E00128159","30UKGB","E65000001","E01025247","E02005268","5","7A2","E00128159","E01025247","E02005268","E33008553","E38000227","E63007926","C1","4B1",53.758805,-2.683907,"E37000019","","E23000003",4357,"E56000018","E54000048","E00128159","E01025247","E02005268"
