pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"RH1 1AA","RH1  1AA","RH1 1AA","199002","","E10000030","E58001516","E07000211","E05012882","E43000140","1","528212","0150643","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156117","43UFGG","E65000001","E01030612","E02006385","5","2A1","E00156117","E01030612","E02006385","E33038958","E38000264","E63012708","C1","2D1",51.240567,-0.164682,"E37000044","","E23000031",24689,"E56000012","E54000063","E00190487","E01035358","E02006385"
"RH1 1AB","RH1  1AB","RH1 1AB","198001","201303","E10000030","E58001517","E07000211","E05012883","E43000140","1","527872","0150506","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGH","E00156147","43UFGH","E65000001","E01030615","E02006384","5","7B1","E00156147","E01030615","E02006384","E33038969","E38000264","E63012708","C1","3A2",51.239412,-0.169599,"E37000044","","E23000031",12706,"E56000012","E54000063","E00190508","E01030615","E02006384"
"RH1 1AD","RH1  1AD","RH1 1AD","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528367","0150863","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156108","43UFGG","E65000001","E01030612","E02006385","5","2A1","E00156108","E01030612","E02006385","E33044383","E38000264","E63012708","C1","2D1",51.242509,-0.162384,"E37000044","","E23000031",24689,"E56000012","E54000063","E00156108","E01035358","E02006385"
"RH1 1AE","RH1  1AE","RH1 1AE","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528389","0150815","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156117","43UFGG","E65000001","E01030612","E02006385","5","2A1","E00156117","E01030612","E02006385","E33038958","E38000264","E63012708","C1","2D1",51.242071,-0.162060,"E37000044","","E23000031",24689,"E56000012","E54000063","E00190487","E01035358","E02006385"
"RH1 1AF","RH1  1AF","RH1 1AF","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528537","0151096","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156109","43UFGG","E65000001","E01030612","E02006385","5","6D1","E00170407","E01030612","E02006385","E33044384","E38000264","E63012708","C1","5A3",51.244565,-0.159866,"E37000044","","E23000031",24689,"E56000012","E54000063","E00170407","E01035357","E02006385"
"RH1 1AG","RH1  1AG","RH1 1AG","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528506","0151050","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156109","43UFGG","E65000001","E01030612","E02006385","5","6D1","E00170407","E01030612","E02006385","E33044384","E38000264","E63012708","C1","5A3",51.244159,-0.160327,"E37000044","","E23000031",24689,"E56000012","E54000063","E00170407","E01035357","E02006385"
"RH1 1AH","RH1  1AH","RH1 1AH","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528541","0151027","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156109","43UFGG","E65000001","E01030612","E02006385","5","6D1","E00170407","E01030612","E02006385","E33044384","E38000264","E63012708","C1","5A3",51.243944,-0.159834,"E37000044","","E23000031",24689,"E56000012","E54000063","E00170407","E01035357","E02006385"
"RH1 1AJ","RH1  1AJ","RH1 1AJ","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528573","0150979","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156133","43UFGG","E65000001","E01030612","E02006385","5","2B2","E00156133","E01030612","E02006385","E33044384","E38000264","E63012708","C1","2D1",51.243506,-0.159393,"E37000044","","E23000031",24689,"E56000012","E54000063","E00156133","E01035357","E02006385"
"RH1 1AL","RH1  1AL","RH1 1AL","199201","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528685","0151009","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156133","43UFGG","E65000001","E01030612","E02006385","5","2B2","E00156133","E01030612","E02006385","E33044384","E38000264","E63012708","C1","2D1",51.243750,-0.157778,"E37000044","","E23000031",24689,"E56000012","E54000063","E00156133","E01035357","E02006385"
"RH1 1AN","RH1  1AN","RH1 1AN","199208","","E10000030","E58001516","E07000211","E05012882","E43000140","0","528372","0150779","1","E18000008","E40000005","E92000001","E12000008","5","E14001442","E15000008","E24000029","E30000196","E16000107","E07000211","43UFGG","E00156117","43UFGG","E65000001","E01030612","E02006385","5","2A1","E00156117","E01030612","E02006385","E33038958","E38000264","E63012708","C1","2D1",51.241753,-0.162342,"E37000044","","E23000031",24689,"E56000012","E54000063","E00190487","E01035358","E02006385"
