pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"SA1 1AA","SA1  1AA","SA1 1AA","199002","","W99999999","W99999999","W06000011","W05001052","W04000969","1","267010","0196107","1","W11000031","W99999999","W92000004","W99999999","9","W07000103","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNX","W00003974","00NXNX","W31000001","W01000741","W02000181","5","1C3","W00003974","W01000741","W02000181","W35000290","W11000031","W45001113","C1","8A1",51.647984,-3.923586,"W99999999","","W15000003",355,"W99999999","W99999999","W00010420","W01000741","W02000181"
"SA1 1AB","SA1  1AB","SA1 1AB","198001","199012","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618878,-3.939834,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192"
"SA1 1AD","SA1  1AD","SA1 1AD","202310","","W99999999","W99999999","W06000011","W05001041","W04001033","0","265745","0193703","1","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003981","00NXNY","W31000001","W01000743","W02000192","5","2A2","W00003981","W01001955","W02000192","W35000292","W11000031","W45001113","C1","3C1",51.626085,-3.940954,"W99999999","","W15000003",36,"W99999999","W99999999","W00003981","W01001955","W02000192"
"SA1 1AE","SA1  1AE","SA1 1AE","199301","199507","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618878,-3.939834,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192"
"SA1 1AF","SA1  1AF","SA1 1AF","200206","","W99999999","W99999999","W06000011","W05001041","W04001033","1","265831","0192998","1","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00004024","00NXNY","W31000001","W01000743","W02000192","5","2A2","W00010090","W01001955","W02000192","W35000758","W11000031","W45001113","C1","2B1",51.619766,-3.939424,"W99999999","","W15000003",36,"W99999999","W99999999","W00010090","W01001955","W02000192"
"SA1 1AG","SA1  1AG","SA1 1AG","199002","200408","W99999999","W99999999","W06000011","W05001052","W04000969","1","266979","0196105","1","W11000031","W99999999","W92000004","W99999999","9","W07000103","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNX","W00003974","00NXNX","W31000001","W01000741","W02000181","5","1C3","W00003974","W01000741","W02000181","W35000290","W11000031","W45001113","C1","8A1",51.647959,-3.924033,"W99999999","","W15000003",355,"W99999999","W99999999","W00010420","W01000741","W02000181"
"SA1 1AH","SA1  1AH","SA1 1AH","199002","201107","W99999999","W99999999","W06000011","W05001052","W04000969","1","266979","0196105","1","W11000031","W99999999","W92000004","W99999999","9","W07000103","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNX","W00003974","00NXNX","W31000001","W01000741","W02000181","5","1C3","W00003974","W01000741","W02000181","W35000290","W11000031","W45001113","C1","8A1",51.647959,-3.924033,"W99999999","","W15000003",355,"W99999999","W99999999","W00010420","W01000741","W02000181"
"SA1 1AJ","SA1  1AJ","SA1 1AJ","199007","199405","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618878,-3.939834,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192"
"SA1 1AL","SA1  1AL","SA1 1AL","199007","199501","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618878,-3.939834,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192"
"SA1 1AN","SA1  1AN","SA1 1AN","199002","199405","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618878,-3.939834,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192"
"SA1 1AP","SA1  1AP","SA1 1AP","199301","199405","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618878,-3.939834,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192"
"SA1 1AQ","SA1  1AQ","SA1 1AQ","199002","199412","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618878,-3.939834,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192"
"SA1 1AR","SA1  1AR","SA1 1AR","199301","199507","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618878,-3.939834,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192"
"SA1 1AS","SA1  1AS","SA1 1AS","199002","199501","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618878,-3.939834,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192"
"SA1 1AT","SA1  1AT","SA1 1AT","199301","199405","W99999999","W99999999","W06000011","W05001041","W04001033","1","265800","0192900","8","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003990","00NXNY","W31000001","W01000748","W02000192","5","2A1","W00003990","W01001938","W02000192","W35000293","W11000031","W45001113","C1","2C2",51.618878,-3.939834,"W99999999","","W15000003",1105,"W99999999","W99999999","W00003990","W01001997","W02000192"
"SA1 1AU","SA1  1AU","SA1 1AU","201803","","W99999999","W99999999","W06000011","W05001068","W04001036","0","266166","0192573","1","W11000031","W99999999","W92000004","W99999999","9","W07000108","W08000001","W16000002","W22000032","W11000031","W06000011","00NXNY","W00003994","00NXNY","W31000001","W01000743","W02000192","5","2A1","W00010097","W01001958","W02000192","W35001757","W11000031","W45001113","C1","2C2",51.616031,-3.934443,"W99999999","","W15000003",1034,"W99999999","W99999999","W00010097","W01001958","W02000192"
