pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"SE1 0AA","SE1  0AA","SE1 0AA","199002","","E99999999","E99999999","E09000028","E05011114","E43000218","1","531860","0179460","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019801","00BEGE","E65000001","E01003932","E02000811","5","7B2","E00019801","E01003932","E02006802","E33030580","E38000244","E63012110","A1","3B3",51.498708,-0.101772,"E37000051","","E23000001",4581,"E56000010","E54000030","E00019801","E01003932","E02006802"
"SE1 0AB","SE1  0AB","SE1 0AB","199412","","E99999999","E99999999","E09000028","E05011095","E43000218","0","532281","0180064","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019783","00BEGE","E65000001","E01003929","E02000808","5","7B2","E00019783","E01003929","E02000808","E33030567","E38000244","E63012110","A1","3D3",51.504039,-0.095459,"E37000051","","E23000001",12077,"E56000010","E54000030","E00019783","E01003929","E02000808"
"SE1 0AD","SE1  0AD","SE1 0AD","200309","","E99999999","E99999999","E09000028","E05011114","E43000218","0","531910","0179557","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019801","00BEGE","E65000001","E01003932","E02000811","5","7B2","E00019801","E01003932","E02006802","E33030580","E38000244","E63012110","A1","3B3",51.499568,-0.101016,"E37000051","","E23000001",4581,"E56000010","E54000030","E00019801","E01003932","E02006802"
"SE1 0AE","SE1  0AE","SE1 0AE","198001","","E99999999","E99999999","E09000028","E05011114","E43000218","0","531698","0179441","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019799","00BEGE","E65000001","E01003930","E02000811","5","2A2","E00167482","E01003930","E02006802","E33036897","E38000244","E63012110","A1","2B2",51.498575,-0.104112,"E37000051","","E23000001",8533,"E56000010","E54000030","E00167482","E01003930","E02006802"
"SE1 0AF","SE1  0AF","SE1 0AF","198001","199507","E99999999","E99999999","E09000028","E05011114","E43000218","1","531700","0179400","8","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019799","00BEGE","E65000001","E01003930","E02000811","5","2A2","E00167482","E01003930","E02006802","E33036897","E38000244","E63012110","A1","2B2",51.498206,-0.104098,"E37000051","","E23000001",8533,"E56000010","E54000030","E00167482","E01003930","E02006802"
"SE1 0AG","SE1  0AG","SE1 0AG","198001","","E99999999","E99999999","E09000028","E05011114","E43000218","0","531819","0179526","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019803","00BEGE","E65000001","E01003930","E02000811","5","7B2","E00019803","E01003930","E02006802","E33036897","E38000244","E63012110","A1","3B3",51.499312,-0.102313,"E37000051","","E23000001",8533,"E56000010","E54000030","E00177633","E01003930","E02006802"
"SE1 0AH","SE1  0AH","SE1 0AH","198001","","E99999999","E99999999","E09000028","E05011114","E43000218","0","531808","0179495","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019803","00BEGE","E65000001","E01003930","E02000811","5","7B2","E00019803","E01003930","E02006802","E33036897","E38000244","E63012110","A1","3B3",51.499034,-0.102508,"E37000051","","E23000001",8533,"E56000010","E54000030","E00177633","E01003930","E02006802"
"SE1 0AJ","SE1  0AJ","SE1 0AJ","198001","","E99999999","E99999999","E09000028","E05011114","E43000218","0","531954","0179515","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019801","00BEGE","E65000001","E01003932","E02000811","5","7B2","E00019801","E01003932","E02006802","E33030580","E38000244","E63012110","A1","3B3",51.499180,-0.100399,"E37000051","","E23000001",4581,"E56000010","E54000030","E00019801","E01003932","E02006802"
"SE1 0AL","SE1  0AL","SE1 0AL","200012","","E99999999","E99999999","E09000028","E05011095","E43000218","0","532236","0180143","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019783","00BEGE","E65000001","E01003929","E02000808","5","7B2","E00019783","E01003929","E02000808","E33030569","E38000244","E63012110","A1","3D3",51.504758,-0.096103,"E37000051","","E23000001",12077,"E56000010","E54000030","E00019783","E01003929","E02000808"
"SE1 0AN","SE1  0AN","SE1 0AN","198001","","E99999999","E99999999","E09000028","E05011114","E43000218","0","531738","0179494","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019803","00BEGE","E65000001","E01003930","E02000811","5","7B2","E00019803","E01003930","E02006802","E33036897","E38000244","E63012110","A1","3B3",51.499042,-0.103516,"E37000051","","E23000001",8533,"E56000010","E54000030","E00177633","E01003930","E02006802"
"SE1 0AP","SE1  0AP","SE1 0AP","199512","","E99999999","E99999999","E09000028","E05011114","E43000218","0","531619","0179482","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019799","00BEGE","E65000001","E01003930","E02000811","5","2A2","E00167482","E01003930","E02006802","E33036897","E38000244","E63012110","A1","2B2",51.498961,-0.105234,"E37000051","","E23000001",8533,"E56000010","E54000030","E00167482","E01003930","E02006802"
"SE1 0AQ","SE1  0AQ","SE1 0AQ","198001","","E99999999","E99999999","E09000028","E05011114","E43000218","0","531833","0179523","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019801","00BEGE","E65000001","E01003932","E02000811","5","7B2","E00019801","E01003932","E02006802","E33030580","E38000244","E63012110","A1","3B3",51.499280,-0.102138,"E37000051","","E23000001",4581,"E56000010","E54000030","E00019801","E01003932","E02006802"
"SE1 0AR","SE1  0AR","SE1 0AR","198001","","E99999999","E99999999","E09000028","E05011095","E43000218","0","532246","0180063","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019783","00BEGE","E65000001","E01003929","E02000808","5","7B2","E00019783","E01003929","E02000808","E33030568","E38000244","E63012110","A1","3D3",51.504038,-0.095963,"E37000051","","E23000001",12077,"E56000010","E54000030","E00019783","E01003929","E02000808"
"SE1 0AS","SE1  0AS","SE1 0AS","198001","","E99999999","E99999999","E09000028","E05011095","E43000218","0","532238","0179993","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019776","00BEGE","E65000001","E01003929","E02000808","5","7B2","E00167494","E01003929","E02000808","E33031699","E38000244","E63012110","A1","3B3",51.503409,-0.096130,"E37000051","","E23000001",12077,"E56000010","E54000030","E00167494","E01003929","E02000808"
"SE1 0AT","SE1  0AT","SE1 0AT","200210","","E99999999","E99999999","E09000028","E05011095","E43000218","0","532230","0180009","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019776","00BEGE","E65000001","E01003929","E02000808","5","7B2","E00167494","E01003929","E02000808","E33031699","E38000244","E63012110","A1","3B3",51.503555,-0.096240,"E37000051","","E23000001",12077,"E56000010","E54000030","E00167494","E01003929","E02000808"
"SE1 0AU","SE1  0AU","SE1 0AU","198001","199212","E99999999","E99999999","E09000028","E05011095","E43000218","1","532200","0180000","8","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019783","00BEGE","E65000001","E01003929","E02000808","5","7B2","E00019783","E01003929","E02000808","E33030568","E38000244","E63012110","A1","3D3",51.503481,-0.096675,"E37000051","","E23000001",12077,"E56000010","E54000030","E00019783","E01003929","E02000808"
"SE1 0AW","SE1  0AW","SE1 0AW","198001","199405","E99999999","E99999999","E09000028","E05011095","E43000218","1","532200","0179900","8","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019784","00BEGE","E65000001","E01003927","E02000808","5","7B1","E00019784","E01003927","E02000808","E33030570","E38000244","E63012110","A1","2D3",51.502582,-0.096712,"E37000051","","E23000001",17545,"E56000010","E54000030","E00019784","E01033867","E02000808"
"SE1 0AX","SE1  0AX","SE1 0AX","198001","","E99999999","E99999999","E09000028","E05011095","E43000218","0","532265","0179944","1","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019776","00BEGE","E65000001","E01003929","E02000808","5","7B2","E00167494","E01003929","E02000808","E33031699","E38000244","E63012110","A1","3B3",51.502964,-0.095734,"E37000051","","E23000001",12077,"E56000010","E54000030","E00167494","E01003929","E02000808"
"SE1 0AY","SE1  0AY","SE1 0AY","198001","199405","E99999999","E99999999","E09000028","E05011095","E43000218","1","532200","0180000","8","E18000007","E40000003","E92000001","E12000007","5","E14001085","E15000007","E24000014","E30000234","E16000059","E09000028","00BEGE","E00019783","00BEGE","E65000001","E01003929","E02000808","5","7B2","E00019783","E01003929","E02000808","E33030568","E38000244","E63012110","A1","3D3",51.503481,-0.096675,"E37000051","","E23000001",12077,"E56000010","E54000030","E00019783","E01003929","E02000808"
