pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"SG1 1AA","SG1  1AA","SG1 1AA","199101","","E10000015","E58000611","E07000243","E05015632","E43000080","1","523746","0223474","1","E18000006","E40000007","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFZ","E00120776","26UHFZ","E65000001","E01023786","E02004954","5","2B2","E00120776","E01023786","E02004954","E33024368","E38000049","E63011231","C1","4A2",51.896084,-0.203001,"E37000048","","E23000027",15656,"E56000035","E54000025","E00120776","E01023786","E02004954"
"SG1 1AB","SG1  1AB","SG1 1AB","200905","","E10000015","E58000603","E07000243","E05015626","E43000080","0","524372","0224119","1","E18000006","E40000007","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120639","26UHFR","E65000001","E01023757","E02004951","5","1B1","E00120639","E01023757","E02004951","E33027507","E38000049","E63011231","C1","4A1",51.901741,-0.193676,"E37000048","","E23000027",9411,"E56000035","E54000025","E00120639","E01023757","E02004951"
"SG1 1AD","SG1  1AD","SG1 1AD","198803","199708","E10000015","E58000611","E07000243","E05015631","E43000080","1","523700","0224000","8","E18000006","E40000007","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120640","26UHFR","E65000001","E01023758","E02004951","5","2B1","E00120640","E01023758","E02004951","E33024361","E38000049","E63011231","C1","3C1",51.900821,-0.203481,"E37000048","","E23000027",3929,"E56000035","E54000025","E00189375","E01035570","E02004951"
"SG1 1AE","SG1  1AE","SG1 1AE","199501","201509","E10000015","E58000611","E07000243","E05015632","E43000080","1","523704","0223575","1","E18000006","E40000007","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFZ","E00120776","26UHFZ","E65000001","E01023786","E02004954","5","2B2","E00120776","E01023786","E02004954","E33024366","E38000049","E63011231","C1","4A2",51.897001,-0.203575,"E37000048","","E23000027",15656,"E56000035","E54000025","E00120776","E01023786","E02004954"
"SG1 1AF","SG1  1AF","SG1 1AF","199301","","E10000015","E58000611","E07000243","E05015631","E43000080","0","523670","0224210","1","E18000006","E40000007","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120640","26UHFR","E65000001","E01023758","E02004951","5","2B1","E00120640","E01023758","E02004951","E33024351","E38000049","E63011231","C1","3C1",51.902715,-0.203841,"E37000048","","E23000027",3929,"E56000035","E54000025","E00189424","E01035570","E02004951"
"SG1 1AG","SG1  1AG","SG1 1AG","200206","201910","E10000015","E58000653","E07000243","E05015631","E43000080","0","523329","0224563","1","E18000006","E40000007","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFX","E00120749","26UHFX","E65000001","E01023776","E02004945","5","4D2","E00169691","E01023776","E02004945","E33027491","E38000049","E63011231","C1","2C1",51.905963,-0.208669,"E37000048","","E23000027",22568,"E56000035","E54000025","E00169691","E01023776","E02004945"
"SG1 1AH","SG1  1AH","SG1 1AH","200301","200909","E10000015","E58000653","E07000243","E05015631","E43000080","1","523329","0224563","1","E18000006","E40000007","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFX","E00120749","26UHFX","E65000001","E01023776","E02004945","5","4D2","E00169691","E01023776","E02004945","E33027491","E38000049","E63011231","C1","2C1",51.905963,-0.208669,"E37000048","","E23000027",22568,"E56000035","E54000025","E00169691","E01023776","E02004945"
"SG1 1AJ","SG1  1AJ","SG1 1AJ","199512","199606","E10000015","E58000611","E07000243","E05015631","E43000080","1","523700","0224000","8","E18000006","E40000007","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120640","26UHFR","E65000001","E01023758","E02004951","5","2B1","E00120640","E01023758","E02004951","E33024361","E38000049","E63011231","C1","3C1",51.900821,-0.203481,"E37000048","","E23000027",3929,"E56000035","E54000025","E00189375","E01035570","E02004951"
"SG1 1AL","SG1  1AL","SG1 1AL","200012","201512","E10000015","E58000653","E07000243","E05015631","E43000080","1","523329","0224563","1","E18000006","E40000007","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFX","E00120749","26UHFX","E65000001","E01023776","E02004945","5","4D2","E00169691","E01023776","E02004945","E33027491","E38000049","E63011231","C1","2C1",51.905963,-0.208669,"E37000048","","E23000027",22568,"E56000035","E54000025","E00169691","E01023776","E02004945"
"SG1 1AN","SG1  1AN","SG1 1AN","199308","199906","E10000015","E58000603","E07000243","E05015626","E43000080","1","524397","0224047","6","E18000006","E40000007","E92000001","E12000006","5","E14001516","E15000006","E24000005","E30000272","E16000150","E07000243","26UHFR","E00120639","26UHFR","E65000001","E01023757","E02004951","5","1B1","E00120639","E01023757","E02004951","E33027507","E38000049","E63011231","C1","4A1",51.901089,-0.193339,"E37000048","","E23000027",9411,"E56000035","E54000025","E00120639","E01023757","E02004951"
