pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"SK1 1AA","SK1  1AA","SK1 1AA","199002","201903","E99999999","E99999999","E08000007","E05015018","E43000161","1","389357","0390095","1","E18000002","E40000010","E92000001","E12000002","8","E14001517","E15000002","E24000024","E30000239","E16000026","E08000007","00BSGC","E00029487","00BSFJ","E65000001","E01005822","E02001202","5","2B1","E00029487","E01005822","E02001202","E33002704","E38000174","E63008478","A1","7A2",53.407561,-2.161562,"E37000015","","E23000005",1045,"E56000032","E54000057","E00029487","E01005822","E02001202"
"SK1 1AB","SK1  1AB","SK1 1AB","199706","201902","E99999999","E99999999","E08000007","E05015018","E43000161","1","389357","0390095","1","E18000002","E40000010","E92000001","E12000002","8","E14001517","E15000002","E24000024","E30000239","E16000026","E08000007","00BSGC","E00029487","00BSFJ","E65000001","E01005822","E02001202","5","2B1","E00029487","E01005822","E02001202","E33002704","E38000174","E63008478","A1","7A2",53.407561,-2.161562,"E37000015","","E23000005",1045,"E56000032","E54000057","E00029487","E01005822","E02001202"
"SK1 1AD","SK1  1AD","SK1 1AD","198803","199501","E99999999","E99999999","E08000007","E05015018","E43000161","1","389500","0390200","8","E18000002","E40000010","E92000001","E12000002","8","E14001517","E15000002","E24000024","E30000239","E16000026","E08000007","00BSGC","E00029152","00BSFB","E65000001","E01005758","E02001200","5","5C3","E00029152","E01005758","E02001200","E33002672","E38000174","E63008478","A1","7A2",53.408508,-2.159414,"E37000015","","E23000005",193,"E56000032","E54000057","E00177732","E01033948","E02001200"
"SK1 1AE","SK1  1AE","SK1 1AE","199412","200006","E99999999","E99999999","E08000007","E05015018","E43000161","1","389558","0390455","6","E18000002","E40000010","E92000001","E12000002","8","E14001517","E15000002","E24000024","E30000239","E16000026","E08000007","00BSGC","E00029152","00BSFB","E65000001","E01005758","E02001200","5","5C3","E00029152","E01005758","E02001200","E33002670","E38000174","E63008478","A1","7A2",53.410801,-2.158550,"E37000015","","E23000005",193,"E56000032","E54000057","E00177725","E01033947","E02001200"
"SK1 1AF","SK1  1AF","SK1 1AF","199412","199812","E99999999","E99999999","E08000007","E05015018","E43000161","1","389558","0390455","6","E18000002","E40000010","E92000001","E12000002","8","E14001517","E15000002","E24000024","E30000239","E16000026","E08000007","00BSGC","E00029152","00BSFB","E65000001","E01005758","E02001200","5","5C3","E00029152","E01005758","E02001200","E33002670","E38000174","E63008478","A1","7A2",53.410801,-2.158550,"E37000015","","E23000005",193,"E56000032","E54000057","E00177725","E01033947","E02001200"
"SK1 1AL","SK1  1AL","SK1 1AL","200709","","E99999999","E99999999","E08000007","E05015018","E43000161","0","389430","0390344","1","E18000002","E40000010","E92000001","E12000002","8","E14001517","E15000002","E24000024","E30000239","E16000026","E08000007","00BSGC","E00029152","00BSFB","E65000001","E01005758","E02001200","5","5C3","E00029152","E01005758","E02001200","E33002661","E38000174","E63008478","A1","7A2",53.409801,-2.160472,"E37000015","","E23000005",193,"E56000032","E54000057","E00177725","E01033947","E02001200"
"SK1 1AN","SK1  1AN","SK1 1AN","201404","201504","E99999999","E99999999","E08000007","E05015018","E43000161","0","389519","0390490","1","E18000002","E40000010","E92000001","E12000002","8","E14001517","E15000002","E24000024","E30000239","E16000026","E08000007","00BSGC","E00029152","00BSFB","E65000001","E01005758","E02001200","5","5C3","E00029152","E01005758","E02001200","E33002673","E38000174","E63008478","A1","7A2",53.411115,-2.159138,"E37000015","","E23000005",193,"E56000032","E54000057","E00177725","E01033947","E02001200"
"SK1 1AP","SK1  1AP","SK1 1AP","201505","","E99999999","E99999999","E08000007","E05015018","E43000161","0","389988","0390226","1","E18000002","E40000010","E92000001","E12000002","8","E14001517","E15000002","E24000024","E30000239","E16000026","E08000007","00BSGC","E00029158","00BSFB","E65000001","E01005758","E02001200","5","5C3","E00029158","E01005758","E02001200","E33002676","E38000174","E63008478","A1","7A2",53.408751,-2.152074,"E37000015","","E23000005",193,"E56000032","E54000057","E00029158","E01033947","E02001200"
"SK1 1AQ","SK1  1AQ","SK1 1AQ","201412","","E99999999","E99999999","E08000007","E05015018","E43000161","0","389717","0390398","1","E18000002","E40000010","E92000001","E12000002","8","E14001517","E15000002","E24000024","E30000239","E16000026","E08000007","00BSGC","E00029152","00BSFB","E65000001","E01005758","E02001200","5","5C3","E00029152","E01005758","E02001200","E33002658","E38000174","E63008478","A1","7A2",53.410292,-2.156156,"E37000015","","E23000005",193,"E56000032","E54000057","E00177705","E01033947","E02001200"
"SK1 1AR","SK1  1AR","SK1 1AR","201809","","E99999999","E99999999","E08000007","E05015018","E43000161","0","389652","0390499","1","E18000002","E40000010","E92000001","E12000002","8","E14001517","E15000002","E24000024","E30000239","E16000026","E08000007","00BSGC","E00029152","00BSFB","E65000001","E01005758","E02001200","5","5C3","E00029152","E01005758","E02001200","E33005604","E38000174","E63008478","A1","7A2",53.411215,-2.157136,"E37000015","","E23000005",193,"E56000032","E54000057","E00177725","E01033947","E02001200"
