pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"SL0 0AA","SL0  0AA","SL0 0AA","198001","","E99999999","E99999999","E06000060","E05013150","E04001588","0","503627","0181366","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521717,-0.507758,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695"
"SL0 0AB","SL0  0AB","SL0 0AB","199405","199507","E99999999","E99999999","E06000060","E05013150","E04001588","1","503600","0181300","8","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521127,-0.508187,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695"
"SL0 0AD","SL0  0AD","SL0 0AD","198001","","E99999999","E99999999","E06000060","E05013150","E04001588","0","503605","0181296","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521090,-0.508116,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695"
"SL0 0AE","SL0  0AE","SL0 0AE","198001","","E99999999","E99999999","E06000060","E05013150","E04001588","0","503567","0181303","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521160,-0.508661,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695"
"SL0 0AF","SL0  0AF","SL0 0AF","201607","","E99999999","E99999999","E06000060","E05013150","E04001588","0","502517","0182408","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGM","E00089937","11UEGM","E65000001","E01017825","E02003695","6","4C2","E00089937","E01017825","E02003695","E33041388","E38000223","E63011998","D1","6B1",51.531285,-0.523449,"E37000043","","E23000029",29200,"E56000034","E54000044","E00089937","E01017825","E02003695"
"SL0 0AG","SL0  0AG","SL0 0AG","200607","","E99999999","E99999999","E06000060","E05013150","E04001588","0","503590","0181367","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521731,-0.508311,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695"
"SL0 0AH","SL0  0AH","SL0 0AH","198001","","E99999999","E99999999","E06000060","E05013150","E04001588","0","503427","0181389","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089963","11UEGN","E65000001","E01017827","E02003695","5","6B2","E00089963","E01017827","E02003695","E33041393","E38000223","E63012030","D1","5B1",51.521958,-0.510653,"E37000043","","E23000029",18326,"E56000034","E54000044","E00089963","E01017827","E02003695"
"SL0 0AJ","SL0  0AJ","SL0 0AJ","198001","","E99999999","E99999999","E06000060","E05013150","E04001588","0","503484","0181356","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089953","11UEGN","E65000001","E01017828","E02003695","6","6B2","E00089953","E01017828","E02003695","E33041392","E38000223","E63012030","D1","5A2",51.521651,-0.509842,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089953","E01017828","E02003695"
"SL0 0AL","SL0  0AL","SL0 0AL","198001","","E99999999","E99999999","E06000060","E05013150","E04001588","0","503318","0181450","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089962","11UEGN","E65000001","E01017828","E02003695","6","5B2","E00089962","E01017828","E02003695","E33041393","E38000223","E63012030","D1","7A2",51.522527,-0.512206,"E37000043","","E23000029",19703,"E56000034","E54000044","E00089962","E01017828","E02003695"
"SL0 0AN","SL0  0AN","SL0 0AN","198001","","E99999999","E99999999","E06000060","E05013150","E04001588","0","503493","0181440","1","E18000009","E40000005","E92000001","E12000008","5","E14001082","E15000008","E24000026","E30000266","E16000134","E06000060","11UEGN","E00089963","11UEGN","E65000001","E01017827","E02003695","5","6B2","E00089963","E01017827","E02003695","E33041393","E38000223","E63012030","D1","5B1",51.522405,-0.509687,"E37000043","","E23000029",18326,"E56000034","E54000044","E00089963","E01017827","E02003695"
