pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"SP1 1AA","SP1  1AA","SP1 1AA","199002","201308","E99999999","E99999999","E06000054","E05013467","E04013046","1","414404","0130157","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046849","E38000231","E63013173","C1","2C1",51.070565,-1.795796,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1AB","SP1  1AB","SP1 1AB","198803","201605","E99999999","E99999999","E06000054","E05013467","E04013046","1","414404","0130157","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046849","E38000231","E63013173","C1","2C1",51.070565,-1.795796,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1AD","SP1  1AD","SP1 1AD","200803","","E99999999","E99999999","E06000054","E05013439","E04012692","0","416239","0130578","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHG","E00163271","46UDHG","E65000001","E01032011","E02006672","5","5B2","E00163271","E01032011","E02006672","E33050695","E38000231","E63013173","C1","5B3",51.074302,-1.769588,"E37000033","","E23000038",18491,"E56000033","E54000040","E00163271","E01034550","E02006672"
"SP1 1AF","SP1  1AF","SP1 1AF","200804","","E99999999","E99999999","E06000054","E05013439","E04012692","0","416135","0130542","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHG","E00163271","46UDHG","E65000001","E01032011","E02006672","5","5B2","E00163271","E01032011","E02006672","E33050695","E38000231","E63013173","C1","5B3",51.073981,-1.771074,"E37000033","","E23000038",18491,"E56000033","E54000040","E00163271","E01034550","E02006672"
"SP1 1AG","SP1  1AG","SP1 1AG","201608","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414638","0130009","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHL","E00163336","46UDHL","E65000001","E01032022","E02006673","5","2B2","E00163336","E01032022","E02006673","E33046871","E38000231","E63013173","C1","2C1",51.069222,-1.792453,"E37000033","","E23000038",15295,"E56000033","E54000040","E00163336","E01032022","E02006673"
"SP1 1AH","SP1  1AH","SP1 1AH","201703","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414512","0129959","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHL","E00163336","46UDHL","E65000001","E01032022","E02006673","5","2B2","E00163336","E01032022","E02006673","E33046870","E38000231","E63013173","C1","2C1",51.068776,-1.794253,"E37000033","","E23000038",15295,"E56000033","E54000040","E00163336","E01032022","E02006673"
"SP1 1AJ","SP1  1AJ","SP1 1AJ","201704","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414377","0130024","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHL","E00163322","46UDHL","E65000001","E01032022","E02006673","5","2B1","E00163322","E01032022","E02006673","E33046856","E38000231","E63013173","C1","5B2",51.069364,-1.796177,"E37000033","","E23000038",15295,"E56000033","E54000040","E00163322","E01032022","E02006673"
"SP1 1AL","SP1  1AL","SP1 1AL","201801","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414538","0130126","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.070277,-1.793876,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1BA","SP1  1BA","SP1 1BA","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414319","0130021","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHL","E00163335","46UDHL","E65000001","E01032022","E02006673","5","2B1","E00163335","E01032022","E02006673","E33046866","E38000231","E63013173","C1","7D1",51.069338,-1.797005,"E37000033","","E23000038",15295,"E56000033","E54000040","E00163335","E01032022","E02006673"
"SP1 1BB","SP1  1BB","SP1 1BB","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414371","0130105","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046853","E38000231","E63013173","C1","2C1",51.070098,-1.796270,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1BD","SP1  1BD","SP1 1BD","198607","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414260","0130031","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046848","E38000231","E63013173","C1","2C1",51.069435,-1.797857,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1BE","SP1  1BE","SP1 1BE","198001","198212","E99999999","E99999999","E06000054","E05013467","E04013046","1","414200","0130500","8","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046847","E38000231","E63013173","C1","2C1",51.073654,-1.798695,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1BG","SP1  1BG","SP1 1BG","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414464","0130140","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.070404,-1.794931,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1BH","SP1  1BH","SP1 1BH","198001","199012","E99999999","E99999999","E06000054","E05013467","E04013046","1","414400","0130100","8","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046850","E38000231","E63013173","C1","2C1",51.070052,-1.795856,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1BL","SP1  1BL","SP1 1BL","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","1","414313","0130075","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046853","E38000231","E63013173","C1","2C1",51.069830,-1.797098,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1BN","SP1  1BN","SP1 1BN","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414381","0130215","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046849","E38000231","E63013173","C1","2C1",51.071087,-1.796122,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1BP","SP1  1BP","SP1 1BP","198001","199501","E99999999","E99999999","E06000054","E05013467","E04013046","1","414400","0130100","8","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046850","E38000231","E63013173","C1","2C1",51.070052,-1.795856,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1BQ","SP1  1BQ","SP1 1BQ","198001","199806","E99999999","E99999999","E06000054","E05013467","E04013046","1","414439","0130135","8","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046850","E38000231","E63013173","C1","2C1",51.070366,-1.795298,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1BT","SP1  1BT","SP1 1BT","199507","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414301","0130054","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHL","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046853","E38000231","E63013173","C1","2C1",51.069641,-1.797271,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1BW","SP1  1BW","SP1 1BW","199301","200107","E99999999","E99999999","E06000054","E05013467","E04013046","1","414345","0130165","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046849","E38000231","E63013173","C1","2C1",51.070638,-1.796638,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1BX","SP1  1BX","SP1 1BX","198604","199012","E99999999","E99999999","E06000054","E05013464","E04013046","1","414500","0129700","8","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHL","E00163322","46UDHL","E65000001","E01032022","E02006673","5","2B1","E00163322","E01032022","E02006673","E33046861","E38000231","E63013173","C1","5B2",51.066453,-1.794445,"E37000033","","E23000038",15295,"E56000033","E54000040","E00163322","E01032022","E02006673"
"SP1 1BZ","SP1  1BZ","SP1 1BZ","199301","199412","E99999999","E99999999","E06000054","E05013467","E04013046","1","414400","0129900","8","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHL","E00163322","46UDHL","E65000001","E01032022","E02006673","5","2B1","E00163322","E01032022","E02006673","E33046859","E38000231","E63013173","C1","5B2",51.068254,-1.795864,"E37000033","","E23000038",15295,"E56000033","E54000040","E00163322","E01032022","E02006673"
"SP1 1DA","SP1  1DA","SP1 1DA","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414414","0130103","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046850","E38000231","E63013173","C1","2C1",51.070073,-1.795646,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1DB","SP1  1DB","SP1 1DB","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","1","413857","0130232","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHM","E00163340","46UDHM","E65000001","E01032024","E02006670","5","6C1","E00163340","E01032024","E02006670","E33050686","E38000231","E63013173","C1","5A3",51.071252,-1.803601,"E37000033","","E23000038",22452,"E56000033","E54000040","E00163340","E01032024","E02006670"
"SP1 1DE","SP1  1DE","SP1 1DE","198001","202005","E99999999","E99999999","E06000054","E05013467","E04013046","1","414440","0130102","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046850","E38000231","E63013173","C1","2C1",51.070069,-1.795285,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1DF","SP1  1DF","SP1 1DF","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","1","414477","0130080","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.069870,-1.794758,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1DH","SP1  1DH","SP1 1DH","198001","200902","E99999999","E99999999","E06000054","E05013467","E04013046","1","414491","0130075","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.069825,-1.794558,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1DL","SP1  1DL","SP1 1DL","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414490","0130105","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.070089,-1.794561,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1DN","SP1  1DN","SP1 1DN","199109","199606","E99999999","E99999999","E06000054","E05013467","E04013046","1","414400","0130100","8","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046850","E38000231","E63013173","C1","2C1",51.070052,-1.795856,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1DP","SP1  1DP","SP1 1DP","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414497","0130199","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046849","E38000231","E63013173","C1","2C1",51.070940,-1.794467,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1DR","SP1  1DR","SP1 1DR","198001","201101","E99999999","E99999999","E06000054","E05013467","E04013046","1","414507","0130221","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163296","46UDHJ","E65000001","E01032014","E02006671","5","6B1","E00163296","E01032014","E02006671","E33046854","E38000231","E63013173","C1","7A2",51.071138,-1.794324,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163296","E01032014","E02006671"
"SP1 1DS","SP1  1DS","SP1 1DS","198001","199501","E99999999","E99999999","E06000054","E05013467","E04013046","1","414400","0130100","8","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046850","E38000231","E63013173","C1","2C1",51.070052,-1.795856,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1DT","SP1  1DT","SP1 1DT","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414534","0130174","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163296","46UDHJ","E65000001","E01032014","E02006671","5","6B1","E00163296","E01032014","E02006671","E33046854","E38000231","E63013173","C1","7A2",51.070714,-1.793940,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163296","E01032014","E02006671"
"SP1 1DU","SP1  1DU","SP1 1DU","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414538","0130155","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.070538,-1.793874,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1DW","SP1  1DW","SP1 1DW","198001","201408","E99999999","E99999999","E06000054","E05013467","E04013046","1","414522","0130089","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.069950,-1.794115,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1DX","SP1  1DX","SP1 1DX","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414596","0130128","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.070293,-1.793048,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1DY","SP1  1DY","SP1 1DY","198504","202202","E99999999","E99999999","E06000054","E05013467","E04013046","1","414607","0130115","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.070182,-1.792901,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1DZ","SP1  1DZ","SP1 1DZ","200012","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414467","0130115","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163295","46UDHJ","E65000001","E01032014","E02006671","5","2B2","E00163295","E01032014","E02006671","E33046850","E38000231","E63013173","C1","2C1",51.070185,-1.794899,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163295","E01032014","E02006671"
"SP1 1EA","SP1  1EA","SP1 1EA","202303","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414608","0130113","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.070158,-1.792877,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1EB","SP1  1EB","SP1 1EB","199109","199912","E99999999","E99999999","E06000054","E05013467","E04013046","1","414583","0130097","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.070021,-1.793244,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1ED","SP1  1ED","SP1 1ED","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414573","0130223","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163296","46UDHJ","E65000001","E01032014","E02006671","5","6B1","E00163296","E01032014","E02006671","E33046854","E38000231","E63013173","C1","7A2",51.071148,-1.793372,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163296","E01032014","E02006671"
"SP1 1EE","SP1  1EE","SP1 1EE","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414630","0130179","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.070644,-1.792775,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1EF","SP1  1EF","SP1 1EF","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414670","0130102","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.070063,-1.792002,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
"SP1 1EG","SP1  1EG","SP1 1EG","198001","","E99999999","E99999999","E06000054","E05013467","E04013046","0","414692","0130212","1","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163299","46UDHJ","E65000001","E01032014","E02006671","5","6C1","E00163299","E01032014","E02006671","E33050688","E38000231","E63013173","C1","5A3",51.071052,-1.791684,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163299","E01032014","E02006671"
"SP1 1EH","SP1  1EH","SP1 1EH","198001","199405","E99999999","E99999999","E06000054","E05013467","E04013046","1","414600","0130100","8","E18000010","E40000006","E92000001","E12000009","6","E14001460","E15000009","E24000036","E30000258","E16000140","E06000054","46UDHJ","E00163284","46UDHJ","E65000001","E01032014","E02006671","5","2B1","E00163284","E01032014","E02006671","E33046845","E38000231","E63013173","C1","2C1",51.070047,-1.793001,"E37000033","","E23000038",10909,"E56000033","E54000040","E00163284","E01032014","E02006671"
