pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"SS0 0AA","SS0  0AA","SS0 0AA","198001","","E99999999","E99999999","E06000033","E05002213","E43000028","0","585746","0187079","1","E18000006","E40000007","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMQ","E00079972","00KFMQ","E65000001","E01015822","E02003283","5","4D2","E00079972","E01015822","E02003283","E33025368","E38000168","E63011939","C1","5B3",51.552022,0.677792,"E37000056","","E23000028",26940,"E56000035","E54000026","E00079972","E01015822","E02003283"
"SS0 0AB","SS0  0AB","SS0 0AB","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585619","0187415","1","E18000006","E40000007","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080196","00KFMX","E65000001","E01015858","E02003282","5","4D2","E00080196","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B3",51.555077,0.676110,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080196","E01015858","E02003282"
"SS0 0AD","SS0  0AD","SS0 0AD","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585710","0187448","1","E18000006","E40000007","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080196","00KFMX","E65000001","E01015858","E02003282","5","4D2","E00080196","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B3",51.555343,0.677439,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080196","E01015858","E02003282"
"SS0 0AE","SS0  0AE","SS0 0AE","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585651","0187525","1","E18000006","E40000007","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080196","00KFMX","E65000001","E01015858","E02003282","5","4D2","E00080196","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B3",51.556054,0.676629,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080196","E01015858","E02003282"
"SS0 0AF","SS0  0AF","SS0 0AF","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585771","0187436","1","E18000006","E40000007","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080196","00KFMX","E65000001","E01015858","E02003282","5","4D2","E00080196","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B3",51.555216,0.678311,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080196","E01015858","E02003282"
"SS0 0AG","SS0  0AG","SS0 0AG","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585696","0187550","1","E18000006","E40000007","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080196","00KFMX","E65000001","E01015858","E02003282","5","4D2","E00080196","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B3",51.556264,0.677291,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080196","E01015858","E02003282"
"SS0 0AH","SS0  0AH","SS0 0AH","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585867","0187798","1","E18000006","E40000007","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080182","00KFMX","E65000001","E01015858","E02003282","5","4B2","E00080182","E01015858","E02003282","E33025362","E38000168","E63011939","C1","6B4",51.558435,0.679886,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080182","E01015858","E02003282"
"SS0 0AJ","SS0  0AJ","SS0 0AJ","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585933","0187893","1","E18000006","E40000007","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080182","00KFMX","E65000001","E01015858","E02003282","5","4B2","E00080182","E01015858","E02003282","E33025362","E38000168","E63011939","C1","6B4",51.559267,0.680887,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080182","E01015858","E02003282"
"SS0 0AL","SS0  0AL","SS0 0AL","198001","","E99999999","E99999999","E06000033","E05002219","E43000028","0","585824","0187443","1","E18000006","E40000007","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMX","E00080191","00KFMX","E65000001","E01015858","E02003282","5","4D1","E00080191","E01015858","E02003282","E33025362","E38000168","E63011939","C1","5B1",51.555265,0.679108,"E37000056","","E23000028",29267,"E56000035","E54000026","E00080191","E01015858","E02003282"
"SS0 0AN","SS0  0AN","SS0 0AN","198001","","E99999999","E99999999","E06000033","E05002213","E43000028","0","585793","0187167","1","E18000006","E40000007","E92000001","E12000006","5","E14001502","E15000006","E24000006","E30000268","E16000103","E06000033","00KFMQ","E00079972","00KFMQ","E65000001","E01015822","E02003283","5","4D2","E00079972","E01015822","E02003283","E33025368","E38000168","E63011939","C1","5B3",51.552792,0.678486,"E37000056","","E23000028",26940,"E56000035","E54000026","E00079972","E01015822","E02003283"
