pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"ST1 1AA","ST1  1AA","ST1 1AA","199002","200812","E99999999","E99999999","E06000021","E05014567","E43000017","1","388390","0347529","1","E18000005","E40000011","E92000001","E12000005","7","E14001520","E15000005","E24000039","E30000273","E16000119","E06000021","00GLNG","E00072125","00GLNG","E65000001","E01014287","E02002965","5","7A2","E00072125","E01014287","E02002965","E33018901","E38000175","E63009014","C1","4B1",53.024924,-2.174543,"E37000032","","E23000015",447,"E56000007","E54000010","E00179362","E01014287","E02002965"
"ST1 1AB","ST1  1AB","ST1 1AB","199512","200806","E99999999","E99999999","E06000021","E05014574","E43000017","1","388120","0345660","1","E18000005","E40000011","E92000001","E12000005","7","E14001520","E15000005","E24000039","E30000273","E16000119","E06000021","00GLNG","E00072123","00GLNG","E65000001","E01014284","E02002966","5","2B2","E00072123","E01014284","E02002966","E33021656","E38000175","E63009014","C1","2A2",53.008117,-2.178499,"E37000032","","E23000015",12852,"E56000007","E54000010","E00072123","E01014284","E02002966"
"ST1 1AF","ST1  1AF","ST1 1AF","201909","","E99999999","E99999999","E06000021","E05014567","E43000017","0","388405","0347542","1","E18000005","E40000011","E92000001","E12000005","7","E14001520","E15000005","E24000039","E30000273","E16000119","E06000021","00GLNG","E00072125","00GLNG","E65000001","E01014287","E02002965","5","7A2","E00072125","E01014287","E02002965","E33018901","E38000175","E63009014","C1","4B1",53.025058,-2.174319,"E37000032","","E23000015",447,"E56000007","E54000010","E00179362","E01014287","E02002965"
"ST1 1AG","ST1  1AG","ST1 1AG","201909","","E99999999","E99999999","E06000021","E05014567","E43000017","0","388405","0347542","1","E18000005","E40000011","E92000001","E12000005","7","E14001520","E15000005","E24000039","E30000273","E16000119","E06000021","00GLNG","E00072125","00GLNG","E65000001","E01014287","E02002965","5","7A2","E00072125","E01014287","E02002965","E33018901","E38000175","E63009014","C1","4B1",53.025058,-2.174319,"E37000032","","E23000015",447,"E56000007","E54000010","E00179362","E01014287","E02002965"
"ST1 1AP","ST1  1AP","ST1 1AP","199912","","E99999999","E99999999","E06000021","E05014567","E43000017","1","388245","0347471","1","E18000005","E40000011","E92000001","E12000005","7","E14001520","E15000005","E24000039","E30000273","E16000119","E06000021","00GLNG","E00072125","00GLNG","E65000001","E01014287","E02002965","5","7A2","E00072125","E01014287","E02002965","E33018896","E38000175","E63009014","C1","4B1",53.024399,-2.176703,"E37000032","","E23000015",447,"E56000007","E54000010","E00179362","E01014287","E02002965"
"ST1 1AT","ST1  1AT","ST1 1AT","199308","199507","E99999999","E99999999","E06000021","E05014567","E43000017","1","388300","0347500","8","E18000005","E40000011","E92000001","E12000005","7","E14001520","E15000005","E24000039","E30000273","E16000119","E06000021","00GLNG","E00072125","00GLNG","E65000001","E01014287","E02002965","5","7A2","E00072125","E01014287","E02002965","E33018896","E38000175","E63009014","C1","4B1",53.024661,-2.175884,"E37000032","","E23000015",447,"E56000007","E54000010","E00179362","E01014287","E02002965"
"ST1 1AZ","ST1  1AZ","ST1 1AZ","199109","200904","E99999999","E99999999","E06000021","E05014574","E43000017","1","388120","0345660","1","E18000005","E40000011","E92000001","E12000005","7","E14001520","E15000005","E24000039","E30000273","E16000119","E06000021","00GLNG","E00072123","00GLNG","E65000001","E01014284","E02002966","5","2B2","E00072123","E01014284","E02002966","E33021656","E38000175","E63009014","C1","2A2",53.008117,-2.178499,"E37000032","","E23000015",12852,"E56000007","E54000010","E00072123","E01014284","E02002966"
"ST1 1BA","ST1  1BA","ST1 1BA","199501","200407","E99999999","E99999999","E06000021","E05014567","E43000017","1","388287","0347553","1","E18000005","E40000011","E92000001","E12000005","7","E14001520","E15000005","E24000039","E30000273","E16000119","E06000021","00GLNG","E00072125","00GLNG","E65000001","E01014287","E02002965","5","7A2","E00072125","E01014287","E02002965","E33018894","E38000175","E63009014","C1","4B1",53.025137,-2.176080,"E37000032","","E23000015",447,"E56000007","E54000010","E00179362","E01014287","E02002965"
"ST1 1BS","ST1  1BS","ST1 1BS","199501","","E99999999","E99999999","E06000021","E05014567","E43000017","1","388373","0347660","1","E18000005","E40000011","E92000001","E12000005","7","E14001520","E15000005","E24000039","E30000273","E16000119","E06000021","00GLNG","E00072125","00GLNG","E65000001","E01014287","E02002965","5","7A2","E00072125","E01014287","E02002965","E33018905","E38000175","E63009014","C1","4B1",53.026101,-2.174801,"E37000032","","E23000015",447,"E56000007","E54000010","E00179362","E01014287","E02002965"
"ST1 1DA","ST1  1DA","ST1 1DA","198001","","E99999999","E99999999","E06000021","E05014567","E43000017","1","388303","0347615","1","E18000005","E40000011","E92000001","E12000005","7","E14001520","E15000005","E24000039","E30000273","E16000119","E06000021","00GLNG","E00072125","00GLNG","E65000001","E01014287","E02002965","5","7A2","E00072125","E01014287","E02002965","E33018894","E38000175","E63009014","C1","4B1",53.025695,-2.175843,"E37000032","","E23000015",447,"E56000007","E54000010","E00179362","E01014287","E02002965"
