pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"SW100AA","SW10 0AA","SW10 0AA","201801","","E99999999","E99999999","E09000013","E05013747","E43000203","0","526506","0176966","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000013","E30000234","E16000030","E09000013","00ANGN","E00009700","00ANGN","E65000001","E01001939","E02000394","5","2B2","E00009700","E01001939","E02000394","E33033986","E38000256","E63012087","A1","2D2",51.477517,-0.179730,"E37000051","","E23000001",13510,"E56000021","E54000027","E00009700","E01035486","E02000394"
"SW100AB","SW10 0AB","SW10 0AB","201008","","E99999999","E99999999","E09000020","E05009391","E43000210","0","526275","0177037","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGD","E00014255","00AWGD","E65000001","E01002841","E02000597","5","2A2","E00014255","E01002841","E02000597","E33034955","E38000256","E63012062","A1","2D2",51.478206,-0.183053,"E37000051","","E23000001",9898,"E56000021","E54000027","E00014255","E01002841","E02000597"
"SW100AD","SW10 0AD","SW10 0AD","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526433","0177902","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014661","00AWGR","E65000001","E01002912","E02000596","5","2A2","E00014661","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D3",51.485945,-0.180470,"E37000051","","E23000001",20040,"E56000021","E54000027","E00190377","E01002912","E02000596"
"SW100AE","SW10 0AE","SW10 0AE","199208","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526423","0177883","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014661","00AWGR","E65000001","E01002912","E02000596","5","2A2","E00014661","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D3",51.485776,-0.180621,"E37000051","","E23000001",20040,"E56000021","E54000027","E00190377","E01002912","E02000596"
"SW100AF","SW10 0AF","SW10 0AF","201405","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526266","0177401","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014674","00AWGR","E65000001","E01002913","E02000597","5","2A2","E00175092","E01002913","E02000597","E33034952","E38000256","E63012062","A1","3B3",51.481480,-0.183053,"E37000051","","E23000001",16091,"E56000021","E54000027","E00175092","E01002913","E02000597"
"SW100AG","SW10 0AG","SW10 0AG","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526444","0177887","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014661","00AWGR","E65000001","E01002912","E02000596","5","2A2","E00014661","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D3",51.485807,-0.180317,"E37000051","","E23000001",20040,"E56000021","E54000027","E00190377","E01002912","E02000596"
"SW100AH","SW10 0AH","SW10 0AH","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526447","0177859","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014661","00AWGR","E65000001","E01002912","E02000596","5","2A2","E00014661","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D3",51.485555,-0.180284,"E37000051","","E23000001",20040,"E56000021","E54000027","E00190377","E01002912","E02000596"
"SW100AJ","SW10 0AJ","SW10 0AJ","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526479","0177898","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014661","00AWGR","E65000001","E01002912","E02000596","5","2A2","E00014661","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D3",51.485898,-0.179809,"E37000051","","E23000001",20040,"E56000021","E54000027","E00190377","E01002912","E02000596"
"SW100AL","SW10 0AL","SW10 0AL","199507","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526462","0177823","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014663","00AWGR","E65000001","E01002912","E02000596","5","2A2","E00014663","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D3",51.485229,-0.180057,"E37000051","","E23000001",20040,"E56000021","E54000027","E00190377","E01002912","E02000596"
"SW100AN","SW10 0AN","SW10 0AN","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526495","0177801","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014666","00AWGR","E65000001","E01002912","E02000596","5","2B2","E00014666","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D2",51.485023,-0.179614,"E37000051","","E23000001",20040,"E56000021","E54000027","E00014666","E01002912","E02000596"
"SW100AP","SW10 0AP","SW10 0AP","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526495","0177801","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014666","00AWGR","E65000001","E01002912","E02000596","5","2B2","E00014666","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D2",51.485023,-0.179614,"E37000051","","E23000001",20040,"E56000021","E54000027","E00014666","E01002912","E02000596"
"SW100AQ","SW10 0AQ","SW10 0AQ","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526464","0177869","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014663","00AWGR","E65000001","E01002912","E02000596","5","2A2","E00014663","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D3",51.485641,-0.180035,"E37000051","","E23000001",20040,"E56000021","E54000027","E00190377","E01002912","E02000596"
"SW100AR","SW10 0AR","SW10 0AR","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526495","0177801","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014666","00AWGR","E65000001","E01002912","E02000596","5","2B2","E00014666","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D2",51.485023,-0.179614,"E37000051","","E23000001",20040,"E56000021","E54000027","E00014666","E01002912","E02000596"
"SW100AS","SW10 0AS","SW10 0AS","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526495","0177801","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014666","00AWGR","E65000001","E01002912","E02000596","5","2B2","E00014666","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D2",51.485023,-0.179614,"E37000051","","E23000001",20040,"E56000021","E54000027","E00014666","E01002912","E02000596"
"SW100AT","SW10 0AT","SW10 0AT","199405","200006","E99999999","E99999999","E09000020","E05009391","E43000210","1","526440","0177373","6","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGD","E00014247","00AWGD","E65000001","E01002842","E02000597","5","7B2","E00014247","E01002842","E02000597","E33034953","E38000256","E63012062","A1","3B1",51.481189,-0.180558,"E37000051","","E23000001",2593,"E56000021","E54000027","E00014247","E01002842","E02000597"
"SW100AU","SW10 0AU","SW10 0AU","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526543","0177829","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014663","00AWGR","E65000001","E01002912","E02000596","5","2A2","E00014663","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D3",51.485265,-0.178888,"E37000051","","E23000001",20040,"E56000021","E54000027","E00190377","E01002912","E02000596"
"SW100AW","SW10 0AW","SW10 0AW","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526495","0177801","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014666","00AWGR","E65000001","E01002912","E02000596","5","2B2","E00014666","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D2",51.485023,-0.179614,"E37000051","","E23000001",20040,"E56000021","E54000027","E00014666","E01002912","E02000596"
"SW100AX","SW10 0AX","SW10 0AX","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526551","0177761","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014666","00AWGR","E65000001","E01002912","E02000596","5","2B2","E00014666","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D2",51.484652,-0.178798,"E37000051","","E23000001",20040,"E56000021","E54000027","E00014666","E01002912","E02000596"
"SW100AY","SW10 0AY","SW10 0AY","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526611","0177707","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014666","00AWGR","E65000001","E01002912","E02000596","5","2B2","E00014666","E01002912","E02000596","E33034945","E38000256","E63012062","A1","2D2",51.484152,-0.177978,"E37000051","","E23000001",20040,"E56000021","E54000027","E00014666","E01002912","E02000596"
"SW100AZ","SW10 0AZ","SW10 0AZ","198001","","E99999999","E99999999","E09000020","E05009405","E43000210","0","526640","0177726","1","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGR","E00014669","00AWGR","E65000001","E01002911","E02000595","5","2B2","E00014669","E01002911","E02000595","E33034939","E38000256","E63012062","A1","2D2",51.484317,-0.177553,"E37000051","","E23000001",21556,"E56000021","E54000027","E00014669","E01002911","E02000595"
"SW100BA","SW10 0BA","SW10 0BA","199512","199812","E99999999","E99999999","E09000020","E05009391","E43000210","1","526440","0177373","6","E18000007","E40000003","E92000001","E12000007","5","E14001160","E15000007","E24000014","E30000234","E16000056","E09000020","00AWGD","E00014247","00AWGD","E65000001","E01002842","E02000597","5","7B2","E00014247","E01002842","E02000597","E33034953","E38000256","E63012062","A1","3B1",51.481189,-0.180558,"E37000051","","E23000001",2593,"E56000021","E54000027","E00014247","E01002842","E02000597"
