pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"SY1 1AA","SY1  1AA","SY1 1AA","199002","202411","E99999999","E99999999","E06000051","E05008180","E04011358","1","349490","0313095","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147392","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00174573","E01028946","E02006033","E33019804","E38000257","E63009578","C1","5B2",52.713145,-2.749116,"E37000036","","E23000016",16829,"E56000007","E54000011","E00174573","E01035061","E02006033"
"SY1 1AB","SY1  1AB","SY1 1AB","199712","200010","E99999999","E99999999","E06000051","E05008180","E04011358","1","349400","0313000","8","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147392","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00174575","E01028946","E02006033","E33019806","E38000257","E63009578","C1","2C1",52.712282,-2.750433,"E37000036","","E23000016",16829,"E56000007","E54000011","E00174575","E01035061","E02006033"
"SY1 1AD","SY1  1AD","SY1 1AD","201012","","E99999999","E99999999","E06000051","E05008180","E04011358","0","349381","0312241","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147395","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00147395","E01028946","E02006033","E33018995","E38000257","E63009578","C1","2C1",52.705458,-2.750597,"E37000036","","E23000016",16829,"E56000007","E54000011","E00147395","E01035061","E02006033"
"SY1 1AE","SY1  1AE","SY1 1AE","199501","201610","E99999999","E99999999","E06000051","E05008180","E04011358","1","349490","0313096","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147392","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00174573","E01028946","E02006033","E33019804","E38000257","E63009578","C1","5B2",52.713153,-2.749116,"E37000036","","E23000016",16829,"E56000007","E54000011","E00174573","E01035061","E02006033"
"SY1 1AF","SY1  1AF","SY1 1AF","201605","","E99999999","E99999999","E06000051","E05008180","E04011358","0","349007","0312556","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147398","39UEGE","E65000001","E01028946","E02006033","5","2B1","E00147398","E01028946","E02006033","E33019006","E38000257","E63009578","C1","2C1",52.708254,-2.756181,"E37000036","","E23000016",16829,"E56000007","E54000011","E00187296","E01035063","E02006033"
"SY1 1AG","SY1  1AG","SY1 1AG","202009","","E99999999","E99999999","E06000051","E05008180","E04011358","0","349285","0312268","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147398","39UEGE","E65000001","E01028946","E02006033","5","2B1","E00147398","E01028946","E02006033","E33019015","E38000257","E63009578","C1","2C1",52.705706,-2.752020,"E37000036","","E23000016",16829,"E56000007","E54000011","E00187271","E01035063","E02006033"
"SY1 1AH","SY1  1AH","SY1 1AH","202102","","E99999999","E99999999","E06000051","E05008180","E04011358","0","348932","0312551","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147397","39UEGE","E65000001","E01028946","E02006033","5","2B1","E00147397","E01028946","E02006033","E33019001","E38000257","E63009578","C1","5A3",52.708217,-2.757288,"E37000036","","E23000016",16829,"E56000007","E54000011","E00147397","E01035063","E02006033"
"SY1 1AN","SY1  1AN","SY1 1AN","199501","201609","E99999999","E99999999","E06000051","E05008180","E04011358","1","349490","0313096","1","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147392","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00174573","E01028946","E02006033","E33019804","E38000257","E63009578","C1","5B2",52.713153,-2.749116,"E37000036","","E23000016",16829,"E56000007","E54000011","E00174573","E01035061","E02006033"
"SY1 1AX","SY1  1AX","SY1 1AX","199301","199606","E99999999","E99999999","E06000051","E05008180","E04011358","1","349300","0312800","8","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147392","39UEGE","E65000001","E01028946","E02006033","5","2B2","E00174575","E01028946","E02006033","E33019805","E38000257","E63009578","C1","2C1",52.710475,-2.751882,"E37000036","","E23000016",16829,"E56000007","E54000011","E00174575","E01035061","E02006033"
"SY1 1AY","SY1  1AY","SY1 1AY","199301","199405","E99999999","E99999999","E06000051","E05008180","E04011358","1","349200","0312500","8","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147398","39UEGE","E65000001","E01028946","E02006033","5","2B1","E00147398","E01028946","E02006033","E33019007","E38000257","E63009578","C1","2C1",52.707769,-2.753316,"E37000036","","E23000016",16829,"E56000007","E54000011","E00187271","E01035063","E02006033"
"SY1 1AZ","SY1  1AZ","SY1 1AZ","198203","199212","E99999999","E99999999","E06000051","E05008180","E04011358","1","349200","0312500","8","E18000005","E40000011","E92000001","E12000005","7","E14001473","E15000005","E24000038","E30000262","E16000065","E06000051","39UEGE","E00147398","39UEGE","E65000001","E01028946","E02006033","5","2B1","E00147398","E01028946","E02006033","E33019007","E38000257","E63009578","C1","2C1",52.707769,-2.753316,"E37000036","","E23000016",16829,"E56000007","E54000011","E00187271","E01035063","E02006033"
