pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"TA1 1AA","TA1  1AA","TA1 1AA","199002","","E99999999","E58001283","E06000066","E05014339","E04013217","1","322271","0125483","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149221","40UEGZ","E65000001","E01029288","E02006105","5","6C1","E00149221","E01029288","E02006105","E33046777","E38000150","E63013310","C1","5A3",51.023442,-3.109646,"E37000016","","E23000036",18758,"E56000033","E54000038","E00149221","E01029288","E02006105"
"TA1 1AB","TA1  1AB","TA1 1AB","198001","201508","E99999999","E58001283","E06000066","E05014339","E04013217","1","322741","0124669","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGY","E00149192","40UEGY","E65000001","E01029284","E02006108","5","2A1","E00166740","E01029284","E02006108","E33046968","E38000150","E63013310","C1","2C2",51.016187,-3.102772,"E37000016","","E23000036",5754,"E56000033","E54000038","E00166740","E01029284","E02006108"
"TA1 1AD","TA1  1AD","TA1 1AD","200709","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322376","0124800","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149208","40UEGZ","E65000001","E01029289","E02006105","5","6C2","E00149208","E01029289","E02006105","E33050395","E38000150","E63013310","C1","5A3",51.017316,-3.108003,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149208","E01029289","E02006105"
"TA1 1AE","TA1  1AE","TA1 1AE","200808","","E99999999","E58001325","E06000066","E05014382","E04013217","0","322793","0124940","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGY","E00149192","40UEGY","E65000001","E01029284","E02006108","5","2A1","E00166740","E01029284","E02006108","E33046971","E38000150","E63013310","C1","2C2",51.018631,-3.102089,"E37000016","","E23000036",5754,"E56000033","E54000038","E00166740","E01029284","E02006108"
"TA1 1AF","TA1  1AF","TA1 1AF","200806","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322049","0125206","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149227","40UEGZ","E65000001","E01029289","E02006105","5","6D2","E00149227","E01029289","E02006105","E33050394","E38000150","E63013310","C1","5A3",51.020922,-3.112751,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149227","E01029289","E02006105"
"TA1 1AG","TA1  1AG","TA1 1AG","200910","","E99999999","E58001283","E06000066","E05014339","E04013217","0","321820","0125258","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149222","40UEGZ","E65000001","E01029288","E02006105","5","6C2","E00149222","E01029288","E02006105","E33050398","E38000150","E63013310","C1","5A1",51.021358,-3.116026,"E37000016","","E23000036",18758,"E56000033","E54000038","E00149222","E01029288","E02006105"
"TA1 1AH","TA1  1AH","TA1 1AH","200905","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322129","0125159","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149223","40UEGZ","E65000001","E01029288","E02006105","5","6D2","E00149223","E01029288","E02006105","E33050398","E38000150","E63013310","C1","5B2",51.020510,-3.111601,"E37000016","","E23000036",18758,"E56000033","E54000038","E00149223","E01029288","E02006105"
"TA1 1AJ","TA1  1AJ","TA1 1AJ","200811","","E99999999","E58001325","E06000066","E05014382","E04013217","0","322753","0125231","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEHC","E00149278","40UEHC","E65000001","E01029299","E02006105","5","2B1","E00149278","E01029299","E02006105","E33046782","E38000150","E63013310","C1","2C1",51.021242,-3.102721,"E37000016","","E23000036",6868,"E56000033","E54000038","E00186515","E01029299","E02006105"
"TA1 1AL","TA1  1AL","TA1 1AL","201202","","E99999999","E58001325","E06000066","E05014382","E04013217","0","323357","0125376","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEHC","E00149274","40UEHC","E65000001","E01029300","E02006105","5","6A1","E00167317","E01029300","E02006105","E33050393","E38000150","E63013310","C1","5A3",51.022626,-3.094142,"E37000016","","E23000036",17556,"E56000033","E54000038","E00186597","E01029300","E02006105"
"TA1 1AN","TA1  1AN","TA1 1AN","201204","","E99999999","E58001325","E06000066","E05014382","E04013217","0","323394","0125400","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEHC","E00149274","40UEHC","E65000001","E01029300","E02006105","5","6A1","E00167317","E01029300","E02006105","E33050393","E38000150","E63013310","C1","5A3",51.022847,-3.093620,"E37000016","","E23000036",17556,"E56000033","E54000038","E00186597","E01029300","E02006105"
"TA1 1AP","TA1  1AP","TA1 1AP","201207","","E99999999","E58001325","E06000066","E05014382","E04013217","0","322999","0125086","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGY","E00149201","40UEGY","E65000001","E01029285","E02006105","5","6B3","E00167307","E01029285","E02006105","E33050399","E38000150","E63013310","C1","4A2",51.019971,-3.099184,"E37000016","","E23000036",17023,"E56000033","E54000038","E00167307","E01029285","E02006105"
"TA1 1AR","TA1  1AR","TA1 1AR","201507","","E99999999","E58001325","E06000066","E05014382","E04013217","0","323239","0125401","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEHC","E00149274","40UEHC","E65000001","E01029300","E02006105","5","6A1","E00167317","E01029300","E02006105","E33050393","E38000150","E63013310","C1","5A3",51.022835,-3.095829,"E37000016","","E23000036",17556,"E56000033","E54000038","E00186535","E01029300","E02006105"
"TA1 1AS","TA1  1AS","TA1 1AS","201604","","E99999999","E58001325","E06000066","E05014382","E04013217","0","323076","0125157","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGY","E00149201","40UEGY","E65000001","E01029285","E02006105","5","6B3","E00167307","E01029285","E02006105","E33050399","E38000150","E63013310","C1","4A2",51.020615,-3.098110,"E37000016","","E23000036",17023,"E56000033","E54000038","E00167307","E01029285","E02006105"
"TA1 1AT","TA1  1AT","TA1 1AT","201609","","E99999999","E58001325","E06000066","E05014382","E04013217","0","323408","0125335","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEHC","E00149274","40UEHC","E65000001","E01029300","E02006105","5","6A1","E00167317","E01029300","E02006105","E33050393","E38000150","E63013310","C1","5A3",51.022259,-3.093415,"E37000016","","E23000036",17556,"E56000033","E54000038","E00186604","E01029300","E02006105"
"TA1 1AU","TA1  1AU","TA1 1AU","201512","201906","E99999999","E58001325","E06000066","E05014382","E04013217","0","323320","0124768","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGY","E00149205","40UEGY","E65000001","E01029285","E02006105","5","6C1","E00149205","E01029285","E02006105","E33050399","E38000150","E63013310","C1","2C1",51.017155,-3.094541,"E37000016","","E23000036",17023,"E56000033","E54000038","E00149205","E01029285","E02006105"
"TA1 1AW","TA1  1AW","TA1 1AW","201703","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322038","0124878","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149228","40UEGZ","E65000001","E01029289","E02006105","5","6B1","E00149228","E01029289","E02006105","E33050395","E38000150","","C1","5A3",51.017966,-3.112846,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149228","E01029289","E02006105"
"TA1 1AX","TA1  1AX","TA1 1AX","201707","","E99999999","E58001325","E06000066","E05014382","E04013217","0","322980","0125358","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEHC","E00149276","40UEHC","E65000001","E01029300","E02006105","5","6A1","E00149276","E01029300","E02006105","E33050397","E38000150","E63013310","C1","5A1",51.022409,-3.099521,"E37000016","","E23000036",17556,"E56000033","E54000038","E00149276","E01029300","E02006105"
"TA1 1AY","TA1  1AY","TA1 1AY","201707","","E99999999","E58001325","E06000066","E05014382","E04013217","0","323129","0125080","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGY","E00149201","40UEGY","E65000001","E01029285","E02006105","5","6B3","E00167307","E01029285","E02006105","E33050399","E38000150","E63013310","C1","4A2",51.019929,-3.097338,"E37000016","","E23000036",17023,"E56000033","E54000038","E00167307","E01029285","E02006105"
"TA1 1AZ","TA1  1AZ","TA1 1AZ","199501","","E99999999","E58001283","E06000066","E05014339","E04013217","0","321981","0125144","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149226","40UEGZ","E65000001","E01029288","E02006105","5","6B1","E00149226","E01029288","E02006105","E33050394","E38000150","E63013310","C1","5A1",51.020355,-3.113707,"E37000016","","E23000036",18758,"E56000033","E54000038","E00149226","E01029288","E02006105"
"TA1 1BA","TA1  1BA","TA1 1BA","198001","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322617","0125259","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149225","40UEGZ","E65000001","E01029289","E02006105","5","2B2","E00149225","E01029289","E02006105","E33046779","E38000150","E63013310","C1","2C1",51.021475,-3.104666,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149225","E01029289","E02006105"
"TA1 1BB","TA1  1BB","TA1 1BB","198001","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322604","0125238","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149225","40UEGZ","E65000001","E01029289","E02006105","5","2B2","E00149225","E01029289","E02006105","E33046779","E38000150","E63013310","C1","2C1",51.021279,-3.104855,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149225","E01029289","E02006105"
"TA1 1BD","TA1  1BD","TA1 1BD","198001","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322532","0125322","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149224","40UEGZ","E65000001","E01029289","E02006105","5","6C2","E00149224","E01029289","E02006105","E33046778","E38000150","E63013310","C1","5A3",51.022030,-3.105891,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149224","E01029289","E02006105"
"TA1 1BE","TA1  1BE","TA1 1BE","198001","200305","E99999999","E58001283","E06000066","E05014339","E04013217","1","322508","0125394","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149224","40UEGZ","E65000001","E01029289","E02006105","5","6C2","E00149224","E01029289","E02006105","E33046778","E38000150","E63013310","C1","5A3",51.022674,-3.106248,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149224","E01029289","E02006105"
"TA1 1BF","TA1  1BF","TA1 1BF","200106","200112","E99999999","E58001283","E06000066","E05014339","E04013217","1","322267","0125484","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149221","40UEGZ","E65000001","E01029288","E02006105","5","6C1","E00149221","E01029288","E02006105","E33046777","E38000150","E63013310","C1","5A3",51.023451,-3.109703,"E37000016","","E23000036",18758,"E56000033","E54000038","E00149221","E01029288","E02006105"
"TA1 1BG","TA1  1BG","TA1 1BG","198001","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322457","0125387","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149224","40UEGZ","E65000001","E01029289","E02006105","5","6C2","E00149224","E01029289","E02006105","E33046778","E38000150","E63013310","C1","5A3",51.022604,-3.106974,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149224","E01029289","E02006105"
"TA1 1BH","TA1  1BH","TA1 1BH","198001","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322388","0125426","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149223","40UEGZ","E65000001","E01029288","E02006105","5","6D2","E00149223","E01029288","E02006105","E33050398","E38000150","E63013310","C1","5B2",51.022941,-3.107974,"E37000016","","E23000036",18758,"E56000033","E54000038","E00149223","E01029288","E02006105"
"TA1 1BJ","TA1  1BJ","TA1 1BJ","200206","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322502","0125397","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149224","40UEGZ","E65000001","E01029289","E02006105","5","6C2","E00149224","E01029289","E02006105","E33046778","E38000150","E63013310","C1","5A3",51.022695,-3.106343,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149224","E01029289","E02006105"
"TA1 1BL","TA1  1BL","TA1 1BL","200112","200603","E99999999","E58001283","E06000066","E05014339","E04013217","1","322267","0125484","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149221","40UEGZ","E65000001","E01029288","E02006105","5","6C1","E00149221","E01029288","E02006105","E33046777","E38000150","E63013310","C1","5A3",51.023451,-3.109703,"E37000016","","E23000036",18758,"E56000033","E54000038","E00149221","E01029288","E02006105"
"TA1 1BN","TA1  1BN","TA1 1BN","198001","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322455","0125345","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149224","40UEGZ","E65000001","E01029289","E02006105","5","6C2","E00149224","E01029289","E02006105","E33046778","E38000150","E63013310","C1","5A3",51.022226,-3.106993,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149224","E01029289","E02006105"
"TA1 1BP","TA1  1BP","TA1 1BP","198001","200204","E99999999","E58001283","E06000066","E05014339","E04013217","1","322605","0125179","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149225","40UEGZ","E65000001","E01029289","E02006105","5","2B2","E00149225","E01029289","E02006105","E33046779","E38000150","E63013310","C1","2C1",51.020754,-3.104820,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149225","E01029289","E02006105"
"TA1 1BQ","TA1  1BQ","TA1 1BQ","198001","199612","E99999999","E58001283","E06000066","E05014339","E04013217","1","322500","0125300","8","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149225","40UEGZ","E65000001","E01029289","E02006105","5","2B2","E00149225","E01029289","E02006105","E33046779","E38000150","E63013310","C1","2C1",51.021828,-3.106342,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149225","E01029289","E02006105"
"TA1 1BS","TA1  1BS","TA1 1BS","198001","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322522","0125284","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149225","40UEGZ","E65000001","E01029289","E02006105","5","2B2","E00149225","E01029289","E02006105","E33046779","E38000150","E63013310","C1","2C1",51.021687,-3.106025,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149225","E01029289","E02006105"
"TA1 1BT","TA1  1BT","TA1 1BT","198001","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322548","0125151","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149227","40UEGZ","E65000001","E01029289","E02006105","5","6D2","E00149227","E01029289","E02006105","E33050394","E38000150","E63013310","C1","5A3",51.020495,-3.105626,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149227","E01029289","E02006105"
"TA1 1BU","TA1  1BU","TA1 1BU","198001","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322433","0125285","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149224","40UEGZ","E65000001","E01029289","E02006105","5","6C2","E00149224","E01029289","E02006105","E33046778","E38000150","E63013310","C1","5A3",51.021679,-3.107303,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149224","E01029289","E02006105"
"TA1 1BW","TA1  1BW","TA1 1BW","198001","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322588","0125200","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149225","40UEGZ","E65000001","E01029289","E02006105","5","2B2","E00149225","E01029289","E02006105","E33046779","E38000150","E63013310","C1","2C1",51.020936,-3.105075,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149225","E01029289","E02006105"
"TA1 1BX","TA1  1BX","TA1 1BX","198001","","E99999999","E58001283","E06000066","E05014339","E04013217","0","322422","0125319","1","E18000010","E40000006","E92000001","E12000009","6","E14001540","E15000009","E24000033","E30000277","E16000141","E06000066","40UEGZ","E00149224","40UEGZ","E65000001","E01029289","E02006105","5","6C2","E00149224","E01029289","E02006105","E33046778","E38000150","E63013310","C1","5A3",51.021988,-3.107458,"E37000016","","E23000036",15724,"E56000033","E54000038","E00149224","E01029289","E02006105"
