pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"TN1 1AA","TN1  1AA","TN1 1AA","199002","199512","E10000016","E58000747","E07000116","E05015804","E43000092","1","558300","0139100","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038537","E38000237","E63012976","C1","2C1",51.129306,0.260936,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186775","E01035013","E02005169"
"TN1 1AB","TN1  1AB","TN1 1AB","201710","","E10000016","E58000746","E07000116","E05015804","E43000092","0","558308","0138985","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125975","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125975","E01024819","E02005173","E33038549","E38000237","E63012976","C1","2D2",51.128269,0.261027,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125975","E01024819","E02005173"
"TN1 1AD","TN1  1AD","TN1 1AD","202104","","E10000016","E58000747","E07000116","E05015804","E43000092","0","558248","0139486","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125892","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125892","E01024801","E02005169","E33043576","E38000237","E63012976","C1","2D1",51.132787,0.260389,"E37000056","","E23000032",25038,"E56000011","E54000032","E00125892","E01035013","E02005169"
"TN1 1AG","TN1  1AG","TN1 1AG","199806","","E10000016","E58000747","E07000116","E05015804","E43000092","1","558342","0139534","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125892","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125892","E01024801","E02005169","E33043576","E38000237","E63012976","C1","2D1",51.133194,0.261726,"E37000056","","E23000032",25038,"E56000011","E54000032","E00125892","E01035013","E02005169"
"TN1 1AL","TN1  1AL","TN1 1AL","202501","","E10000016","E58000746","E07000116","E05015810","E43000092","0","558504","0139474","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGN","E00125986","29UQGN","E65000001","E01024823","E02005169","5","2B2","E00125986","E01024823","E02005169","E33038556","E38000237","E63012976","C1","2D1",51.132608,0.264040,"E37000056","","E23000032",30229,"E56000011","E54000032","E00125986","E01024823","E02005169"
"TN1 1AQ","TN1  1AQ","TN1 1AQ","201812","","E10000016","E58000742","E07000115","E05015040","E43000091","1","559913","0145919","1","E18000008","E40000005","E92000001","E12000008","5","E14001549","E15000008","E24000031","E30000281","E16000111","E07000115","29UPJD","E00125711","29UPJD","E65000001","E01024767","E02005160","5","1B2","E00125711","E01024767","E02005160","E33043516","E38000237","E63012792","C1","8D1",51.190124,0.287025,"E37000056","","E23000032",10976,"E56000011","E54000032","E00125711","E01024767","E02005160"
"TN1 1AW","TN1  1AW","TN1 1AW","202205","","E10000016","E58000746","E07000116","E05015810","E43000092","0","558500","0139539","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGN","E00125986","29UQGN","E65000001","E01024823","E02005169","5","2B2","E00125986","E01024823","E02005169","E33038556","E38000237","E63012976","C1","2D1",51.133171,0.264239,"E37000056","","E23000032",30229,"E56000011","E54000032","E00125986","E01024823","E02005169"
"TN1 1AX","TN1  1AX","TN1 1AX","199405","199501","E10000016","E58000747","E07000116","E05015804","E43000092","1","558300","0139100","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038537","E38000237","E63012976","C1","2C1",51.129306,0.260936,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186775","E01035013","E02005169"
"TN1 1AY","TN1  1AY","TN1 1AY","199606","199612","E10000016","E58000747","E07000116","E05015804","E43000092","1","558300","0139100","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038537","E38000237","E63012976","C1","2C1",51.129306,0.260936,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186775","E01035013","E02005169"
"TN1 1AZ","TN1  1AZ","TN1 1AZ","199308","199812","E10000016","E58000747","E07000116","E05015804","E43000092","1","558431","0139181","6","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038537","E38000237","E63012976","C1","2C1",51.129998,0.262842,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186775","E01035013","E02005169"
"TN1 1BA","TN1  1BA","TN1 1BA","198001","199507","E10000016","E58000747","E07000116","E05015804","E43000092","1","558300","0139400","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038538","E38000237","E63012976","C1","2C1",51.132002,0.261067,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186703","E01035013","E02005169"
"TN1 1BB","TN1  1BB","TN1 1BB","198001","199405","E10000016","E58000747","E07000116","E05015804","E43000092","1","558300","0139400","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038538","E38000237","E63012976","C1","2C1",51.132002,0.261067,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186703","E01035013","E02005169"
"TN1 1BD","TN1  1BD","TN1 1BD","200307","200604","E10000016","E58000743","E07000116","E05015813","E43000092","1","559924","0142133","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGT","E00126084","29UQGT","E65000001","E01024839","E02005164","5","6D1","E00126084","E01024839","E02005164","E33038563","E38000237","E63012976","C1","5A3",51.156107,0.285471,"E37000056","","E23000032",22889,"E56000011","E54000032","E00186671","E01024839","E02005164"
"TN1 1BE","TN1  1BE","TN1 1BE","200206","","E10000016","E58000747","E07000116","E05015804","E43000092","0","558396","0139659","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125892","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125892","E01024801","E02005169","E33043576","E38000237","E63012976","C1","2D1",51.134302,0.262552,"E37000056","","E23000032",25038,"E56000011","E54000032","E00125892","E01035013","E02005169"
"TN1 1BF","TN1  1BF","TN1 1BF","201707","","E10000016","E58000746","E07000116","E05015804","E43000092","0","558353","0139035","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125973","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125973","E01024819","E02005173","E33038547","E38000237","E63012976","C1","2C1",51.128705,0.261691,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125973","E01024819","E02005173"
"TN1 1BG","TN1  1BG","TN1 1BG","199109","199812","E10000016","E58000747","E07000116","E05015804","E43000092","1","558431","0139181","6","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038537","E38000237","E63012976","C1","2C1",51.129998,0.262842,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186775","E01035013","E02005169"
"TN1 1BH","TN1  1BH","TN1 1BH","200009","200009","E10000016","E58000746","E07000116","E05015804","E43000092","0","558369","0139067","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125973","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125973","E01024819","E02005173","E33038547","E38000237","E63012976","C1","2C1",51.128991,0.261906,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125973","E01024819","E02005173"
"TN1 1BJ","TN1  1BJ","TN1 1BJ","199109","","E10000016","E58000746","E07000116","E05015804","E43000092","1","558368","0139067","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125973","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125973","E01024819","E02005173","E33038547","E38000237","E63012976","C1","2C1",51.128991,0.261892,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125973","E01024819","E02005173"
"TN1 1BL","TN1  1BL","TN1 1BL","200009","200009","E10000016","E58000746","E07000116","E05015810","E43000092","0","558521","0139089","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGN","E00125986","29UQGN","E65000001","E01024823","E02005169","5","2B2","E00125986","E01024823","E02005169","E33043568","E38000237","E63012976","C1","2D1",51.129146,0.264086,"E37000056","","E23000032",30229,"E56000011","E54000032","E00125986","E01024823","E02005169"
"TN1 1BN","TN1  1BN","TN1 1BN","199002","","E10000016","E58000746","E07000116","E05015810","E43000092","0","558690","0139100","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGN","E00125984","29UQGN","E65000001","E01024823","E02005169","5","2B2","E00125984","E01024823","E02005169","E33043568","E38000237","E63012976","C1","2D2",51.129198,0.266505,"E37000056","","E23000032",30229,"E56000011","E54000032","E00125984","E01024823","E02005169"
"TN1 1BP","TN1  1BP","TN1 1BP","200112","","E10000016","E58000747","E07000116","E05015804","E43000092","0","558355","0139117","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038537","E38000237","E63012976","C1","2C1",51.129444,0.261728,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186775","E01035013","E02005169"
"TN1 1BQ","TN1  1BQ","TN1 1BQ","200112","","E10000016","E58000747","E07000116","E05015804","E43000092","0","558324","0139136","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038537","E38000237","E63012976","C1","2C1",51.129623,0.261294,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186775","E01035013","E02005169"
"TN1 1BS","TN1  1BS","TN1 1BS","198001","","E10000016","E58000746","E07000116","E05015804","E43000092","0","558390","0139119","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125973","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125973","E01024819","E02005173","E33038546","E38000237","E63012976","C1","2C1",51.129452,0.262229,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125973","E01024819","E02005173"
"TN1 1BT","TN1  1BT","TN1 1BT","198001","","E10000016","E58000747","E07000116","E05015804","E43000092","0","558429","0139206","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGF","E00125873","29UQGF","E65000001","E01024801","E02005169","5","2B1","E00125873","E01024801","E02005169","E33038537","E38000237","E63012976","C1","2C1",51.130221,0.262851,"E37000056","","E23000032",25038,"E56000011","E54000032","E00186775","E01035013","E02005169"
"TN1 1BW","TN1  1BW","TN1 1BW","199412","199501","E10000016","E58000746","E07000116","E05015809","E43000092","1","558400","0138900","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125975","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125975","E01024819","E02005173","E33038549","E38000237","E63012976","C1","2D2",51.127482,0.262276,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125975","E01024819","E02005173"
"TN1 1BX","TN1  1BX","TN1 1BX","198001","","E10000016","E58000746","E07000116","E05015804","E43000092","0","558327","0139012","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125973","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125973","E01024819","E02005173","E33038547","E38000237","E63012976","C1","2C1",51.128508,0.261283,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125973","E01024819","E02005173"
"TN1 1BY","TN1  1BY","TN1 1BY","199002","199212","E10000016","E58000746","E07000116","E05015804","E43000092","1","558300","0139000","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125973","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125973","E01024819","E02005173","E33038547","E38000237","E63012976","C1","2C1",51.128408,0.260892,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125973","E01024819","E02005173"
"TN1 1DA","TN1  1DA","TN1 1DA","198001","","E10000016","E58000746","E07000116","E05015804","E43000092","0","558266","0138940","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125975","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125975","E01024819","E02005173","E33038548","E38000237","E63012976","C1","2D2",51.127878,0.260380,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125975","E01024819","E02005173"
"TN1 1DB","TN1  1DB","TN1 1DB","199806","201610","E10000016","E58000746","E07000116","E05015804","E43000092","0","558304","0138980","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125975","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125975","E01024819","E02005173","E33038549","E38000237","E63012976","C1","2D2",51.128227,0.260940,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125975","E01024819","E02005173"
"TN1 1DD","TN1  1DD","TN1 1DD","198001","","E10000016","E58000746","E07000116","E05015809","E43000092","0","558227","0138852","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125975","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125975","E01024819","E02005173","E33038548","E38000237","E63012976","C1","2D2",51.127098,0.259784,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125975","E01024819","E02005173"
"TN1 1DE","TN1  1DE","TN1 1DE","198001","","E10000016","E58000746","E07000116","E05015804","E43000092","0","558205","0138895","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGD","E00125863","29UQGD","E65000001","E01024796","E02005171","5","4D2","E00125863","E01024796","E02005171","E33043587","E38000237","E63012976","C1","5B1",51.127488,0.259516,"E37000056","","E23000032",15707,"E56000011","E54000032","E00125863","E01024796","E02005171"
"TN1 1DF","TN1  1DF","TN1 1DF","199002","199612","E10000016","E58000746","E07000116","E05015809","E43000092","1","558200","0138800","8","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125963","29UQGM","E65000001","E01024819","E02005173","5","2B1","E00125963","E01024819","E02005173","E33043598","E38000237","E63012976","C1","2D2",51.126638,0.259376,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125963","E01024819","E02005173"
"TN1 1DG","TN1  1DG","TN1 1DG","200106","","E10000016","E58000746","E07000116","E05015809","E43000092","0","558233","0138875","1","E18000008","E40000005","E92000001","E12000008","5","E14001555","E15000008","E24000031","E30000281","E16000111","E07000116","29UQGM","E00125975","29UQGM","E65000001","E01024819","E02005173","5","2B2","E00125975","E01024819","E02005173","E33038548","E38000237","E63012976","C1","2D2",51.127303,0.259880,"E37000056","","E23000032",30349,"E56000011","E54000032","E00125975","E01024819","E02005173"
