pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"TQ1 1AA","TQ1  1AA","TQ1 1AA","200401","200401","E99999999","E99999999","E06000027","E05012268","E43000022","1","291763","0063879","1","E18000010","E40000006","E92000001","E12000009","6","E14001551","E15000009","E24000032","E30000279","E17000003","E06000027","00HHNB","E00077120","00HHNB","E65000001","E01015256","E02003161","5","2B1","E00077120","E01015256","E02003161","E33045865","E38000230","E63014039","C1","2C1",50.464719,-3.526371,"E37000016","","E23000035",590,"E56000014","E54000037","E00077120","E01015256","E02003161"
"TQ1 1AD","TQ1  1AD","TQ1 1AD","198704","199412","E99999999","E99999999","E06000027","E05012268","E43000022","1","291700","0063700","8","E18000010","E40000006","E92000001","E12000009","6","E14001551","E15000009","E24000032","E30000279","E17000003","E06000027","00HHNB","E00077084","00HHNB","E65000001","E01015256","E02003161","5","2B1","E00077084","E01015256","E02003161","E33045853","E38000230","E63014039","C1","2C1",50.463098,-3.527206,"E37000016","","E23000035",590,"E56000014","E54000037","E00077084","E01015256","E02003161"
"TQ1 1AE","TQ1  1AE","TQ1 1AE","199007","200006","E99999999","E99999999","E06000027","E05012269","E43000022","1","292185","0064268","6","E18000010","E40000006","E92000001","E12000009","6","E14001551","E15000009","E24000032","E30000279","E17000003","E06000027","00HHND","E00077148","00HHND","E65000001","E01015270","E02003163","5","6B1","E00077148","E01015270","E02003163","E33048023","E38000230","E63014039","C1","5B1",50.468294,-3.520540,"E37000016","","E23000035",7146,"E56000014","E54000037","E00077148","E01015270","E02003163"
"TQ1 1AF","TQ1  1AF","TQ1 1AF","200106","200310","E99999999","E99999999","E06000027","E05012268","E43000022","1","291763","0063879","1","E18000010","E40000006","E92000001","E12000009","6","E14001551","E15000009","E24000032","E30000279","E17000003","E06000027","00HHNB","E00077120","00HHNB","E65000001","E01015256","E02003161","5","2B1","E00077120","E01015256","E02003161","E33045865","E38000230","E63014039","C1","2C1",50.464719,-3.526371,"E37000016","","E23000035",590,"E56000014","E54000037","E00077120","E01015256","E02003161"
"TQ1 1AG","TQ1  1AG","TQ1 1AG","200804","","E99999999","E99999999","E06000027","E05012268","E43000022","0","291811","0063690","1","E18000010","E40000006","E92000001","E12000009","6","E14001551","E15000009","E24000032","E30000279","E17000003","E06000027","00HHNB","E00077084","00HHNB","E65000001","E01015256","E02003161","5","2B1","E00077084","E01015256","E02003161","E33045853","E38000230","E63014039","C1","2C1",50.463015,-3.525655,"E37000016","","E23000035",590,"E56000014","E54000037","E00077084","E01015256","E02003161"
"TQ1 1AH","TQ1  1AH","TQ1 1AH","200811","","E99999999","E99999999","E06000027","E05012269","E43000022","0","292310","0063494","1","E18000010","E40000006","E92000001","E12000009","6","E14001551","E15000009","E24000032","E30000279","E17000003","E06000027","00HHND","E00077167","00HHND","E65000001","E01015267","E02003163","5","6B1","E00077167","E01015267","E02003163","E33048024","E38000230","E63014039","C1","5B2",50.461359,-3.518556,"E37000016","","E23000035",1702,"E56000014","E54000037","E00077167","E01015267","E02003163"
"TQ1 1AJ","TQ1  1AJ","TQ1 1AJ","201003","","E99999999","E99999999","E06000027","E05012268","E43000022","0","292033","0063734","1","E18000010","E40000006","E92000001","E12000009","6","E14001551","E15000009","E24000032","E30000279","E17000003","E06000027","00HHND","E00077165","00HHND","E65000001","E01015267","E02003163","5","2B1","E00077165","E01015267","E02003163","E33048020","E38000230","E63014039","C1","5B1",50.463465,-3.522526,"E37000016","","E23000035",1702,"E56000014","E54000037","E00077165","E01015267","E02003163"
"TQ1 1AL","TQ1  1AL","TQ1 1AL","201105","","E99999999","E99999999","E06000027","E05012268","E43000022","0","292064","0063766","1","E18000010","E40000006","E92000001","E12000009","6","E14001551","E15000009","E24000032","E30000279","E17000003","E06000027","00HHND","E00077160","00HHND","E65000001","E01015270","E02003163","5","6B1","E00077160","E01015270","E02003163","E33048020","E38000230","E63014039","C1","5B3",50.463759,-3.522099,"E37000016","","E23000035",7146,"E56000014","E54000037","E00077160","E01015270","E02003163"
"TQ1 1AN","TQ1  1AN","TQ1 1AN","201602","","E99999999","E99999999","E06000027","E05012269","E43000022","0","292790","0063880","1","E18000010","E40000006","E92000001","E12000009","6","E14001551","E15000009","E24000032","E30000279","E17000003","E06000027","00HHND","E00077161","00HHND","E65000001","E01015268","E02003163","5","6B1","E00077161","E01015268","E02003163","E33048021","E38000230","E63014039","C1","5B2",50.464917,-3.511907,"E37000016","","E23000035",9868,"E56000014","E54000037","E00077161","E01015268","E02003163"
"TQ1 1AP","TQ1  1AP","TQ1 1AP","201708","","E99999999","E99999999","E06000027","E05012269","E43000022","0","292293","0063646","1","E18000010","E40000006","E92000001","E12000009","6","E14001551","E15000009","E24000032","E30000279","E17000003","E06000027","00HHND","E00077167","00HHND","E65000001","E01015267","E02003163","5","6B1","E00077167","E01015267","E02003163","E33048024","E38000230","E63014039","C1","5B2",50.462708,-3.518854,"E37000016","","E23000035",1702,"E56000014","E54000037","E00077167","E01015267","E02003163"
