pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"TR1 1AA","TR1  1AA","TR1 1AA","199002","","E99999999","E99999999","E06000052","E05013354","E04013097","1","182961","0043918","1","E18000010","E40000006","E92000001","E12000009","6","E14001554","E15000009","E24000032","E30000257","E16000144","E06000052","15UCFY","E00094949","15UCFY","E65000001","E01018807","E02003910","5","4D2","E00094949","E01018807","E02003910","E33046074","E38000089","E63014148","C1","1B2",50.255282,-5.046106,"E37000005","","E23000035",18766,"E56000014","E54000036","E00182757","E01018807","E02003910"
"TR1 1AB","TR1  1AB","TR1 1AB","201802","","E99999999","E99999999","E06000052","E05013356","E04013097","0","183713","0045956","1","E18000010","E40000006","E92000001","E12000009","6","E14001554","E15000009","E24000032","E30000257","E16000144","E06000052","15UCGD","E00095024","15UCGD","E65000001","E01018824","E02003908","5","6B3","E00095024","E01018824","E02003908","E33048431","E38000089","E63014148","C1","8C1",50.273849,-5.036784,"E37000005","","E23000035",18672,"E56000014","E54000036","E00095024","E01018824","E02003908"
"TR1 1AD","TR1  1AD","TR1 1AD","198001","199012","E99999999","E99999999","E06000052","E05013355","E04013097","1","182900","0044900","8","E18000010","E40000006","E92000001","E12000009","6","E14001554","E15000009","E24000032","E30000257","E16000144","E06000052","15UCFY","E00094954","15UCFY","E65000001","E01018809","E02003910","5","5A2","E00094954","E01018809","E02003910","E33048443","E38000089","E63014148","C1","7D2",50.264078,-5.047524,"E37000005","","E23000035",8602,"E56000014","E54000036","E00094954","E01034864","E02003910"
"TR1 1AE","TR1  1AE","TR1 1AE","201704","","E99999999","E99999999","E06000052","E05013356","E04013097","0","183837","0045817","1","E18000010","E40000006","E92000001","E12000009","6","E14001554","E15000009","E24000032","E30000257","E16000144","E06000052","15UCGD","E00095024","15UCGD","E65000001","E01018824","E02003908","5","6B3","E00095024","E01018824","E02003908","E33048431","E38000089","E63014148","C1","8C1",50.272646,-5.034967,"E37000005","","E23000035",18672,"E56000014","E54000036","E00095024","E01018824","E02003908"
"TR1 1AF","TR1  1AF","TR1 1AF","199906","","E99999999","E99999999","E06000052","E05013356","E04013097","0","183871","0045632","1","E18000010","E40000006","E92000001","E12000009","6","E14001554","E15000009","E24000032","E30000257","E16000144","E06000052","15UCGP","E00095190","15UCGP","E65000001","E01018853","E02003908","5","6D1","E00095190","E01018853","E02003908","E33048434","E38000089","E63014148","C1","5B3",50.271009,-5.034338,"E37000005","","E23000035",17102,"E56000014","E54000036","E00095190","E01018853","E02003908"
"TR1 1AG","TR1  1AG","TR1 1AG","200112","","E99999999","E99999999","E06000052","E05013356","E04013097","0","183960","0045239","1","E18000010","E40000006","E92000001","E12000009","6","E14001554","E15000009","E24000032","E30000257","E16000144","E06000052","15UCGP","E00095191","15UCGP","E65000001","E01018853","E02003908","5","4A2","E00172790","E01018853","E02003908","E33048434","E38000089","E63014148","C1","6A2",50.267512,-5.032867,"E37000005","","E23000035",17102,"E56000014","E54000036","E00172790","E01018853","E02003908"
"TR1 1AH","TR1  1AH","TR1 1AH","199906","","E99999999","E99999999","E06000052","E05013356","E04013097","0","183844","0045410","1","E18000010","E40000006","E92000001","E12000009","6","E14001554","E15000009","E24000032","E30000257","E16000144","E06000052","15UCGP","E00095191","15UCGP","E65000001","E01018853","E02003908","5","4A2","E00172790","E01018853","E02003908","E33048434","E38000089","E63014148","C1","6A2",50.269005,-5.034590,"E37000005","","E23000035",17102,"E56000014","E54000036","E00172790","E01018853","E02003908"
"TR1 1AJ","TR1  1AJ","TR1 1AJ","200006","","E99999999","E99999999","E06000052","E05013356","E04013097","0","183890","0045440","1","E18000010","E40000006","E92000001","E12000009","6","E14001554","E15000009","E24000032","E30000257","E16000144","E06000052","15UCGP","E00095191","15UCGP","E65000001","E01018853","E02003908","5","4A2","E00172790","E01018853","E02003908","E33048434","E38000089","E63014148","C1","6A2",50.269291,-5.033962,"E37000005","","E23000035",17102,"E56000014","E54000036","E00172790","E01018853","E02003908"
"TR1 1AL","TR1  1AL","TR1 1AL","200006","","E99999999","E99999999","E06000052","E05013356","E04013097","0","183167","0044320","1","E18000010","E40000006","E92000001","E12000009","6","E14001554","E15000009","E24000032","E30000257","E16000144","E06000052","15UCGP","E00095188","15UCGP","E65000001","E01018854","E02003908","5","6B2","E00095188","E01018854","E02003908","E33048430","E38000089","E63014148","C1","5B3",50.258968,-5.043451,"E37000005","","E23000035",5833,"E56000014","E54000036","E00095188","E01018854","E02003908"
"TR1 1AN","TR1  1AN","TR1 1AN","200112","","E99999999","E99999999","E06000052","E05013356","E04013097","0","183932","0045210","1","E18000010","E40000006","E92000001","E12000009","6","E14001554","E15000009","E24000032","E30000257","E16000144","E06000052","15UCGP","E00095191","15UCGP","E65000001","E01018853","E02003908","5","4A2","E00172804","E01018853","E02003908","E33048434","E38000089","E63014148","C1","5A1",50.267241,-5.033242,"E37000005","","E23000035",17102,"E56000014","E54000036","E00172804","E01018853","E02003908"
