pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"TW1 1AA","TW1  1AA","TW1 1AA","201408","","E99999999","E99999999","E09000027","E05013789","E43000217","0","516008","0173697","1","E18000007","E40000003","E92000001","E12000007","5","E14001556","E15000007","E24000016","E30000266","E16000067","E09000027","00BDGH","E00019448","00BDGH","E65000001","E01003870","E02000794","5","2B2","E00019448","E01003870","E02000794","E33035817","E38000245","E63012191","A1","5A3",51.450384,-0.331899,"E37000051","","E23000001",29667,"E56000021","E54000031","E00019448","E01003870","E02000794"
"TW1 1AE","TW1  1AE","TW1 1AE","198604","201704","E99999999","E99999999","E09000018","E05013625","E43000208","1","515669","0174315","1","E18000007","E40000003","E92000001","E12000007","5","E14001124","E15000007","E24000013","E30000266","E16000036","E09000018","00ATGQ","E00013261","00ATGQ","E65000001","E01002672","E02000545","5","2A1","E00013261","E01002672","E02000545","E33034619","E38000256","E63012107","A1","2C1",51.456007,-0.336573,"E37000051","","E23000001",9767,"E56000021","E54000027","E00013261","E01002672","E02000545"
"TW1 1AF","TW1  1AF","TW1 1AF","200904","","E99999999","E99999999","E09000027","E05013785","E43000217","0","516690","0175284","1","E18000007","E40000003","E92000001","E12000007","5","E14001556","E15000007","E24000016","E30000266","E16000067","E09000027","00BDGH","E00019474","00BDGH","E65000001","E01003871","E02000790","5","2B2","E00019474","E01003871","E02000790","E33035796","E38000245","E63012191","A1","4A3",51.464507,-0.321588,"E37000051","","E23000001",30677,"E56000021","E54000031","E00184367","E01003871","E02000790"
"TW1 1AG","TW1  1AG","TW1 1AG","199308","","E99999999","E99999999","E09000018","E05013625","E43000208","0","515483","0174565","1","E18000007","E40000003","E92000001","E12000007","5","E14001124","E15000007","E24000013","E30000266","E16000036","E09000018","00ATGQ","E00013254","00ATGQ","E65000001","E01002672","E02000545","5","2A1","E00013254","E01002672","E02000545","E33030088","E38000256","E63012107","A1","2C1",51.458292,-0.339190,"E37000051","","E23000001",9767,"E56000021","E54000027","E00013254","E01002672","E02000545"
"TW1 1AH","TW1  1AH","TW1 1AH","199308","","E99999999","E99999999","E09000018","E05013625","E43000208","0","515551","0174488","1","E18000007","E40000003","E92000001","E12000007","5","E14001124","E15000007","E24000013","E30000266","E16000036","E09000018","00ATGQ","E00013261","00ATGQ","E65000001","E01002672","E02000545","5","2A1","E00013261","E01002672","E02000545","E33034619","E38000256","E63012107","A1","2C1",51.457587,-0.338236,"E37000051","","E23000001",9767,"E56000021","E54000027","E00013261","E01002672","E02000545"
"TW1 1AJ","TW1  1AJ","TW1 1AJ","199308","","E99999999","E99999999","E09000018","E05013625","E43000208","0","515663","0174511","1","E18000007","E40000003","E92000001","E12000007","5","E14001124","E15000007","E24000013","E30000266","E16000036","E09000018","00ATGQ","E00013261","00ATGQ","E65000001","E01002672","E02000545","5","2A1","E00013261","E01002672","E02000545","E33034619","E38000256","E63012107","A1","2C1",51.457770,-0.336618,"E37000051","","E23000001",9767,"E56000021","E54000027","E00013261","E01002672","E02000545"
"TW1 1AL","TW1  1AL","TW1 1AL","199308","","E99999999","E99999999","E09000018","E05013625","E43000208","0","515593","0174447","1","E18000007","E40000003","E92000001","E12000007","5","E14001124","E15000007","E24000013","E30000266","E16000036","E09000018","00ATGQ","E00013261","00ATGQ","E65000001","E01002672","E02000545","5","2A1","E00013261","E01002672","E02000545","E33034619","E38000256","E63012107","A1","2C1",51.457210,-0.337645,"E37000051","","E23000001",9767,"E56000021","E54000027","E00013261","E01002672","E02000545"
"TW1 1AN","TW1  1AN","TW1 1AN","199308","","E99999999","E99999999","E09000018","E05013625","E43000208","0","515502","0174503","1","E18000007","E40000003","E92000001","E12000007","5","E14001124","E15000007","E24000013","E30000266","E16000036","E09000018","00ATGQ","E00013254","00ATGQ","E65000001","E01002672","E02000545","5","2A1","E00013254","E01002672","E02000545","E33030088","E38000256","E63012107","A1","2C1",51.457731,-0.338936,"E37000051","","E23000001",9767,"E56000021","E54000027","E00013254","E01002672","E02000545"
"TW1 1AP","TW1  1AP","TW1 1AP","199308","","E99999999","E99999999","E09000018","E05013625","E43000208","0","515391","0174511","1","E18000007","E40000003","E92000001","E12000007","5","E14001124","E15000007","E24000013","E30000266","E16000036","E09000018","00ATGQ","E00013254","00ATGQ","E65000001","E01002672","E02000545","5","2A1","E00013254","E01002672","E02000545","E33030088","E38000256","E63012107","A1","2C1",51.457826,-0.340531,"E37000051","","E23000001",9767,"E56000021","E54000027","E00013254","E01002672","E02000545"
"TW1 1AQ","TW1  1AQ","TW1 1AQ","201009","","E99999999","E99999999","E09000018","E05013625","E43000208","1","515669","0174315","1","E18000007","E40000003","E92000001","E12000007","5","E14001124","E15000007","E24000013","E30000266","E16000036","E09000018","00ATGQ","E00013261","00ATGQ","E65000001","E01002672","E02000545","5","2A1","E00013261","E01002672","E02000545","E33034619","E38000256","E63012107","A1","2C1",51.456007,-0.336573,"E37000051","","E23000001",9767,"E56000021","E54000027","E00013261","E01002672","E02000545"
