pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"UB1 1AA","UB1  1AA","UB1 1AA","199002","201406","E99999999","E99999999","E09000009","E05013537","E43000199","1","512632","0179976","1","E18000007","E40000003","E92000001","E12000007","5","E14001209","E15000007","E24000013","E30000266","E16000035","E09000009","00AJGY","E00006784","00AJGY","E65000001","E01001362","E02000263","5","7A1","E00006784","E01001362","E02000263","E33029658","E38000256","E63012033","A1","4B1",51.507500,-0.378483,"E37000051","","E23000001",8413,"E56000021","E54000027","E00006784","E01001362","E02000263"
"UB1 1AB","UB1  1AB","UB1 1AB","200106","200603","E99999999","E99999999","E09000009","E05013537","E43000199","1","512632","0179976","1","E18000007","E40000003","E92000001","E12000007","5","E14001209","E15000007","E24000013","E30000266","E16000035","E09000009","00AJGY","E00006784","00AJGY","E65000001","E01001362","E02000263","5","7A1","E00006784","E01001362","E02000263","E33029658","E38000256","E63012033","A1","4B1",51.507500,-0.378483,"E37000051","","E23000001",8413,"E56000021","E54000027","E00006784","E01001362","E02000263"
"UB1 1AD","UB1  1AD","UB1 1AD","199501","200011","E99999999","E99999999","E09000009","E05013537","E43000199","1","512260","0180345","6","E18000007","E40000003","E92000001","E12000007","5","E14001209","E15000007","E24000013","E30000266","E16000035","E09000009","00AJGY","E00006785","00AJGY","E65000001","E01001360","E02000263","5","7A1","E00006785","E01001360","E02000263","E33033398","E38000256","E63012033","A1","4B1",51.510890,-0.383724,"E37000051","","E23000001",8447,"E56000021","E54000027","E00006785","E01001360","E02000263"
"UB1 1AE","UB1  1AE","UB1 1AE","200408","200806","E99999999","E99999999","E09000009","E05013537","E43000199","1","512632","0179976","1","E18000007","E40000003","E92000001","E12000007","5","E14001209","E15000007","E24000013","E30000266","E16000035","E09000009","00AJGY","E00006784","00AJGY","E65000001","E01001362","E02000263","5","7A1","E00006784","E01001362","E02000263","E33029658","E38000256","E63012033","A1","4B1",51.507500,-0.378483,"E37000051","","E23000001",8413,"E56000021","E54000027","E00006784","E01001362","E02000263"
"UB1 1AF","UB1  1AF","UB1 1AF","199405","199606","E99999999","E99999999","E09000009","E05013539","E43000199","1","512600","0179900","8","E18000007","E40000003","E92000001","E12000007","5","E14001209","E15000007","E24000013","E30000266","E16000035","E09000009","00AJGY","E00006784","00AJGY","E65000001","E01001362","E02000263","5","7A1","E00006784","E01001362","E02000263","E33029658","E38000256","E63012033","A1","4B1",51.506823,-0.378969,"E37000051","","E23000001",8413,"E56000021","E54000027","E00006784","E01001362","E02000263"
"UB1 1AG","UB1  1AG","UB1 1AG","199412","199507","E99999999","E99999999","E09000009","E05013539","E43000199","1","512600","0179900","8","E18000007","E40000003","E92000001","E12000007","5","E14001209","E15000007","E24000013","E30000266","E16000035","E09000009","00AJGY","E00006784","00AJGY","E65000001","E01001362","E02000263","5","7A1","E00006784","E01001362","E02000263","E33029658","E38000256","E63012033","A1","4B1",51.506823,-0.378969,"E37000051","","E23000001",8413,"E56000021","E54000027","E00006784","E01001362","E02000263"
"UB1 1AH","UB1  1AH","UB1 1AH","199501","199606","E99999999","E99999999","E09000009","E05013539","E43000199","1","512600","0179900","8","E18000007","E40000003","E92000001","E12000007","5","E14001209","E15000007","E24000013","E30000266","E16000035","E09000009","00AJGY","E00006784","00AJGY","E65000001","E01001362","E02000263","5","7A1","E00006784","E01001362","E02000263","E33029658","E38000256","E63012033","A1","4B1",51.506823,-0.378969,"E37000051","","E23000001",8413,"E56000021","E54000027","E00006784","E01001362","E02000263"
"UB1 1AL","UB1  1AL","UB1 1AL","201903","","E99999999","E99999999","E09000009","E05013539","E43000199","0","512039","0179977","1","E18000007","E40000003","E92000001","E12000007","5","E14001209","E15000007","E24000013","E30000266","E16000035","E09000009","00AJGY","E00006765","00AJGY","E65000001","E01001362","E02000263","5","7A1","E00006765","E01001362","E02000263","E33033399","E38000256","E63012033","A1","4B1",51.507627,-0.387003,"E37000051","","E23000001",8413,"E56000021","E54000027","E00179164","E01001362","E02000263"
"UB1 1AN","UB1  1AN","UB1 1AN","199405","199507","E99999999","E99999999","E09000009","E05013539","E43000199","1","512600","0179900","8","E18000007","E40000003","E92000001","E12000007","5","E14001209","E15000007","E24000013","E30000266","E16000035","E09000009","00AJGY","E00006784","00AJGY","E65000001","E01001362","E02000263","5","7A1","E00006784","E01001362","E02000263","E33029658","E38000256","E63012033","A1","4B1",51.506823,-0.378969,"E37000051","","E23000001",8413,"E56000021","E54000027","E00006784","E01001362","E02000263"
"UB1 1AP","UB1  1AP","UB1 1AP","199501","","E99999999","E99999999","E09000009","E05013539","E43000199","0","512217","0180943","1","E18000007","E40000003","E92000001","E12000007","5","E14001209","E15000007","E24000013","E30000266","E16000035","E09000009","00AJGY","E00006771","00AJGY","E65000001","E01001364","E02000263","5","7B2","E00006771","E01001364","E02000263","E33033395","E38000256","E63012033","A1","4B1",51.516274,-0.384153,"E37000051","","E23000001",3672,"E56000021","E54000027","E00006771","E01001364","E02000263"
