pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"WA1 1AA","WA1  1AA","WA1 1AA","199007","199507","E99999999","E99999999","E06000007","E05011025","E43000007","1","360300","0388000","8","E18000002","E40000010","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062813","00EUNC","E65000001","E01012456","E02002607","5","2B2","E00062813","E01033300","E02002607","E33003275","E38000194","E63008488","C1","3C1",53.387339,-2.598368,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188787","E01033300","E02002607"
"WA1 1AB","WA1  1AB","WA1 1AB","199002","199412","E99999999","E99999999","E06000007","E05011025","E43000007","1","360300","0388000","8","E18000002","E40000010","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062813","00EUNC","E65000001","E01012456","E02002607","5","2B2","E00062813","E01033300","E02002607","E33003275","E38000194","E63008488","C1","3C1",53.387339,-2.598368,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188787","E01033300","E02002607"
"WA1 1AD","WA1  1AD","WA1 1AD","199412","200603","E99999999","E99999999","E06000007","E05011025","E43000007","1","359749","0388260","1","E18000002","E40000010","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062812","00EUNC","E65000001","E01012456","E02002607","5","5B4","E00062812","E01033302","E02002607","E33003273","E38000194","E63008488","C1","4A1",53.389634,-2.606686,"E37000003","","E23000006",8003,"E56000005","E54000008","E00062812","E01033302","E02002607"
"WA1 1AF","WA1  1AF","WA1 1AF","201706","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360240","0387888","1","E18000002","E40000010","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062813","00EUNC","E65000001","E01012456","E02002607","5","2B2","E00062813","E01033300","E02002607","E33003275","E38000194","E63008488","C1","3C1",53.386344,-2.599256,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188787","E01033300","E02002607"
"WA1 1AG","WA1  1AG","WA1 1AG","201111","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360236","0387940","1","E18000002","E40000010","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062813","00EUNC","E65000001","E01012456","E02002607","5","2B2","E00062813","E01033300","E02002607","E33003275","E38000194","E63008488","C1","3C1",53.386795,-2.599323,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188787","E01033300","E02002607"
"WA1 1AH","WA1  1AH","WA1 1AH","201912","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360692","0388424","1","E18000002","E40000010","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062806","00EUNC","E65000001","E01012456","E02002607","5","2B1","E00173146","E01033300","E02002607","E33004287","E38000194","E63008488","C1","2C1",53.391196,-2.592527,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188807","E01033300","E02002607"
"WA1 1AJ","WA1  1AJ","WA1 1AJ","202008","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360645","0388318","1","E18000002","E40000010","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062806","00EUNC","E65000001","E01012456","E02002607","5","2B1","E00173146","E01033300","E02002607","E33004302","E38000194","E63008488","C1","2C1",53.390239,-2.593221,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188807","E01033300","E02002607"
"WA1 1AL","WA1  1AL","WA1 1AL","202008","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360645","0388318","1","E18000002","E40000010","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062806","00EUNC","E65000001","E01012456","E02002607","5","2B1","E00173146","E01033300","E02002607","E33004302","E38000194","E63008488","C1","2C1",53.390239,-2.593221,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188807","E01033300","E02002607"
"WA1 1AN","WA1  1AN","WA1 1AN","202012","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360407","0388100","1","E18000002","E40000010","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062806","00EUNC","E65000001","E01012456","E02002607","5","2B1","E00173146","E01033300","E02002607","E33004283","E38000194","E63008488","C1","2C1",53.388262,-2.596772,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188943","E01033300","E02002607"
"WA1 1AP","WA1  1AP","WA1 1AP","202105","","E99999999","E99999999","E06000007","E05011025","E43000007","0","360390","0388178","1","E18000002","E40000010","E92000001","E12000002","8","E14001565","E15000002","E24000025","E30000284","E16000037","E06000007","00EUNC","E00062806","00EUNC","E65000001","E01012456","E02002607","5","2B1","E00173146","E01033300","E02002607","E33004294","E38000194","E63008488","C1","2C1",53.388962,-2.597037,"E37000003","","E23000006",3956,"E56000005","E54000008","E00188943","E01033300","E02002607"
