pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"WD1 1AA","WD1  1AA","WD1 1AA","199002","199405","E10000015","E58000677","E07000103","E05011048","E43000082","1","509100","0195600","8","E18000006","E40000007","E92000001","E12000006","5","E14001568","E15000006","E24000005","E30000237","E16000150","E07000103","26UKFQ","E00121203","26UKFQ","E65000001","E01023866","E02004978","5","7A2","E00121203","E01023866","E02004978","E33024451","E38000079","E63011741","A1","4A1",51.648620,-0.424507,"E37000048","","E23000027",8294,"E56000035","E54000025","E00121203","E01023866","E02004978"
"WD1 1AB","WD1  1AB","WD1 1AB","199412","200007","E10000015","E58000615","E07000103","E05011047","E43000082","0","510994","0197327","1","E18000006","E40000007","E92000001","E12000006","5","E14001568","E15000006","E24000005","E30000237","E16000150","E07000103","26UKFP","E00121184","26UKFP","E65000001","E01023861","E02004976","5","2B2","E00121184","E01023861","E02004976","E33024442","E38000079","E63011741","A1","3D1",51.663771,-0.396595,"E37000048","","E23000027",14182,"E56000035","E54000025","E00189343","E01035574","E02004976"
"WD1 1AD","WD1  1AD","WD1 1AD","198803","200006","E10000015","E58000615","E07000103","E05011047","E43000082","1","511072","0197185","6","E18000006","E40000007","E92000001","E12000006","5","E14001568","E15000006","E24000005","E30000237","E16000150","E07000103","26UKFP","E00121184","26UKFP","E65000001","E01023861","E02004976","5","2B2","E00121184","E01023861","E02004976","E33024442","E38000079","E63011741","A1","3D1",51.662480,-0.395513,"E37000048","","E23000027",14182,"E56000035","E54000025","E00189343","E01035574","E02004976"
"WD1 1AE","WD1  1AE","WD1 1AE","199412","200007","E10000015","E58000615","E07000103","E05011047","E43000082","1","511072","0197185","6","E18000006","E40000007","E92000001","E12000006","5","E14001568","E15000006","E24000005","E30000237","E16000150","E07000103","26UKFP","E00121184","26UKFP","E65000001","E01023861","E02004976","5","2B2","E00121184","E01023861","E02004976","E33024442","E38000079","E63011741","A1","3D1",51.662480,-0.395513,"E37000048","","E23000027",14182,"E56000035","E54000025","E00189343","E01035574","E02004976"
"WD1 1AF","WD1  1AF","WD1 1AF","199501","199606","E10000015","E58000677","E07000103","E05011048","E43000082","0","509100","0195600","8","E18000006","E40000007","E92000001","E12000006","5","E14001568","E15000006","E24000005","E30000237","E16000150","E07000103","26UKFQ","E00121203","26UKFQ","E65000001","E01023866","E02004978","5","7A2","E00121203","E01023866","E02004978","E33024451","E38000079","E63011741","A1","4A1",51.648620,-0.424507,"E37000048","","E23000027",8294,"E56000035","E54000025","E00121203","E01023866","E02004978"
"WD1 1AG","WD1  1AG","WD1 1AG","199706","200007","E10000015","E58000615","E07000103","E05011047","E43000082","1","511072","0197185","6","E18000006","E40000007","E92000001","E12000006","5","E14001568","E15000006","E24000005","E30000237","E16000150","E07000103","26UKFP","E00121184","26UKFP","E65000001","E01023861","E02004976","5","2B2","E00121184","E01023861","E02004976","E33024442","E38000079","E63011741","A1","3D1",51.662480,-0.395513,"E37000048","","E23000027",14182,"E56000035","E54000025","E00189343","E01035574","E02004976"
"WD1 1AH","WD1  1AH","WD1 1AH","199512","200007","E10000015","E58000615","E07000103","E05011047","E43000082","1","511072","0197185","6","E18000006","E40000007","E92000001","E12000006","5","E14001568","E15000006","E24000005","E30000237","E16000150","E07000103","26UKFP","E00121184","26UKFP","E65000001","E01023861","E02004976","5","2B2","E00121184","E01023861","E02004976","E33024442","E38000079","E63011741","A1","3D1",51.662480,-0.395513,"E37000048","","E23000027",14182,"E56000035","E54000025","E00189343","E01035574","E02004976"
"WD1 1AJ","WD1  1AJ","WD1 1AJ","199301","200007","E10000015","E58000615","E07000103","E05011047","E43000082","1","511072","0197185","6","E18000006","E40000007","E92000001","E12000006","5","E14001568","E15000006","E24000005","E30000237","E16000150","E07000103","26UKFP","E00121184","26UKFP","E65000001","E01023861","E02004976","5","2B2","E00121184","E01023861","E02004976","E33024442","E38000079","E63011741","A1","3D1",51.662480,-0.395513,"E37000048","","E23000027",14182,"E56000035","E54000025","E00189343","E01035574","E02004976"
"WD1 1AL","WD1  1AL","WD1 1AL","199501","200007","E10000015","E58000650","E07000103","E05011055","E43000082","0","511418","0197282","1","E18000006","E40000007","E92000001","E12000006","5","E14001568","E15000006","E24000005","E30000237","E16000150","E07000103","26UKFY","E00121351","26UKFY","E65000001","E01023895","E02004972","5","2A1","E00121351","E01023895","E02004972","E33027586","E38000079","E63011741","A1","2D1",51.663283,-0.390482,"E37000048","","E23000027",27228,"E56000035","E54000025","E00121351","E01023895","E02004972"
"WD1 1AN","WD1  1AN","WD1 1AN","199501","200007","E10000015","E58000650","E07000103","E05011055","E43000082","0","511331","0197376","1","E18000006","E40000007","E92000001","E12000006","5","E14001568","E15000006","E24000005","E30000237","E16000150","E07000103","26UKFY","E00121351","26UKFY","E65000001","E01023895","E02004972","5","2A1","E00121351","E01023895","E02004972","E33027586","E38000079","E63011741","A1","2D1",51.664145,-0.391709,"E37000048","","E23000027",27228,"E56000035","E54000025","E00121351","E01023895","E02004972"
