pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"WF1 1AA","WF1  1AA","WF1 1AA","199002","","E99999999","E99999999","E08000036","E05001460","E43000190","0","433063","0420450","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060080","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060080","E01011916","E02002454","E33009766","E38000190","E63008062","A1","3C1",53.679473,-1.500929,"E37000062","","E23000010",1714,"E56000030","E54000054","E00180133","E01034265","E02002454"
"WF1 1AB","WF1  1AB","WF1 1AB","200808","200909","E99999999","E99999999","E08000036","E05001460","E43000190","1","433076","0420442","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060080","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060080","E01011916","E02002454","E33009766","E38000190","E63008062","A1","3C1",53.679401,-1.500734,"E37000062","","E23000010",1714,"E56000030","E54000054","E00180133","E01034265","E02002454"
"WF1 1AD","WF1  1AD","WF1 1AD","201105","","E99999999","E99999999","E08000036","E05001460","E43000190","0","433423","0420725","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060073","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060073","E01011916","E02002454","E33012615","E38000190","E63008062","A1","7B2",53.681938,-1.495452,"E37000062","","E23000010",1714,"E56000030","E54000054","E00060073","E01034265","E02002454"
"WF1 1AE","WF1  1AE","WF1 1AE","199002","199501","E99999999","E99999999","E08000036","E05001460","E43000190","1","433000","0420600","8","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060080","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060080","E01011916","E02002454","E33009765","E38000190","E63008062","A1","3C1",53.680825,-1.501867,"E37000062","","E23000010",1714,"E56000030","E54000054","E00180133","E01034265","E02002454"
"WF1 1AF","WF1  1AF","WF1 1AF","198803","199112","E99999999","E99999999","E08000036","E05001460","E43000190","1","433000","0420600","8","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060080","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060080","E01011916","E02002454","E33009765","E38000190","E63008062","A1","3C1",53.680825,-1.501867,"E37000062","","E23000010",1714,"E56000030","E54000054","E00180133","E01034265","E02002454"
"WF1 1AG","WF1  1AG","WF1 1AG","199712","199912","E99999999","E99999999","E08000036","E05001460","E43000190","1","433330","0420711","6","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060067","00DBFT","E65000001","E01011916","E02002454","5","2A1","E00060067","E01011916","E02002454","E33009760","E38000190","E63008062","A1","2C1",53.681802,-1.496860,"E37000062","","E23000010",1714,"E56000030","E54000054","E00060067","E01034264","E02002454"
"WF1 1AH","WF1  1AH","WF1 1AH","200302","","E99999999","E99999999","E08000036","E05001460","E43000190","0","433534","0420792","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060067","00DBFT","E65000001","E01011916","E02002454","5","2A1","E00060067","E01011916","E02002454","E33012615","E38000190","E63008062","A1","2C1",53.682517,-1.493762,"E37000062","","E23000010",1714,"E56000030","E54000054","E00060067","E01034264","E02002454"
"WF1 1AJ","WF1  1AJ","WF1 1AJ","201402","","E99999999","E99999999","E08000036","E05001460","E43000190","0","433430","0420347","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060084","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060084","E01011916","E02002454","E33012616","E38000190","E63008062","A1","7A2",53.678524,-1.495385,"E37000062","","E23000010",1714,"E56000030","E54000054","E00060084","E01034264","E02002454"
"WF1 1AL","WF1  1AL","WF1 1AL","201402","","E99999999","E99999999","E08000036","E05001460","E43000190","0","433431","0420322","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060084","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060084","E01011916","E02002454","E33012616","E38000190","E63008062","A1","7A2",53.678299,-1.495372,"E37000062","","E23000010",1714,"E56000030","E54000054","E00060084","E01034264","E02002454"
"WF1 1AN","WF1  1AN","WF1 1AN","201907","","E99999999","E99999999","E08000036","E05001460","E43000190","0","433157","0420570","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060080","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060080","E01011916","E02002454","E33009769","E38000190","E63008062","A1","3C1",53.680562,-1.499496,"E37000062","","E23000010",1714,"E56000030","E54000054","E00180057","E01034265","E02002454"
"WF1 1AP","WF1  1AP","WF1 1AP","201908","","E99999999","E99999999","E08000036","E05001460","E43000190","0","433238","0420780","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060067","00DBFT","E65000001","E01011916","E02002454","5","2A1","E00060067","E01011916","E02002454","E33009760","E38000190","E63008062","A1","2C1",53.682445,-1.498247,"E37000062","","E23000010",1714,"E56000030","E54000054","E00060067","E01034264","E02002454"
"WF1 1AQ","WF1  1AQ","WF1 1AQ","199712","200602","E99999999","E99999999","E08000036","E05001460","E43000190","1","433076","0420442","1","E18000003","E40000012","E92000001","E12000003","2","E14001560","E15000003","E24000045","E30000283","E16000076","E08000036","00DBGQ","E00060080","00DBFT","E65000001","E01011916","E02002454","5","5A1","E00060080","E01011916","E02002454","E33009766","E38000190","E63008062","A1","3C1",53.679401,-1.500734,"E37000062","","E23000010",1714,"E56000030","E54000054","E00180133","E01034265","E02002454"
