pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"WR1 1AA","WR1  1AA","WR1 1AA","199002","","E10000034","E58001703","E07000237","E05015854","E43000153","1","385268","0255404","1","E18000005","E40000011","E92000001","E12000005","7","E14001597","E15000005","E24000042","E30000289","E16000121","E07000237","47UEFR","E00164699","47UEFR","E65000001","E01032293","E02006744","5","2B1","E00172270","E01033248","E02006744","E33023045","E38000236","E63010595","C1","5A3",52.196671,-2.216951,"E37000038","","E23000016",4203,"E56000007","E54000019","E00172270","E01033248","E02006744"
"WR1 1AB","WR1  1AB","WR1 1AB","200112","200603","E10000034","E58001718","E07000237","E05015861","E04010353","1","387830","0257535","1","E18000005","E40000011","E92000001","E12000005","7","E14001597","E15000005","E24000042","E30000289","E16000121","E07000237","47UEGC","E00164917","47UEGC","E65000001","E01032336","E02006736","5","4A2","E00164917","E01032336","E02006736","E33023011","E38000236","E63010595","C1","5A2",52.215892,-2.179546,"E37000038","","E23000016",27049,"E56000007","E54000019","E00164917","E01032336","E02006736"
"WR1 1AD","WR1  1AD","WR1 1AD","201107","","E10000034","E58001714","E07000237","E05015849","E43000153","0","385119","0255349","1","E18000005","E40000011","E92000001","E12000005","7","E14001597","E15000005","E24000042","E30000289","E16000121","E07000237","47UEFN","E00164648","47UEFN","E65000001","E01032282","E02006740","5","7A1","E00164648","E01032282","E02006740","E33019480","E38000236","E63010595","C1","2A3",52.196185,-2.219125,"E37000038","","E23000016",10877,"E56000007","E54000019","E00181339","E01032282","E02006740"
"WR1 1AE","WR1  1AE","WR1 1AE","201506","","E10000034","E58001714","E07000237","E05015863","E43000153","0","384887","0256355","1","E18000005","E40000011","E92000001","E12000005","7","E14001597","E15000005","E24000042","E30000289","E16000121","E07000237","47UEGA","E00164892","47UEGA","E65000001","E01032327","E02006737","5","5B3","E00164892","E01032327","E02006737","E33023019","E38000236","E63010595","C1","7A2",52.205223,-2.222564,"E37000038","","E23000016",20876,"E56000007","E54000019","E00181315","E01032327","E02006737"
"WR1 1AF","WR1  1AF","WR1 1AF","201701","","E10000034","E58001714","E07000237","E05015863","E43000153","0","384955","0256389","1","E18000005","E40000011","E92000001","E12000005","7","E14001597","E15000005","E24000042","E30000289","E16000121","E07000237","47UEGA","E00164892","47UEGA","E65000001","E01032327","E02006737","5","5B3","E00164892","E01032327","E02006737","E33023019","E38000236","E63010595","C1","7A2",52.205531,-2.221571,"E37000038","","E23000016",20876,"E56000007","E54000019","E00181315","E01032327","E02006737"
"WR1 1AG","WR1  1AG","WR1 1AG","201603","","E10000034","E58001714","E07000237","E05015863","E43000153","0","384958","0256351","1","E18000005","E40000011","E92000001","E12000005","7","E14001597","E15000005","E24000042","E30000289","E16000121","E07000237","47UEGA","E00164892","47UEGA","E65000001","E01032327","E02006737","5","5B3","E00164892","E01032327","E02006737","E33023019","E38000236","E63010595","C1","7A2",52.205176,-2.221529,"E37000038","","E23000016",20876,"E56000007","E54000019","E00181315","E01032327","E02006737"
"WR1 1AH","WR1  1AH","WR1 1AH","202110","","E10000034","E58001703","E07000237","E05015854","E43000153","0","385097","0255242","1","E18000005","E40000011","E92000001","E12000005","7","E14001597","E15000005","E24000042","E30000289","E16000121","E07000237","47UEFR","E00164699","47UEFR","E65000001","E01032293","E02006744","5","2B1","E00172268","E01033248","E02006744","E33023045","E38000236","E63010595","C1","2C1",52.195222,-2.219442,"E37000038","","E23000016",4203,"E56000007","E54000019","E00172268","E01033248","E02006744"
"WR1 1AJ","WR1  1AJ","WR1 1AJ","200401","200401","E10000034","E58001706","E07000237","E05015851","E43000153","1","385181","0254762","1","E18000005","E40000011","E92000001","E12000005","7","E14001597","E15000005","E24000042","E30000289","E16000121","E07000237","47UEFR","E00164708","47UEFR","E65000001","E01032293","E02006744","5","2B1","E00172272","E01033248","E02006744","E33023046","E38000236","E63010595","C1","2C1",52.190897,-2.218196,"E37000038","","E23000016",4203,"E56000007","E54000019","E00172272","E01033248","E02006744"
"WR1 1AN","WR1  1AN","WR1 1AN","199002","","E10000034","E58001706","E07000237","E05015851","E43000153","1","384873","0255295","1","E18000005","E40000011","E92000001","E12000005","7","E14001597","E15000005","E24000042","E30000289","E16000121","E07000237","47UEFR","E00164722","47UEFR","E65000001","E01032291","E02006740","5","2B2","E00164722","E01033247","E02006740","E33019488","E38000236","E63010595","C1","2A1",52.195680,-2.222726,"E37000038","","E23000016",7829,"E56000007","E54000019","E00164722","E01033247","E02006740"
"WR1 1DA","WR1  1DA","WR1 1DA","198106","199405","E10000034","E58001706","E07000237","E05015851","E43000153","1","384900","0255100","8","E18000005","E40000011","E92000001","E12000005","7","E14001597","E15000005","E24000042","E30000289","E16000121","E07000237","47UEFR","E00164703","47UEFR","E65000001","E01032291","E02006740","5","2A2","E00172262","E01033247","E02006740","E33019762","E38000236","E63010595","C1","2B1",52.193928,-2.222322,"E37000038","","E23000016",7829,"E56000007","E54000019","E00181271","E01033247","E02006740"
