pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"WS1 1AA","WS1  1AA","WS1 1AA","200012","","E99999999","E99999999","E08000030","E05001316","E43000184","0","401365","0298688","1","E18000005","E40000011","E92000001","E12000005","7","E14001562","E15000005","E24000040","E30000288","E16000066","E08000030","00CUGN","E00052398","00CUFR","E65000001","E01010368","E02002139","5","5B3","E00168257","E01010368","E02002139","E33019641","E38000259","E63009845","A1","3C1",52.586012,-1.981280,"E37000001","","E23000014",820,"E56000007","E54000062","E00168257","E01010368","E02002139"
"WS1 1AB","WS1  1AB","WS1 1AB","201012","","E99999999","E99999999","E08000030","E05001316","E43000184","0","401522","0299029","1","E18000005","E40000011","E92000001","E12000005","7","E14001562","E15000005","E24000040","E30000288","E16000066","E08000030","00CUGN","E00052154","00CUFK","E65000001","E01010318","E02002133","5","7A2","E00052154","E01010318","E02002133","E33021156","E38000259","E63009845","A1","4A1",52.589062,-1.978967,"E37000001","","E23000014",2583,"E56000007","E54000062","E00052154","E01010318","E02002133"
"WS1 1AE","WS1  1AE","WS1 1AE","201402","","E99999999","E99999999","E08000030","E05001316","E43000184","0","401461","0298659","1","E18000005","E40000011","E92000001","E12000005","7","E14001562","E15000005","E24000040","E30000288","E16000066","E08000030","00CUGN","E00052398","00CUFR","E65000001","E01010368","E02002139","5","5B3","E00168257","E01010368","E02002139","E33019645","E38000259","E63009845","A1","3C1",52.585735,-1.979869,"E37000001","","E23000014",820,"E56000007","E54000062","E00168257","E01010368","E02002139"
"WS1 1AF","WS1  1AF","WS1 1AF","202309","","E99999999","E99999999","E08000030","E05001316","E43000184","0","401482","0298800","1","E18000005","E40000011","E92000001","E12000005","7","E14001562","E15000005","E24000040","E30000288","E16000066","E08000030","00CUGN","E00052394","00CUFR","E65000001","E01010369","E02002133","5","7B1","E00168240","E01010369","E02002133","E33019621","E38000259","E63009845","A1","3C1",52.587019,-1.979553,"E37000001","","E23000014",1774,"E56000007","E54000062","E00168240","E01010369","E02002133"
"WS1 1AQ","WS1  1AQ","WS1 1AQ","199101","200107","E99999999","E99999999","E08000030","E05001316","E43000184","1","401392","0298552","6","E18000005","E40000011","E92000001","E12000005","7","E14001562","E15000005","E24000040","E30000288","E16000066","E08000030","00CUGN","E00052398","00CUFR","E65000001","E01010368","E02002139","5","5B3","E00168257","E01010368","E02002139","E33019645","E38000259","E63009845","A1","3C1",52.584774,-1.980888,"E37000001","","E23000014",820,"E56000007","E54000062","E00168257","E01010368","E02002139"
"WS1 1DA","WS1  1DA","WS1 1DA","198001","","E99999999","E99999999","E08000030","E05001316","E43000184","0","401354","0298637","1","E18000005","E40000011","E92000001","E12000005","7","E14001562","E15000005","E24000040","E30000288","E16000066","E08000030","00CUGN","E00052398","00CUFR","E65000001","E01010368","E02002139","5","5B3","E00168257","E01010368","E02002139","E33019645","E38000259","E63009845","A1","3C1",52.585538,-1.981448,"E37000001","","E23000014",820,"E56000007","E54000062","E00168257","E01010368","E02002139"
"WS1 1DB","WS1  1DB","WS1 1DB","199002","","E99999999","E99999999","E08000030","E05001316","E43000184","1","401393","0298740","1","E18000005","E40000011","E92000001","E12000005","7","E14001562","E15000005","E24000040","E30000288","E16000066","E08000030","00CUGN","E00052398","00CUFR","E65000001","E01010368","E02002139","5","5B3","E00168257","E01010368","E02002139","E33019647","E38000259","E63009845","A1","3C1",52.586464,-1.980872,"E37000001","","E23000014",820,"E56000007","E54000062","E00168257","E01010368","E02002139"
"WS1 1DD","WS1  1DD","WS1 1DD","198001","","E99999999","E99999999","E08000030","E05001316","E43000184","1","401356","0298644","1","E18000005","E40000011","E92000001","E12000005","7","E14001562","E15000005","E24000040","E30000288","E16000066","E08000030","00CUGN","E00052398","00CUFR","E65000001","E01010368","E02002139","5","5B3","E00168257","E01010368","E02002139","E33019645","E38000259","E63009845","A1","3C1",52.585601,-1.981419,"E37000001","","E23000014",820,"E56000007","E54000062","E00168257","E01010368","E02002139"
"WS1 1DE","WS1  1DE","WS1 1DE","198001","","E99999999","E99999999","E08000030","E05001316","E43000184","1","401447","0298537","1","E18000005","E40000011","E92000001","E12000005","7","E14001562","E15000005","E24000040","E30000288","E16000066","E08000030","00CUGN","E00052398","00CUFR","E65000001","E01010368","E02002139","5","5B3","E00168257","E01010368","E02002139","E33019645","E38000259","E63009845","A1","3C1",52.584639,-1.980076,"E37000001","","E23000014",820,"E56000007","E54000062","E00168257","E01010368","E02002139"
"WS1 1DF","WS1  1DF","WS1 1DF","202402","","E99999999","E99999999","E08000030","E05001316","E43000184","0","401428","0298532","1","E18000005","E40000011","E92000001","E12000005","7","E14001562","E15000005","E24000040","E30000288","E16000066","E08000030","00CUGN","E00052398","00CUFR","E65000001","E01010368","E02002139","5","5B3","E00168257","E01010368","E02002139","E33019645","E38000259","E63009845","A1","3C1",52.584609,-1.980351,"E37000001","","E23000014",820,"E56000007","E54000062","E00168257","E01010368","E02002139"
